{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co./Last Name,First Name,Card ID,Card Status,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Addr 1 - City,Addr 1 - State,Addr 1 - Postcode,Addr 1 - Country,Addr 1 - Phone No. 1,Addr 1 - Phone No. 2,Addr 1 - Phone No. 3,Addr 1 - Fax No.,Addr 1 - Email,Addr 1 - WWW,Addr 1 - Contact Name,Addr 1 - Salutation,Addr 2 - Line 1,Addr 2 - Line 2,Addr 2 - Line 3,Addr 2 - Line 4,Addr 2 - City,Addr 2 - State,Addr 2 - Postcode,Addr 2 - Country,Addr 2 - Phone No. 1,Addr 2 - Phone No. 2,Addr 2 - Phone No. 3,Addr 2 - Fax No.,Addr 2 - Email,Addr 2 - WWW,Addr 2 - Contact Name,Addr 2 - Salutation,Addr 3 - Line 1,Addr 3 - Line 2,Addr 3 - Line 3,Addr 3 - Line 4,Addr 3 - City,Addr 3 - State,Addr 3 - Postcode,Addr 3 - Country,Addr 3 - Phone No. 1,Addr 3 - Phone No. 2,Addr 3 - Phone No. 3,Addr 3 - Fax No.,Addr 3 - Email,Addr 3 - WWW,Addr 3 - Contact Name,Addr 3 - Salutation,Addr 4 - Line 1,Addr 4 - Line 2,Addr 4 - Line 3,Addr 4 - Line 4,Addr 4 - City,Addr 4 - State,Addr 4 - Postcode,Addr 4 - Country,Addr 4 - Phone No. 1,Addr 4 - Phone No. 2,Addr 4 - Phone No. 3,Addr 4 - Fax No.,Addr 4 - Email,Addr 4 - WWW,Addr 4 - Contact Name,Addr 4 - Salutation,Addr 5 - Line 1,Addr 5 - Line 2,Addr 5 - Line 3,Addr 5 - Line 4,Addr 5 - City,Addr 5 - State,Addr 5 - Postcode,Addr 5 - Country,Addr 5 - Phone No. 1,Addr 5 - Phone No. 2,Addr 5 - Phone No. 3,Addr 5 - Fax No.,Addr 5 - Email,Addr 5 - WWW,Addr 5 - Contact Name,Addr 5 - Salutation,Notes,Identifiers,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Billing Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,           - % Monthly Charge,Tax Code,Credit Limit,Tax ID No.,Volume Discount %,Sales/Purchase Layout,Price Level,Payment Method,Payment Notes,Name on Card,Card Number,BSB,Account Number,Account Name,A.B.N. ,A.B.N. Branch,Account,Salesperson,Salesperson Card ID,Comment,Shipping Method,Printed Form,Freight Tax Code,Use Customer's Tax Code,Receipt Memo,Invoice/Purchase Order Delivery,Record ID,,,,
Fawkner Property Pty Ltd for,,*None,Y,Farrell Heidelberg ATF Private Property Trust No 9,C/- Knight Frank Townsville,PO Box 1109,,TOWNSVILLE,QLD,4810,,07 4750 3012,0417 622 738,,,Jenny.Gaylard@au.knightfrank.com,,Jenny Gaylard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3036,,,,
Watpac Constructions Pty Ltd,,*None,Y,"Suite 3, Level 1, ",514 Sturt Street,,,Townsville,QLD,4810,,07 4729 6300,0437 122 337,,,dplace@watpac.com.au,,Daniel Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3037,,,,
Weis Contractors,,*None,Y,22 Crestview Street,,,,Loganlea,QLD,4131,,,0433 824 622,,,stephen@weiscontractors.com,,Stephen Weis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3038,,,,
The Body Corporate for 84 Brisbane Road CTS 41362,,1280,N,C/- Blackwell Property Pty Ltd,PO Box 523,,,Sanctuary Cove,QLD,4212,,0466 626 838,,,,michael@gm-homes.com.au,,Michael Elder-Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3040,,,,
A.I.O. Services,,*None,Y,5/5 Calabro Way,,,,Burleigh Heads,QLD,4220,,5593 4664,,0410 678 578,,operations@aioservices.com.au,,Lisa Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3044,,,,
Compass A/P Processing,,*None,N,PO Box 5262 ,,,,South Melbourne,VIC,3205,,0438 395 891,,,,compass.invoices@converga.com.au,apsupervisor@compass-group.com.au Stattements,Michelle Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3045,,,,
Ibis Budget Windsor,,*None,Y,159 Lutwyche Road,,,,Windsor,QLD,4030,,07 3857 0488,,,,H1750-GL11@accor.com,,Lia Duggin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3046,,,,
Ibis Budget Brisbane Airport,,1501-12,N,18 Navigator Place,,,,Hendra,QLD,4011,,07 3868 3457,,,,H3512-GM@accor.com,vaqas.naeem@accor.com,Chaler Dionysius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3049,,,,
Yeppoon Central,,*None,Y,c/- Landel Pty Ltd,PO Box 1297,,,Yeppoon,QLD,4703,,0408 474 817,,,,propertyaccounts@lancinigroup.com.au,,Angela Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3050,,,,
Austal Ships Pty Ltd,,*None,Y,100 Clarence Beach Road,,,,Henderson,WA,6166,Australia,0407 201 258,,,,accounts@austal.com,irish.dumdum@austal.com,John Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3051,,,,
Beaumont Tiles Cairns South,,*None,Y,15 McCormack Street,,,,Manunda,QLD,4870,,07 4033 5566,,,,cairnssouth@tile.com.au,,Ashley Plueckhahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3052,,,,
Custom Concrete Products,,*None,Y,34 Dulwich Street,,,,Loganholme,QLD,4129,,07 3806 2901,0405 274 047,,,admin@customconcreteproducts.com.au,,Graeme Luyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3056,,,,
Northgate Shopping Centre Property Holdings P/L,,*None,Y,PO Box 612,,,,NEUTRAL BAY,NSW,2089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3057,,,,
Post Office Square,,1285,Y,270-280 Adelaide Street,,,,Brisbane,QLD,4000,,0401 630 344,Sue Teague,,,teagueservice@gmail.com,,Sue Teague,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3060,,,,
MKD Facilities Services,,*None,Y,Suite 1,57 Davies Road,,,Padstow,NSW,2211,,02 9599 9550,0414 295 245,,,mario@mkdfacilities.com.au,,Mario Velovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3061,,,,
Sugarworld Shopping Centre,,*None,Y,PO Box Q1618,C/O JLL,QVB Post Office,,Sydney,NSW,1230,,07 4751 9398,0408 569 469,,,kylie.bourke@ap.jll.com,,Kylie Bourke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3062,,,,
Body Corporate for Reflection on the Sea CTS 34877,,*None,Y,PO Box 10374,,,,Southpport,QLD,4215,,07 5589 6999,0413 917 939,,07 5589 6998,blwicks2@bigpond.com,,Bronwyn Wicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3063,,,,
(OWTOWV) YFG Shopping Centres Pty Ltd,,*None,Y,ACN 056 974 844 as trustee for the Fu Family Trust ,NXS # 009401- TOWV01,c/-Retail First Pty Ltd,PO Box 737,SUNNYBANK,QLD,4109,,07 3870 7177,0437 200 031,,07 3870 9118,accounts@retailfirst.com.au,emuir@retailfirst.com.au,Edward Muir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3064,,,,
Global Safe Technologies Australia Pty Ltd,,*None,Y,T/as Anti-Slip Anywhere,ABN: 18 107 232 431,26 Hassall Street,,Smithfield,NSW,2164,,1300 668 620,02 9609 4685,0410 415 506 Tibor,02 9609 4687,info@globalsafe.com.au,,Tibor Bode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3065,,,,
Q1 Body Corporate CTS 34498,,*None,N,9 Hamilton Avenue,,,,Surfers Paradise,QLD,4217,,07 5630 4532,,,,PDF;ONLY,bm@q1.com.au,Matthew Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3066,,,,
BIC Services Pty Ltd,,*None,N,12/9 Woolboard Road,,,,Port Melbourne,VIC,3207,,1800 683 863,,0427 481 682,,PDF;ONLY,accountspayable@consolidated.com.au,Nassir Udin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3067,,,,
QIC Properties Pty Ltd,,*None,Y,C/- Shared Services Centre,GPO Box 1027,,,Brisbane,QLD,4001,,0412 170 612,07 4152 9888,,,wynn.buthmann@hc.qic.com,,Elizabeth Fulloon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3068,,,,
Surfers RSL,,*None,Y,PO Box 33,,,,Surfers Paradise,QLD,4217,,0439 770 791,,,,maintenance@surfersrsl.com.au,,Chris Malne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3069,,,,
Magenta Shores Golf Management Pty Limited,,Golf,N,1 Magenta Drive ,,,,Magenta,NSW,2261,,02 4336 0110,0408 684 736,,,renay@magentagolfclub.com.au,,Sue Ralphs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3070,,,,
Strata Plan 77313,,*None,N,C/O Bright & Duggan Pty Ltd,"Level 1, 37-43 Alexander Street",,,Crows Nest,NSW,2065,,02 9902 7100,0408 684 736,,,ryan@bright-duggan.com.au,,Brett Griffiths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3071,,,,
Royal Palm Resort,,*None,Y,973 Gold Coast High Way,,,,Palm Beach,QLD,4221,,07 5534 5999,,,,management@royalpalm.com.au,,Jacquie Manion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3074,,,,
Mater Misericordiae Health Services,,*None,Y,Brisbane Limited,Raymond Terrace,,,South Brisbane,QLD,4101,,07  3163 3911,0408 034 241,07 3163 6082 A/Payabl,,accountspayable@mater.org.au,PO Required (Sometimes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3076,,,,
Optilinx,,*None,Y,20 Cavendish Rd,,,,Coorparoo,QLD,4151,,07 3901 7353,07 3901 7352,,,glen@optilinx.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3078,,,,
Murphy Builders Pty Ltd,,*None,Y,1/103 Brisbane Road,,,,Mooloolaba,QLD,4557,,07 5444 2399,0407 370 14,,,ap@murphybuilders.com.au,melinda.sparks@murphybuilders.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3079,,,,
Coles Group Property Developments P/L,,*None,Y,Vendor Number: 7038233,"Level 1, 96 Mt Gravatt Capalaba Road ",,,Upper Mt Gravatt,QLD,4122,,07 3347 8422,0404 482 045 Danny,0439 477 625 Kelly,,kelly.barker@coles.com.au,PO REQUIRED,Danny Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3081,,,,
HCV Commdev Pty Ltd,,*None,N,Centre Management Office,1 Linsell Boulevard,,,Cranbourne East,VIC,3977,,,,,,rpm.accounts@ranfurliepm.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3082,,,,
Milton Gardner Pty Ltd,,1241,N,C/- CBRE (C) Pty Ltd,QLD Rents Trust,,,,,,,07 3833 9741,,,,PDF;COPY;ONLY,reasap.pacific@cbre.com,Steve Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3084,,,,
Chevron Renaissance Asia Pacific Shopping Centre,,*None,Y,ATF Chevron Renaissance ,PO Box 830,,,Surfer Paradise,QLD,4217,,07 5592 5188,0401 490 300,,07 5592 5049,escott@precision.com.au,,Guy Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3085,,,,
Centrepoint Apartments Caloundra,,*None,Y,30 Minchinton Street,,,,Caloundra,QLD,4551,,01 5492 0100,0428 817 900,,,bill@centrepointapartments.com.au,,Bill Lapthon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3086,,,,
Arete  Australia Pty Ltd,,*None,Y,PO Box 200,,,,Albion,QLD,4010,,07 3054 1555,0432 234 419,,,jwusong@areteaustralia.com.au,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3087,,,,
Charter Hall Core Plus Office Fund,,*None,Y,C/- Knight Frank ,9 Castlereagh Street,,,Sydney,NSW,2000,,02 9223 5213,0411 276 525,,,frc@facilitiesresponsecentre.com.au,,Abdul Adra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3088,,,,
Hammersmith Construction Pty Ltd,,*None,Y,ABN: 16 149 862 457,PO Box 275,,,Grange,QLD,4051,,0468 321 880Rebecca,,,,accounts@hammersmithconstruction.com.au,PO REQUIRED,Rebecca Clegg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3089,,,,
Australian Executor Trustees Limited,,*None,Y,C/- Jones Lang La Salle (QLD) Pty,"Level 33, Central Plaza One",345 Queens Street,,Brisbane,QLD,4001,,7 3231 1431,0434 641 248,,7 3231 1313,pamadmin.qld@ap.jll.com,,Tanika Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3090,,,,
Roman Catholic Archdiocese of Brisbane,,*None,Y,C/- Cornerstone Pty Ltd,GPO Box 695,,,Brisbane,QLD,4001,,07 3034 0511,0457 783 471,,,service@cpltd.com.au,,Chris Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3091,,,,
Arkadia Maroochydore Pty Ltd,,*None,Y,PO Box 322,,,,Neutral Bay,NSW,2089,,02 9908 0304,,,02 9908 0344,admin@arkadia.com.au,,Rebecca Boyd-Bais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3092,,,,
Freevich Trust,,*None,Y,C/o- Savills Pty Ltd,PO Box 568,,,Noarlunga Centre,SA,5168,,08 8398 4622,0418 171 116,,,Upload;to;SNAP,,Aron Agusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3093,,,,
Swordfish Australian Sub TC Pty Ltd,,1435-22,Y,ATF Strathpine Trust,C/ - JLL Centre Management,295 Gympie Rd,,Strathpine,QLD,4500,,+61 7 3817 9607,+61 468 525 770,,,vanessa.hayward@ap.jll.com,,Jason Maberly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3094,,,,
BUSSQ Properties P/L ATF BUSSQ Property Trust,,*None,Y,C/- Team Property Management Pty Ltd,PO Box 99,,,Coorparoo LPO,QLD,4151,,07 3457 1620,07 3457 1600 Wendy,0414 886 990 Doug,07 3457 1699,kate@teamproperty.com.au,,Doug Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3095,,,,
Access Group Solutions,,*None,Y,129 Victoria Road,,,,Gladesville,NSW,2111,,02 9817 7788,,,,adminassist@accessgroupsolutions.com.au,,Khaled Rifai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3096,,,,
Atlas Hurtsville Property Holdings Pty Ltd ATF,,*None,Y,Atlas Hurtsville Ptoperty Unit Trust ,C/- Knight Frank Australia,GPO Box 187,,Sydney,NSW,2001,,02 9954 6378,0404 109 553,,,John.Leso@au.knightfrank.com,,John Leso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3097,,,,
Arkela Constructions Pty Ltd,,*None,Y,"Unit 5, 140 Millaroo Drive",,,,Helensvale,QLD,4212,,07 5500 0035,0401 405 653,,,jack@akelaconstructions.com.au,,Jack Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3098,,,,
The Trustee for DEXUS Eagle Street Pier Trust,,1240-12,Y,C/- The Trustee for DEXUS Eagle Street Pier Trust,Locked Bag 2003,,,Archerfield,QLD,4108,,07 3100 2325,0401 047 696,,,reasap.pacific@cbre.com,,Ashley Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3101,,,,
Vicinity Centres PM Pty Ltd,,Wodonga,Y,C/- Wodonga Plaza,PO 5001,Wodonga Plaza P.O,,Wodonga,VIC,3690,,02 6025 4977,0438 480 831,,,wodonga.accounts@vicinity.com.au,,Duane Schliebs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3102,,,,
The Tile Factory Wholesale Pty Ltd,,*None,Y,1041 Beaudesert Road,,,,Archerfield,QLD,4108,,07 3848 3344,07 3892 3470,,,accountspayable@tilefactory.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3103,,,,
Regional Asset Maintenance Services Pty Ltd (RAM),,*None,Y,ABN 61 096 629 006,PO Box 1973,,,Berrimah,NT,828,,08 8942 7222,0403 561 560,,,accounts@ramservices.com.au,,Garry Racew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,3104,,,,
Indooroopilly Junction Partnership,,1392,N,c/- Irina Ellis,23 Pryde St,,,Camp Hill,QLD,4152,,0417 049 040,,,,indooroopillyjct@bigpond.com,,Irina Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3106,,,,
Coolmore Apartments,,*None,Y,1/38 Palmer St,,,,Greenslopes,QLD,4120,,07 3324 1111,0401 318 201,,,keesaudrey@gmail.com,,Cornelis Kruysmulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3107,,,,
Enterprise Services Pty Ltd,,*None,Y,Unit 2,35 Garden Road,,,Clayton,VIC,3168,,03 9558 5859,0401 918 518,,,Accounts@enterprise-services.com.au,,Paul Angel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,31,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,3108,,,,
