*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme,Exchange Rate
 Nambour Property Investments,,,,,,,,,,69384,NAM402_2200214,26/08/2022,26/08/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for Nambour Central. Testing performed 15-08-2022. Purchase Order NAM402_2200214,1,620.00,,43000,GST on Income,62.00,,,,,,,
 Polycell Broadbech Pty Ltd,,,,,,,,,,69385,402-2200106,26/08/2022,26/08/2022,,,Provide annual wet and dry slip resistance measurement and report for 16-18 Queensland Avenue. Testing performed 25-08-2022. Purchase Order 402-2200106,1,600.00,,43000,GST on Income,60.00,Job,1352-06-16-18 Queensland Avenue,,,,,
 Zupp BTP Pty Ltd,,,,,,,,,,69386,AU01527143,26/08/2022,26/08/2022,,,Provide special request wet slip resistance measurement and report for 4/107 Miles Platting Road. Testing performed 26-08-2022. Testing requested by Robert Watson. Purchase Order AU01527143,1,650.00,,43001,GST on Income,65.00,,,,,,,
 Greenacres Joint Venture,,,,,,,,,,69387,GJV501_2200330,26/08/2022,26/08/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for Greenacres Shopping Mall. Testing performed 23-08-2022. Purchase Order GJV501_2200330,1,570.00,,42000,GST on Income,57.00,Job,902-13-Greenacres Shopping Mall,,,,,
 Port Mall Pty Ltd,,,,,,,,,,69388,#003928,26/08/2022,26/08/2022,,,Provide annual wet and dry slip resistance measurement and report for Port Mall Shopping Centre. Testing performed 23-08-2022. Purchase Order #003928,1,600.00,,43000,GST on Income,60.00,Job,917-07-Port Mall Shopping Centre,,,,,
 Playscape Creations Pty Ltd,,,,,,,,,,69389,9673,26/08/2022,26/08/2022,,,"Provide special request wet slip resistance measurement and report for the following samples. Testing performed 26/08/2022. Testing requested by Jayde Prinsloo. Order #00009673\r\n - Play Mat, Orange, Rubber, 40x240cm",1,150.00,,43002,GST on Income,15.00,Job,8005-Product Class- AU,,,,,
 R & S Sheldon,,,,,,,,,,69390,,26/08/2022,26/08/2022,,,Provide annual wet slip resistance measurement and report for 151 West Burleigh Road. Testing performed 25-08-2022. ,1,450.00,,43000,GST on Income,45.00,,,,,,,
 Why Not Tiles,,,,,,,,,,69391,,26/08/2022,26/08/2022,,,"Provide special request wet slip resistance measurement and report for the following samples. Testing performed 26/08/2022. Testing requested by Robyn Payne.\r\n - Portsea Ice, G22301, Light Grey, Tile, 30x30cm",1,150.00,,43002,GST on Income,15.00,Job,8005-Product Class- AU,,,,,
 Shopping Centres Australasia Property Group Re Ltd,,,,,,,,,,69393,W9629202,29/08/2022,29/08/2022,,,Provide 6 monthly wet slip resistance measurement and report for Worongary Town Centre. Testing performed 25-08-2022. Purchase Order W9629202,1,435.00,,43000,GST on Income,43.50,Job,1325-32-Worongary Town Centre,,,,,
 Tough Floors,,,,,,,,,,69394,,29/08/2022,29/08/2022,,,Provide special request wet slip resistance measurement and report for 11 Bulwer Drive. Testing performed 28-08-2022. Testing requested by Euan Bennett.,1,525.00,,43001,GST on Income,52.50,Job,4004-Specials - SEQ,,,,,
 Millennium Hi-Tech Pty Ltd (SA),,,,,,,,,,69395,PB2207,29/08/2022,29/08/2022,,,Provide 3 monthly dry slip resistance measurement and report for Parabanks Shopping Centre. Testing performed 22-08-2022. Purchase order PB2207,1,315.00,,43000,GST on Income,31.50,Job,914-01-Parabanks SC,,,,,
 Assetlink (SA),,,,,,,,,,69396,PO104658,29/08/2022,29/08/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for The Grove. Testing performed 23-08-2022. PO104658,1,535.00,,43000,GST on Income,53.50,Job,920-02-The Grove,,,,,
 Cirka Group Pty Ltd,,,,,,,,,,69397,154661,29/08/2022,29/08/2022,,,Provide monthly wet and dry slip resistance measurement and report for Myer Centre. Testing performed 24-08-2022. Purchase order 154661,1,695.00,,43000,GST on Income,69.50,Job,911-04-Myer Centre,,,,,
 Zupp BTP Pty Ltd,,,,,,,,,,69398,AU01539568,29/08/2022,29/08/2022,,,Provide special request wet slip resistance measurement and report for 26 Brandl Street. Testing performed 29-08-2022. Testing requested by Robert Watson. Purchase Order AU01539568,1,500.00,,43001,GST on Income,50.00,,,,,,,
 Millennium Hi-Tech Pty Ltd (SA),,,,,,,,,,69399,RP SA Slip Test 08,29/08/2022,29/08/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Rundle Place. Testing performed 24-08-2022. Purchase order RP SA Slip Test 08,1,690.00,,43000,GST on Income,69.00,Job,914-09-Rundle Place,,,,,
 Brightfield Group Services,,,,,,,,,,69400,,29/08/2022,29/08/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for The Station Oxley Shopping Centre. Testing performed 24-08-2022. ,1,675.00,,43000,GST on Income,67.50,Job,1064-02-The Station Oxley SC,,,,,
 Assetlink (SA),,,,,,,,,,69401,PO104659,29/08/2022,29/08/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for Burnside Village. Testing performed 24-08-2022. PO104659,1,655.00,,43000,GST on Income,65.50,,,,,,,
 Assetlink (VIC),,,,,,,,,,69402,PO106796,29/08/2022,29/08/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for Melbourne Central. Testing performed 16-08-2022. Purchase order PO106796,1,855.00,,43000,GST on Income,85.50,,,,,,,
 Cirka Group Pty Ltd,,,,,,,,,,69403,154231,29/08/2022,29/08/2022,,,Provide annual wet and dry slip resistance measurement and report for Westpac House. Testing performed 25-08-2022. Purchase order 154231,1,"1,050.00",,43000,GST on Income,105.00,Job,911-01-Westpac House,,,,,
 Avenues SC Unit Trust,,,,,,,,,,69404,CWO0500233,29/08/2022,29/08/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for The Avenues Shopping Centre. Testing performed 23-08-2022. Purchase Order CWO0500233,1,700.00,,43000,GST on Income,70.00,,,,,,,
 Springmount Services Pty Ltd,,,,,,,,,,69405,PQ011953,30/08/2022,30/08/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for Robina Home & Life. Testing performed 25-08-2022. Purchase order PQ011953,1,600.00,,43000,GST on Income,60.00,,,,,,,
 Dreamweaver Pty Ltd ATF Weaver,,,,,,,,,,69406,PO5819840_243924,30/08/2022,30/08/2022,,,Provide 6 monthly wet slip resistance measurement and report for Mowbray. Testing performed 4-07-2022. Purchase Order PO5819840_243924,1,345.00,,43000,GST on Income,34.50,,,,,,,
 269 Wickham CTS 4018 - 88 936 353 627,,,,,,,,,,69407,WO010825,30/08/2022,30/08/2022,,,Provide annual wet and dry slip resistance measurement and report for 269 Wickham Street. Testing performed 22-07-2022. Purchase Order WO010825,1,570.00,,43000,GST on Income,57.00,Job,1305-269 Wickham Street,,,,,
 Shopping Centres Australasia Property Group Re Ltd,,,,,,,,,,69408,W9709744,30/08/2022,30/08/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for Marketplace Warner. Testing performed 16-08-2022. Purchase Order W9709744,1,600.00,,43000,GST on Income,60.00,Job,1325-06-Marketplace Warner,,,,,
 Pullman Brisbane King George Square,,,,,,,,,,69409,PO21396,30/08/2022,30/08/2022,,,Provide annual wet slip resistance measurement and report for Pullman Brisbane King George Square. Testing performed 13-07-2022. Purchase Order PO21396,1,645.00,,43000,GST on Income,64.50,Job,1501-03-Pullman King George Sqr,,,,,
 Assetlink (NSW),,,,,,,,,,69410,PO106264,30/08/2022,30/08/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Erina Fair. Testing performed 24-08-2022. Purchase order PO106264,1,825.00,,43000,GST on Income,82.50,Job,600-08-Erina Fair,,,,,
 Assetlink (NSW),,,,,,,,,,69411,PO106242,30/08/2022,30/08/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Canberra Centre. Testing performed 25-08-2022. Purchase order PO106242,1,700.00,,43000,GST on Income,70.00,Job,712-01-Canberra Centre,,,,,
 Mirvac Real Estate Pty Ltd,,,,,,,,,,69412,812763,30/08/2022,30/08/2022,,,Provide special request wet slip resistance measurement and report for 20 Bond Street. Testing performed 24-08-2022. Testing requested by Nathan Sullivan. Purchase Order 812763,1,500.00,,43001,GST on Income,50.00,,,,,,,
 Australand Residential (Edmondson Park) Trust,,,,,,,,,,69413,4100017750,30/08/2022,30/08/2022,,,Provide special request wet slip resistance measurement and report for Ed Square. Testing performed 24-08-2022. Testing requested by Peter Kuschert. Purchase Order 4100017750,1,350.00,,43001,GST on Income,35.00,Job,500-02-Ed Square,,,,,
 Master Carpets ACT Pty Ltd,,,,,,,,,,69414,,30/08/2022,30/08/2022,,,Provide special request wet slip resistance measurement and report for CSIRO Black Mountain. Testing performed 25-08-2022. Testing requested by Stuart Quessy.,1,525.00,,43001,GST on Income,52.50,Job,4010-Specials - ACT,,,,,
 Fabcot Pty Limited,,,,,,,,,,69415,CWO0497133,30/08/2022,30/08/2022,,,Provide annual wet and dry slip resistance measurement and report for 24 Flora Street. Testing performed 23-08-2022. Purchase Order CWO0497133,1,675.00,,43000,GST on Income,67.50,,,,,,,
 Capital Tiling,,,,,,,,,,69416,,30/08/2022,30/08/2022,,,Provide special request wet slip resistance measurement and report for 154 Melbourne Street. Testing performed 30-08-2022. Testing requested by Darren Gray.,1,350.00,,43001,GST on Income,35.00,Job,4004-Specials - SEQ,,,,,
 Barwon Atf Belconnen Investment Trust,,,,,,,,,,69417,BAR105_2200005,31/08/2022,31/08/2022,,,Provide annual wet and dry slip resistance measurement and report for Ginninderra Medical Centre. Testing performed 24-08-2022. Purchase Order BAR105_2200005,1,625.00,,43000,GST on Income,62.50,Job,707-07-Ginninderra Medical Centre,,,,,
 Southern Downs Regional Council,,,,,,,,,,69418,FB001236/0,31/08/2022,31/08/2022,,,Provide special request wet slip resistance measurement and report for Stanthorpe Fitness Centre. Testing performed 30-08-2022. Purchase Order Number FB001236/0. Testing requested by Adam Smith.,1,"1,125.00",,43001,GST on Income,112.50,Job,4005-Specials -  RQLD,,,,,
 Marquette Investment Managers Pty Ltd,,,,,,,,,,69419,10EAGL_2201170,31/08/2022,31/08/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for 10 Eagle Street. Testing performed 30-08-2022. Purchase Order 10EAGL_2201170,1,675.00,,43000,GST on Income,67.50,,,,,,,
 The Jetty Specialist (TJS),,,,,,,,,,69420,28750,31/08/2022,31/08/2022,,,Provide special request wet slip resistance measurement and report for Russell Island Jetty. Testing performed 30-08-2022. Purchase Order Number: 28750. Testing requested by Donal Mullarkey.,1,"1,150.00",,43001,GST on Income,115.00,Job,4004-Specials - SEQ,,,,,
 BIC Consolidated,,,,,,,,,,69421,0822A14597,31/08/2022,31/08/2022,,,Provide annual wet and dry slip resistance measurement and report for 990 La Trobe Street. Testing performed 16-08-2022. Purchase order 0822A14597,1,590.00,,43000,GST on Income,59.00,,,,,,,
 Tomkins Commercial & Industrial Builders Pty Ltd,,,,,,,,,,69422,21077/118954,31/08/2022,31/08/2022,,,Provide special request wet slip resistance measurement and report for 7 Litsea Street Export Park. Testing performed 31-08-2022. Purchase Order Number: 21077/118954. Testing requested by Julian Bastianon.,1,650.00,,43001,GST on Income,65.00,Job,4004-Specials - SEQ,,,,,
 Assetlink (QLD),,,,,,,,,,69423,AP02289000811,31/08/2022,31/08/2022,,,Provide special request wet slip resistance measurement and report for Australia Post Brisbane GPO. Testing performed 31-08-2022. Purchase order AP02289000811,1,350.00,,43000,GST on Income,35.00,Job,4004-Specials - SEQ,,,,,
 Community Oral and Mental Health,,,,,,,,,,69424,45287327,31/08/2022,31/08/2022,,,Provide annual wet slip resistance measurement and report for Brighton Health Campus. Testing performed 11-08-2022. Work Order 45287327,1,450.00,,43000,GST on Income,45.00,Job,1007-01-Brighton Health Campus,,,,,
 Total Building Maintenance,,,,,,,,,,69425,PO16531,31/08/2022,31/08/2022,,,Provide annual wet slip resistance measurement and report for The Barracks Shopping Centre. Testing performed 29-08-2022. Purchase order PO16531,1,925.00,,43000,GST on Income,92.50,,,,,,,
 EMG Facility Services Pty Ltd,,,,,,,,,,69427,46560,01/09/2022,01/09/2022,,,Provide 3 monthly dry slip resistance measurement and report for Mt Ommaney Shopping Centre. Testing performed 30/08/2022. Order #46560,1,325.00,,43000,GST on Income,32.50,Job,1362-01-Mt Ommany Shopping Centre,,,,,
 Sunshine Coast Council,,,,,,,,,,69428,PDP31314,01/09/2022,01/09/2022,,,Provide special request wet slip resistance measurement and report for 77 Bulcock Street. Testing performed 31-08-2022. Purchase Order Number PDP31314. Testing requested by Scott Jacobs.,1,825.00,,43001,GST on Income,82.50,Job,4004-Specials - SEQ,,,,,
 Intrec Management (QLD)  Pty Ltd,,,,,,,,,,69429,5164-24370,01/09/2022,01/09/2022,,,Provide special request wet slip resistance measurement and report for Lawnton State School. Testing performed on 31-08-2022. Purchase Order Number: 5164-24370. Testing requested by Andres Melendez,1,"1,550.00",,43001,GST on Income,155.00,Job,4004-Specials - SEQ,,,,,
 Stones Corner Village,,,,,,,,,,69431,,01/09/2022,01/09/2022,,,Provide 3 monthly dry and 6 monthly wet slip resistance measurement and report for Stones Corner Village. Testing performed 01-09-2022. ,1,640.00,,43000,GST on Income,64.00,Job,1511-01-Stones Corner Village,,,,,
 B.I.C. Services Pty Ltd,,,,,,,,,,69432,95279,01/09/2022,01/09/2022,,,Provide annual wet and dry slip resistance measurement and report for 84 Crown Street. Testing performed 23/08/2022. Order #95279,1,545.00,,43000,GST on Income,54.50,Job,761-06-84 Crown Street,,,,,
 Brisbane Airport Corporation Pty Limited,,,,,,,,,,69433,PSF01360,02/09/2022,02/09/2022,,,Provide annual wet slip resistance measurement and report for Brisbane DFO Carpark. Testing performed 01-09-2022. Purchase Order PSF01360,1,550.00,,43000,GST on Income,55.00,Job,1410-05-BAC DFO Carpark Pedestria,,,,,
 Brisbane Airport Corporation Pty Limited,,,,,,,,,,69434,PSF01360,02/09/2022,02/09/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Skygate Shopping Centre. Testing performed 1-09-2022. Purchase Order PSF01360,1,550.00,,43000,GST on Income,55.00,Job,1410-03-Skygate SC,,,,,
 Brisbane Airport Corporation Pty Limited,,,,,,,,,,69435,PSF01360,02/09/2022,02/09/2022,,,Provide monthly wet slip resistance measurement and report for Brisbane Airport - Terminals. Testing performed 01-09-2022. ,1,"1,275.00",,43000,GST on Income,127.50,Job,1410-01-Brisbane Airport,,,,,
 Brisbane Airport Corporation Pty Limited,,,,,,,,,,69435,PSF01360,02/09/2022,02/09/2022,,,Provide monthly wet slip resistance measurement and report fro Brisbane Airport - International External Walkway. Testing performed 01-09-2022,1,.00,,43000,GST on Income,.00,Job,1410-07-BNE Intl Airport  Walk Wa,,,,,
 Brisbane Airport Corporation Pty Limited,,,,,,,,,,69435,PSF01360,02/09/2022,02/09/2022,,,Provide 3 monthly dry slip resistance measurement and report for Brisbane Airport - Domestic Terminal. Testing performed 01-09-2022. ,1,.00,,43000,GST on Income,.00,Job,1410-01-Brisbane Airport,,,,,
 Brisbane Airport Corporation Pty Limited,,,,,,,,,,69435,PSF01360,02/09/2022,02/09/2022,,,Purchase Order PSF01360,1,.00,,43000,GST on Income,.00,,,,,,,
 Kaliwest Pty Ltd,,,,,,,,,,69436,295-2200102,02/09/2022,02/09/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for IGA Marketplace Greenslopes. Testing performed 01-09-2022. Purchase Order 295-2200102,1,585.00,,43000,GST on Income,58.50,Job,1352-07-IGA Marketplace Greenslop,,,,,
 Millennium Hi Tech Group P/L,,,,,,,,,,69438,DavidBailey,05/09/2022,05/09/2022,,,Provide 6 monthly dry slip resistance measurement and report for Westfield Carindale. Testing performed 01-09-2022. Purchase order DavidBailey,1,450.00,,43000,GST on Income,45.00,Job,1419-01-Westfield Carindale,,,,,
 ISPT Retail Property Trust Brunswick,,,,,,,,,,69439,W9720787,05/09/2022,05/09/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Barkly Square. Testing performed 04-09-2022. Purchase Order W9720787,1,600.00,,43000,GST on Income,60.00,,,,,,,
 SECUREclean (QLD) Pty Ltd,,,,,,,,,,69440,CLQPO0010741,05/09/2022,05/09/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Brisbane Airport International. Testing performed 01-09-2022. Purchase order CLQPO0010741,1,825.00,,43000,GST on Income,82.50,,,,,,,
 Springmount Services Pty Ltd,,,,,,,,,,69441,PQ012951,05/09/2022,05/09/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Nerang Mall. Testing performed 02-09-2022. Purchase order PQ012951,1,675.00,,43000,GST on Income,67.50,Job,1411-06-Nerang Mall,,,,,
 B.I.C. Services Pty Ltd,,,,,,,,,,69442,94719,05/09/2022,05/09/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for 145 Ann Street. Testing performed 15-08-2022. Purchase order 94719,1,675.00,,43000,GST on Income,67.50,Job,1460-11-145 Ann Street,,,,,
 Brightfield Group Services,,,,,,,,,,69443,,05/09/2022,05/09/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Cleveland Central. Testing performed 05-09-2022. ,1,675.00,,43000,GST on Income,67.50,Job,1064-01-Cleveland Central,,,,,
 Nerang Town Centre,,,,,,,,,,69444,MYN401_2200454,05/09/2022,05/09/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for My Centre Nerang. Testing performed 02-09-2022. Purchase Order MYN401_2200454. ,1,655.00,,43000,GST on Income,65.50,,,,,,,
 Charter Hall Real Estate Management Services,,,,,,,,,,69445,PO5816340_243924,05/09/2022,05/09/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for 85 George Street. Testing performed 05-09-2022. Purchase Order PO5816340_243924,1,580.00,,43000,GST on Income,58.00,Job,1437-60-85 George St Brisb,,,,,
 Retail Projex,,,,,,,,,,69446,#000136,06/09/2022,06/09/2022,,,Provide 6 monthly wet slip resistance measurement and report for Castle Hill Homemaker Centre. Testing performed 23-08-2022. Purchase Order #000136,1,450.00,,43000,GST on Income,45.00,,,,,,,
 Springmount Services Pty Ltd,,,,,,,,,,69447,PQ012950,06/09/2022,06/09/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Forest Lake Shopping Centre. Testing performed 05-09-2022. Purchase order PQ012950,1,675.00,,43000,GST on Income,67.50,Job,1411-03-Forest Lake Shopping Centre,,,,,
 Richlands Central Pty Ltd,,,,,,,,,,69448,157-2200044,06/09/2022,06/09/2022,,,Provide annual wet slip resistance measurement and report for 199 Progress Corner. Testing performed 05-09-2022. Purchase Order 157-2200044,1,425.00,,43000,GST on Income,42.50,,,,,,,
 Springmount Services Pty Ltd,,,,,,,,,,69449,PQ012953,06/09/2022,06/09/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for The Village Mount Gravatt. Testing performed 05-09-2022. Purchase order PQ012953,1,675.00,,43000,GST on Income,67.50,Job,1411-04-The Village Mount Gravatt,,,,,
 Victoria Point Shopping Centre,,,,,,,,,,69450,6438,06/09/2022,06/09/2022,,,Provide monthly wet and dry slip resistance measurement and report for Victoria Point Shopping Centre. Testing performed 05-09-2022. Purchase Order 6438,1,585.00,,43000,GST on Income,58.50,,,,,,,
 Ardent Leisure Limited,,,,,,,,,,69451,463931,06/09/2022,06/09/2022,,,Provide monthly wet slip resistance measurement and report for Dreamworld. Testing performed 02-09-2022. Purchase Order 463931,1,450.00,,43000,GST on Income,45.00,Job,1409-01-Dreamworld,,,,,
 Springmount Services Pty Ltd,,,,,,,,,,69452,PQ012974,06/09/2022,06/09/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Hyperdome Shopping Centre. Testing performed 06-09-2022. Purchase order PQ012974,1,850.00,,43000,GST on Income,85.00,Job,1411-05-Hyperdome Shopping Centre,,,,,
 Zupp 1979 Pty Ltd,,,,,,,,,,69453,AU01545343,06/09/2022,06/09/2022,,,Provide every 2nd year wet and dry slip resistance measurement and report for 1979 Ipswich Road. Testing performed 05-09-2022. Purchase Order AU01545343,1,500.00,,43000,GST on Income,50.00,,,,,,,
 Palazzo Versace,,,,,,,,,,69454,,07/09/2022,07/09/2022,,,Provide special request wet slip resistance measurement and report for Palazzo Versace. Testing performed 07-09-2022. Testing requested by Cyrus Tolentino.,1,350.00,,43001,GST on Income,35.00,Job,4004-Specials - SEQ,,,,,
 Calardu Maroochydore Pty Ltd,,,,,,,,,,69455,SO7131532_243924,07/09/2022,07/09/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for Maroochydore Homemaker Centre. Testing performed 6-09-2022. Purchase Order SO7131532_243924,1,635.00,,43000,GST on Income,63.50,Job,1437-13-Maroochydore Homemaker,,,,,
 Starlight Properties Pty Ltd ATF Starlight,,,,,,,,,,69456,SO7135601_243924,07/09/2022,07/09/2022,,,Provide annual wet slip resistance measurement and report for 28 Aerodrome Road. Testing performed 06-09-2022. Purchase Order SO7135601_243924 ,1,390.00,,43000,GST on Income,39.00,Job,1437-55-28 Aerodrome Road,,,,,
 Tile One Pty Ltd,,,,,,,,,,69457,,07/09/2022,07/09/2022,,,"Provide special request wet slip resistance measurement and report for the following samples. Testing performed 07/09/2022. Testing requested by Gavin Moros.\r\n - Mix Charcoal Ext, Grey, Tile, 60x60cm\r\n - Pietra Beige Matt, Grey, Tile, 60x60cm\r\n - Pietra Greige Ext, Grey, Tile, 60x60cm",1,450.00,,43002,GST on Income,45.00,Job,8005-Product Class- AU,,,,,
 Millennium Hi-Tech Pty Ltd (SA),,,,,,,,,,69458,AA0922ST,07/09/2022,07/09/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for Armada Arndale. Testing performed 23-08-2022. Purchase order AA0922ST,1,610.00,,43000,GST on Income,61.00,Job,914-10-Armada Arndale,,,,,
 Whistle Funds Management Company Pty Ltd,,,,,,,,,,69459,SO7130979_243924,08/09/2022,08/09/2022,,,Provide annual wet slip resistance measurement and report for 7 Barclay Drive. Testing performed 07-09-2022. Purchase Order SO7130979_243924,1,610.00,,43000,GST on Income,61.00,,,,,,,
 Whistle Funds Management Company Pty Ltd,,,,,,,,,,69460,SO7130978_243924,08/09/2022,08/09/2022,,,Provide annual wet slip resistance measurement and report for Casuarina Shopping Village. Testing performed 7-09-2022. Purchase Order SO7130978_243924,1,610.00,,43000,GST on Income,61.00,,,,,,,
 The Trustee for Calardu Ballina No. 1 Trust,,,,,,,,,,69461,PO5828444_243924,08/09/2022,08/09/2022,,,Provide annual wet slip resistance measurement and report for Ballina Homemaker Centre. Testing performed 01-08-2022. Purchase Order PO5828444_243924,1,550.00,,43000,GST on Income,55.00,Job,625-06-Ballina Homemaker Centre,,,,,
 Lipoma Pty Ltd as trustee for the Riverlink Unit,,,,,,,,,,69462,18148,08/09/2022,08/09/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Riverlink Shopping Centre. Testing performed 02-09-2022. Purchase Order 00018148,1,640.00,,43000,GST on Income,64.00,,,,,,,
 Whistle Funds Management Company Pty Ltd,,,,,,,,,,69463,SO7130975_243924,08/09/2022,08/09/2022,,,Provide annual wet slip resistance measurement and report for Ocean Village Shopping Centre (KHub Pad Site). Testing performed 07-09-2022. Purchase Order SO7130975_243924,1,610.00,,43000,GST on Income,61.00,,,,,,,
 Whistle Funds Management Company Pty Ltd,,,,,,,,,,69464,SO7130974_243924,08/09/2022,08/09/2022,,,Provide annual wet slip resistance measurement and report for Ocean Village Shopping Centre. Testing performed 07-09-2022. Purchase Order SO7130974_243924,1,610.00,,43000,GST on Income,61.00,,,,,,,
 Henry & Angela Pty Ltd ATF Henry Family Trust,,,,,,,,,,69465,428-2200001,08/09/2022,08/09/2022,,,Provide annual wet slip resistance measurement and report for 40 Blackwood Street. Testing performed 07-09-2022. Purchase Order 428-2200001,1,450.00,,43000,GST on Income,45.00,Job,1352-40-Vineyards on Blackwood,,,,,
 Shopping Centres Australasia Property Group Re Ltd,,,,,,,,,,69466,W9473736,08/09/2022,08/09/2022,,,Provide annual wet slip resistance measurement and report for Lillybrook Shopping Village. Testing performed 8-09-2022. Purchase Order W9473736,1,435.00,,43000,GST on Income,43.50,,,,,,,
 Airstep Australia Pty Ltd,,,,,,,,,,69467,,08/09/2022,08/09/2022,,,"Provide special request wet slip resistance measurement and report for the following samples. Testing performed 08/09/2022. Testing requested by Steve Wootton.\r\n - Blackbutt, NP530, Brown, Timber Look Vinyl, 23x153cm\r\n - Sandy Oak, NP301, Grey, Timber Look Vinyl, 18x122cm",1,300.00,,43002,GST on Income,30.00,Job,8005-Product Class- AU,,,,,
 Shopping Centres Australasia Property Group Re Ltd,,,,,,,,,,69468,W9731505,09/09/2022,09/09/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for Woolworths Carrara. Testing performed 8-09-2022. Purchase Order W9731505,1,510.00,,43000,GST on Income,51.00,,,,,,,
 Horizontal Investment Pty Ltd as trustee,,,,,,,,,,69469,65357-SIR12,09/09/2022,09/09/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for Helensvale Plaza. Testing performed 08-09-2022. Purchase Order 65357-SIR12,1,725.00,,43000,GST on Income,72.50,Job,1354-Helensvale Plaza,,,,,
 Sandran Pty Ltd,,,,,,,,,,69470,#002248,09/09/2022,09/09/2022,,,Provide annual wet slip resistance measurement and report for 5 Maud Street. Testing performed 06-09-2022. Purchase Order #002248,1,475.00,,43000,GST on Income,47.50,,,,,,,
 Brisbane Convention Centre,,,,,,,,,,69471,10066842,09/09/2022,09/09/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Brisbane Convention & Exhibition Centre. Testing performed 09-09-2022. Purchase Order 10066842,1,575.00,,43000,GST on Income,57.50,Job,1406-Brisbane Convention Centre,,,,,
 Tile One Pty Ltd,,,,,,,,,,69472,,09/09/2022,09/09/2022,,,"Provide special request wet slip resistance measurement and report for the following samples. Testing performed 09/09/2022. Testing requested by Gavin Moros.\r\n - Cement 30x60 Dk Grey, P2P4 - KMC6302P4, Grey, Tile, 30x60cm\r\n - Mix 60x60 White Matt, Bone, Tile, 60x60cm",1,300.00,,43002,GST on Income,30.00,Job,8005-Product Class- AU,,,,,
 Australian Property OPP Trust,,,,,,,,,,69473,,12/09/2022,12/09/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for Noosa Village. Testing performed 08-09-2022. ,1,665.00,,43000,GST on Income,66.50,,,,,,,
 Trident Services Australia,,,,,,,,,,69474,TSC-PO 002804,12/09/2022,12/09/2022,,,Provide 3 monthly wet and dry slip resistance measurement and report for Noosa Civic Shopping Centre. Testing performed 08-09-2022. Purchase order TSC-PO 002804,1,675.00,,43000,GST on Income,67.50,Job,1010-06-Noosa Civic Shopping Centre,,,,,
 Springmount Services Pty Ltd,,,,,,,,,,69475,PQ012949,12/09/2022,12/09/2022,,,Provide 6 monthly wet slip resistance measurement and report for Q Super Centre. Testing performed 08-09-2022. Purchase order PQ012949,1,450.00,,43000,GST on Income,45.00,,,,,,,
 Millennium Hi Tech Holdings Pty Ltd,,,,,,,,,,69476,WETH-CLN 229002,12/09/2022,12/09/2022,,,Provide 6 monthly wet and dry slip resistance measurement and report for Stockland Wetherhill Park. Testing performed 06-09-2022. Purchase order WETH-CLN 229002,1,625.00,,43000,GST on Income,62.50,,,,,,,
