Date,Amount,Description,Payee,Reference,Transaction type,Account Code,Tax,Bank,ITEM CODE,Currency rate,Tname,Toption,Tname 1,Toption1,Line Amount Type,Tax Amount,Currency Name
13/03/2024,129.32,Reimbursement Mick Walton for fine paid in Sydney,No Name,CR020936-652,RECIEVE,62003,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
14/03/2024,577.50,Double Payment invoice 73573- Fitzroys,No Name,CR020953-655,RECIEVE,43006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
28/03/2024,15.53,Credit interest paid by the bank,No Name,CR021110-667,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
16/04/2024,0.05,Refund from ANZ- Reason unknown,No Name,CR021192-684,RECIEVE,60001,GST Free Expenses,11111.0,,,,,,,Exclusive,0.00,
16/04/2024,0.03,ANZ Refund- Reason Unknown,No Name,CR021193-685,RECIEVE,60001,GST Free Expenses,11112.0,,,,,,,Exclusive,0.00,
22/04/2024,1740.91,Insurance Claim for JB front window screen from Oct 2023,No Name,CR021233-689,RECIEVE,61506,GST Free Expenses,11111.0,,,,,,,Exclusive,0.00,
30/04/2024,26.78,Credit interest paid by the bank,No Name,CR021346-694,RECIEVE,81000,BAS Excluded,11113.0,,,,,,,Exclusive,0.00,
02/05/2024,134.80,Metcash refund for some items that were deliver as a mistake,No Name,CR021636-698,RECIEVE,61304,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
15/05/2024,273.25,Nathan refunded money for personal expense in April 2024,No Name,CR021443-710,RECIEVE,61504,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
17/05/2024,25000.00,Transfer/ Capital input from Mick Walton Account #526518752 to pay for new RAV 4 489JW9 ,No Name,CR021439-713,RECIEVE,21501,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
31/05/2024,23.62,Credit interest paid,No Name,CR021613-720,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
04/06/2024,4500.00,Capital input from ISTS New Zealand NZ$4951.26,No Name,CR021560-722,RECIEVE,14001,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
04/06/2024,59.90,Credit for Totally Workwear as Elliot bought the wrong shirt for testing in May,No Name,CR021855-723,RECIEVE,60106,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
11/06/2024,5296.50,Centerlink payment for Nikita Murtagh maternity leave,No Name,CR021619-732,RECIEVE,21202,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
14/06/2024,19972.73,Insurance payment for written-off vehicle 448BG4 ,No Name,CR021663-739,RECIEVE,86000,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
19/06/2024,440.00,Duplicate payment for invoice #74598 Atlantic Commercial Interiors paid 14/6/24,No Name,CR021690-742,RECIEVE,43006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
21/06/2024,5.11,Credit for removing Holden Commodore 215XRP from the insurance,No Name,CR021719-746,RECIEVE,62006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
21/06/2024,51.66,Credit for removing Holden Commodore 215XRP from the insurance,No Name,CR021719-746,RECIEVE,62015,GST on Expenses,11111.0,,,,,,,Exclusive,5.17,
25/06/2024,5296.50,Parental leave for Nikita Murtagh,No Name,CR021738-748,RECIEVE,21202,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
28/06/2024,22.58,Credit interest paid by the bank,No Name,CR021903-751,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
30/06/2024,147.00,Credit from parking at Brisbane Airport,No Name,CR022097-752,RECIEVE,62002,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
30/06/2024,430.20,Credit Comopolitan Hotel in Melbourne (Chris Rezuk),No Name,CR022117-753,RECIEVE,61504,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
30/06/2024,6.45,Credit Comopolitan Hotel in Melbourne (Chris Rezu,No Name,CR022118-754,RECIEVE,61504,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
05/07/2024,25.25,Grant reimbursement ,No Name,CR022119-759,RECIEVE,61505,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
10/07/2024,165.25,Pension/Superannuation from Ctrlink PPLFunds to top up 5 weeks.  New parental leave wage $915.80. ,No Name,CR021871-764,RECIEVE,21202,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
22/07/2024,5000.00,Capital input from ISTS New Zealand NZ$5652.72,No Name,CR021958-770,RECIEVE,14001,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
31/07/2024,24.76,Credit interest from ANZ,No Name,CR022066-780,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
06/08/2024,5494.80,Parental Leave Funds for Nikita Murtagh,No Name,CR022086-781,RECIEVE,21202,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
15/08/2024,0.49,Credit  from ANZ refund refere to ANZ.COM RID,No Name,CR022302-788,RECIEVE,60001,GST Free Expenses,21002.0,,,,,,,Exclusive,0.00,
20/08/2024,852.50,Duplicate payment from Lidcombe Property Holdings Pty Ltd for invoice #74988,No Name,CR022191-791,RECIEVE,43006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
30/08/2024,19.72,Credit interest paid,No Name,CR022286-799,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
25/09/2024,836.00,Duplicate payment for invoice 75372 paid on 20/09/2024,No Name,CR022443-813,RECIEVE,43006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
29/09/2024,39.71,Ned Holzberger reimbursement Uber Eats,No Name,CR022578-816,RECIEVE,62002,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
30/09/2024,22.31,ANZ credit interest paid,No Name,CR022559-819,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
12/10/2024,108.00,Refund tickes in train in China,No Name,CR022823-833,RECIEVE,62319,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
21/10/2024,2000.00,Mick capital input to cover the business fares for China for him and 3 technicians and also to top up the credit card for expenses in China.  ANZ Account #166376382,No Name,CR022756-845,RECIEVE,21402,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
31/10/2024,26.39,Credit interest paid by ANZ,No Name,CR022811-855,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
14/11/2024,137.80,Reimbursement Grant MacVitie payment made to Qantas in October 2024 (99+38.80),No Name,CR023047-865,RECIEVE,61501,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
29/11/2024,20.29,Credit interest paid by ANZ,No Name,CR023033-878,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
03/12/2024,198.00,Duplicate payment for invoice #74626 from Franca Design paid 19/06/2024,No Name,CR023045-883,RECIEVE,43006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
06/12/2024,-99.04,Removing 861 BK7 as it was sold. ,No Name,CR023243-888,RECIEVE,62005,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
06/12/2024,107.49,Removing 861 BK7 as it was sold. ,No Name,CR023243-888,RECIEVE,62006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
06/12/2024,45.00,Removing 861 BK7 as it was sold. ,No Name,CR023243-888,RECIEVE,61405,GST on Expenses,11111.0,,,,,,,Exclusive,4.50,
06/12/2024,1085.80,Removing 861 BK7 as it was sold. ,No Name,CR023243-888,RECIEVE,62015,GST on Expenses,11111.0,,,,,,,Exclusive,108.58,
20/12/2024,825.00,Duplidate payment of invoice #75746 Danlaid CFS Pty Ltd already paid on 18/12/24,No Name,CR023198-895,RECIEVE,43006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
27/12/2024,5000.00,Capital input from ISTS New Zealand NZ$5630.76,No Name,CR023210-898,RECIEVE,14001,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
31/12/2024,30.41,Credit interest paid by ANZ,No Name,CR023269-902,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
20/01/2025,37.99,Ned Reimbursement used works credit card by mistake,No Name,CR023612-915,RECIEVE,62002,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
31/01/2025,25.60,Credit interes paid by ABZ,No Name,CR023529-925,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
31/01/2025,14.30,Reimbursement Ned Holzberger Car Washing,No Name,CR024081-926,RECIEVE,62005,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
19/02/2025,54.97,Reimbursement Joshua Warren for Apple transactions made by his credit card in January 2025,No Name,CR023624-939,RECIEVE,61505,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
24/02/2025,566.85,Net payment recieved from MYOB. Invoice #00076664 was paid twice by Colliers.This payment charges a fee of $10.65 ,No Name,CR023825-945,RECIEVE,43006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
28/02/2025,320.00,"Possible deposit to ISTS in error for invoice #14243 The Pines Shopping Centre, invoice not in our system, no program for this site,  amount not owing in MYOB",No Name,CR023732-952,RECIEVE,43006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
28/02/2025,22.47,Credit interest paid by ANZ,No Name,CR023850-954,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
28/02/2025,10000.00,Capital input from Walton Global account #23024596,No Name,CR023851-955,RECIEVE,21501,BAS Excluded,11114.0,,,,,,,Exclusive,0.00,
11/03/2025,852.50,Double payment invoice #76396 paid by JLL and Centre Management,No Name,CR023793-959,RECIEVE,43006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
11/03/2025,660.00,Money received from Raptis Investment invoice 14769 does not belong to ISTS,No Name,CR023797-960,RECIEVE,43006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
18/03/2025,64.97,Reiumbursement Joshua Waren Apple Bill in February 2025,No Name,CR023852-971,RECIEVE,61505,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
24/03/2025,0.26,Remediation payment made by ANZ,No Name,CR023891-974,RECIEVE,60001,GST Free Expenses,11111.0,,,,,,,Exclusive,0.00,
24/03/2025,0.26,Remediation payment made by ANZ,No Name,CR023892-975,RECIEVE,60001,GST Free Expenses,11111.0,,,,,,,Exclusive,0.00,
24/03/2025,1.03,Money received from ANZ refund BND016,No Name,CR024023-977,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
31/03/2025,19.96,Credit interest friom ANZ,No Name,CR024024-983,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
11/04/2025,32.60,Transfer from Regional Insurance Brokers to remove 728 WLM from the insurance,No Name,CR024072-991,RECIEVE,62006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
11/04/2025,-40.00,Transfer from Regional Insurance Brokers to remove 728 WLM from the insurance,No Name,CR024072-991,RECIEVE,61405,GST on Expenses,11111.0,,,,,,,Exclusive,-4.00,
11/04/2025,329.27,Transfer from Regional Insurance Brokers to remove 728 WLM from the insurance,No Name,CR024072-991,RECIEVE,62015,GST on Expenses,11111.0,,,,,,,Exclusive,32.93,
28/04/2025,937.31,Reimbursement Joshua Walden Avis Rental car in Melbourne,No Name,CR024308-1003,RECIEVE,61506,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
30/04/2025,18.12,ANZ (new Directors) Account 205581,ANZ (new Directors) Account 205581,CR024237-1005,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
12/05/2025,35.00,Reimbursement Carl Kleinhaus personal expense,No Name,CR024555-1008,RECIEVE,62002,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
16/05/2025,170.94,Reimbusement Nathan Martin,No Name,CR024556-1013,RECIEVE,61504,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
28/05/2025,5000.00,Capital input from ISTS New Zealand NZ$5488.90,No Name,CR024419-1028,RECIEVE,14001,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
29/05/2025,5000.00,Mick is transferring from Walton Global acc # 23024596 to this account (Because it is easy),No Name,CR024543-1033,RECIEVE,21501,BAS Excluded,11114.0,,,,,,,Exclusive,0.00,
31/05/2025,8.99,Credit paid by ANZ,No Name,CR024542-1035,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
05/06/2025,5000.00,Capital input from ISTS New Zealand NZ$5473.51,No Name,CR024519-1042,RECIEVE,14001,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
05/06/2025,200.00,Money reimbursed by Mick,No Name,CR024520-1043,RECIEVE,31310,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
05/06/2025,5000.00,Transfer from Walton Global Acc #23024596,No Name,CR024521-1044,RECIEVE,21501,BAS Excluded,11114.0,,,,,,,Exclusive,0.00,
