*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount
BUL-BL-SR20-s,"Billet SR20 solid with 1/2"" he","Billet SR20 solid with 1/2"" head stud Kit",,,,"Billet SR20 solid with 1/2"" head stud Kit",9400.00,41110,GST on Income,,
05-sr20-crank-spool,Spool Billet Crankshaft,,,,,,2000.00,41110,GST on Income,,
06-LS3-SS valve,LS3 with stainless steel valve,,,,,,2400.00,41110,GST on Income,,
06-hol-EFI-cnc,VN-VT EFI CNC head package,,,,,,3500.00,41110,GST on Income,,
07-VP-C9,VP Racing Fuels C9 19ltr,,,,,,187.00,41110,GST on Income,,
07-VP-C10,VP Racing Fuels C10 19ltr,,,,,,115.00,41110,GST on Income,,
07-VP-MS109,VP Racing Fuels MS109 19ltr,,,,,,240.00,41110,GST on Income,,
07-VP-Qm25,VP Racing Fuels QM25 19ltr,,,,,,296.00,41110,GST on Income,,
07-VP-Roo99,VP Racing Fuels Roo99 19ltr,,,,,,115.00,41110,GST on Income,,
07-VP-Roo100,VP Racing Fuels Roo100 19ltr,,,,,,245.00,41110,GST on Income,,
07-VP-C85,VP Racing Fuels C85 19ltr,,,,,,125.00,41110,GST on Income,,
07-VP-M2,VP Upper Cylinder Lube,,,,,,35.00,41110,GST on Income,,
07-VP-Sent-Upper-lube,VP M2 w/Candy Sent Lube,,,,,,45.00,41110,GST on Income,,
07-VP-Frosty,VP Stay Frosty HP 4pk,,,,,,35.00,41110,GST on Income,,
07-VP-Frosty-Race,VP Stay Frosty Race 4pk,,,,,,37.00,41110,GST on Income,,
07-VP-Jug,VP Racing Fuels Jug,,,,,,60.00,41110,GST on Income,,
05-ARP-7/16-4.735,"ARP 7/16"" x 4.735"" Stud ","ARP 7/16"" x 4.735"" Stud with nut and washer",,51120,,"ARP 7/16"" x 4.735"" Stud with nut and washer",26.73,41110,GST on Income,,
05-rb26-ferrea,Ferrea Comp Plus RB26 valves,,,,,,1395.00,41110,GST on Income,,
06-iso-crank,ISO HPSF Crank,,,,,,440.00,41110,GST on Income,,
05-sr20-cp-pist,CP Custom Pistons & Rings,,,,,,1380.00,41110,GST on Income,,
05-sr20-tt-rods,Manley Turbo Tuff Rods 2000 se,,,,,,1560.00,41110,GST on Income,,
05-ARP-cast-RB30-studs,Cast RB30 main stud kit,,,,,,285.00,41110,GST on Income,,
06-HT-V8,Hot Tank V8 Block,,,,,,143.00,41110,GST on Income,,
05-4g-nitto-crnk,Nitto Billet EN40B crankshaft,,,,,,3700.00,41110,GST on Income,,
05-manlet-tt-4g,Manlet Turbo Tuff Rods,,,,,,1500.00,41110,GST on Income,,
05-manley-pist-4g,Manley Pistons,,,,,,1300.00,41110,GST on Income,,
05-LS-PAC-TI,PAC Ti spring kit,,,,,,770.00,41110,GST on Income,,
05-rb26-hed-gas,Cometic MLS Head Gasket,,,,,,335.00,41110,GST on Income,,
BUL-RB30x-seal-hse,Billet Rear Seal Housing,Billet Rear Seal Housing,,,,Billet Rear Seal Housing,220.00,41110,GST on Income,,
BUL-BL-ho-k-d,Billet Honda K series dry deck,Billet Honda K series Block dry deck W/head studs,,,,Billet Honda K series Block dry deck W/head studs,9900.00,41110,GST on Income,,
06-HT-bb-6cyl-hed,Hot Tank & Bead Blast 6 cylind,,,,,,160.00,41110,GST on Income,,
05-RB26-ati,"ATI Balancer 7.5""",,,,,,1045.00,41110,GST on Income,,
05-acl race-rod-6cyl,ACL Race Rod bearings,,,,,,125.00,41110,GST on Income,,
05-bme-pins-c300,C300 Piston Pins,,,,,,95.00,41110,GST on Income,,
07-VP-cr99,VP Racing Fuels CR99,,,,,,115.00,41110,GST on Income,,
BUL-ls3-std vlve,CNC Ported LS3 heads with stan,,,,,,2000.00,41110,GST on Income,,
06-hand-port,Hand Port,,,,,,143.00,41110,GST on Income,,
06-supply,Supply,,,,,,110.00,41110,GST on Income,,
BUL-FR-Dodge Viper,Individual FR 104.67 x 1.47mm,Individual FR 104.67 x 1.47mm,,58010,,Individual FR 104.67 x 1.47mm,82.75,41110,GST on Income,,
06-iso-cam,Polish cam,,,,,,150.00,41110,GST on Income,,
06-iso-vlv-spring,Polish Valve Sorings,,,,,,165.00,41110,GST on Income,,
06-Rb26-rear oil drain,Supply & Fit rear oil drain ,,,,,,330.00,41110,GST on Income,,
BUL-BL-ho-k-s,Billet Honda K solid block wit,Billet Honda K solid block with Head Studs,,,,Billet Honda K solid block with Head Studs,9900.00,41110,GST on Income,,
05-bolt- space-kit,Billet bracket bolt up kit,,,,,,65.00,41110,GST on Income,,
05-bme-pin-but,BME Forged Piston Pin Buttons,,,,,,40.00,41110,GST on Income,,
06-matchport,Match Port ,,,,,,220.00,41110,GST on Income,,
05-rb26-sprg/retnr,Supertech Spring & Retainer ki,,,,,,1177.00,41110,GST on Income,,
05-rb26-locks,Supertech Locks,,,,,,215.00,41110,GST on Income,,
06-4g-weld-dd-fit,Supply & Fit water fitting to ,,,,,,155.00,41110,GST on Income,,
05-rb26-super-vss,Supertech Valve Stem Seals,,,,,,3.50,41110,GST on Income,,
05-rb26-super-locks,Supertech Valve Locks,,,,,,4.55,41110,GST on Income,,
05-4G-aged-up,ARP Custom Aged stud upgrade,,,,,,850.00,41110,GST on Income,,
06-Resleeve-block,Resleeve Billet block,,,,,,250.00,41110,GST on Income,,
05-2jz-super-Vtrain,Supertech Valve Train Complete,,,,,,3600.00,41110,GST on Income,,
06-ass-6cyl-long,Assemble long motor,,,,,,2750.00,41110,GST on Income,,
05-callies-rb30,Callies Billet RB30 Crankshaft,,,,,,6000.00,41110,GST on Income,,
05-4G-spool crank,Billet Spool Crankshaft,,,,,,1890.00,41110,GST on Income,,
00-Marine,Marine,,,,,,0.00,41110,GST Free Expenses,,
06-rb30-cam-insta,Instal Cam & Rocker Gear,,,,,,440.00,41110,GST on Income,,
05-hon k-aged-up,ARP Custom Aged 625+ stud upgr,,,,,,980.00,41110,GST on Income,,
06-insert-berry,Supply & Fit Beryllium Inserts,,,,,,95.00,41110,GST on Income,,
06-rb30-bore guide,Bore Head for Bronze Guides,,,,,,22.00,41110,GST on Income,,
05-callies-rbx-crank,Ultra Billet Hybrid RB30 Drag ,,,,,,9500.00,41110,GST on Income,,
05-bme-rb30x-rods,BME RB30 Drag Extreme Rods,,,51111,,,385.00,41110,GST on Income,,
05-callico-rb30x-rod,Callico RB30 Drag Extreme rod ,,,,,,175.00,41110,GST on Income,,
05-callico-rbx-rod,Callico Rod Bearings RB30x,,,,,,180.00,41110,GST on Income,,
05-callico-dragX-main,Callico main bearings,,,,,,326.00,41110,GST on Income,,
06-hw-v8,Hot Wash V8 block,,,,,,88.00,41110,GST on Income,,
06-crtest-v8,Crack test V8 block,,,,,,110.00,41110,GST on Income,,
05-rb26-hed-2nd hand,Used RB26 Head,,,,,,3000.00,41110,GST on Income,,
05-callies-rb30-LP,Callies Custom RB30 Long Post,,,,,,5500.00,41110,GST on Income,,
05-ho k-super,Supertech Valve Train,,,,,,2200.00,41110,GST on Income,,
05-ho k-rod brg,ACL Race Rod Bearings,,,,,,85.00,41110,GST on Income,,
05-ho k-main brg,ACL Race Main Bearings,,,,,,130.00,41110,GST on Income,,
05-ho k-thrust brg,Crank Thrust Washer bearing se,,,,,,25.00,41110,GST on Income,,
05-ho k-TT rods,Manley Turbo Tuff Rods,,,,,,2000.00,41110,GST on Income,,
05-ho k-carrillo rods,Carrillo Rods,,,,,,2600.00,41110,GST on Income,,
05-ho k-cp pist,CP Piston & Ring set,,,,,,1550.00,41110,GST on Income,,
05-callies-rb26,Callies Billet RB26 crankshaft,,,,,,6000.00,41110,GST on Income,,
05-rb26-tbelt,RB26 HD Race Timing Belt,,,,,,229.00,41110,GST on Income,,
05-rbx-crnk gear,Custom RBx Crank Gear & Guides,,,,,,300.00,41110,GST on Income,,
misc,"Gaskets, seals etc.",,,,,,440.00,41110,GST on Income,,
05-2jz-625 up,Custom Aged 625+ stud upgrade,,,,,,1350.00,41110,GST on Income,,
05-ho k-2000 up,ARP 2000 series stud upgrade,,,,,,450.00,41110,GST on Income,,
05-4G-2000-up,ARP 2000 series stud upgrade,,,,,,450.00,41110,GST on Income,,
BUL-fr-vr,VR38 Fire Ring Sealing System,VR38 Fire Ring Sealing System,,,,VR38 Fire Ring Sealing System,990.00,41110,GST on Income,,
05-625 stud up-6cyl,ARP Custom Aged 625+ head stud,"ARP Custom Aged 625+ head stud suit RB, 2JZ drag.",,,,"ARP Custom Aged 625+ head stud suit RB, 2JZ drag.",1790.00,41110,GST on Income,,
"06-sr20-set,vlve-clr",Set valve clearance ,,,,,,462.00,41110,GST on Income,,
05-sr20-super locks,Supertech Valve Locks,,,,,,75.00,41110,GST on Income,,
05-sr20-vlv-seals,Supertech Valve Stem Seals,,,,,,65.00,41110,GST on Income,,
06-bb-4cyl-hed,Bead Blast 4 Cylinder Head,,,,,,75.00,41110,GST on Income,,
06-lnsh-v8-crnk,Linish V8 Crankshaft,,,,,,95.00,41110,GST on Income,,
05-rb30-hed-psi-moly,"RB30 SS valves, PSI spring kit",,,,,,3100.00,41110,GST on Income,,
05-RB30-hed-psi-Ti,"RB30 Head CNC, PSI Ti spring k",,,,,,3450.00,41110,GST on Income,,
RB30-hed-pac-moly,"RB30 CNC head, PAC spring kit","RB30 CNC ported head, +1mm Stainless Valves, PAK spring kit.",,,,"RB30 CNC ported head, +1mm Stainless Valves, PAK spring kit.",2960.00,41110,GST on Income,,
05-RB30-hed-PAC-moly,,,,,,,2965.00,41110,GST on Income,,
00-refund,Refund,,,,,,0.00,41110,GST on Income,,
06-iso-parts,ISO Parts Supplied,,,,,,220.00,41110,GST on Income,,
BUL-rb-wp,Billet RB Water Pump,Billet RB Water Pump,,,,Billet RB Water Pump,880.00,41110,GST on Income,,
05-rb-rear main-house,RB Rear Main Oil Seal Housing,,,,,,100.00,41110,GST on Income,,
05-ho k-crnk,Re-con OEM Crankshaft,,,,,,600.00,41110,GST on Income,,
05-ho k-head,2nd Hand Cylinder Head ,,,,,,250.00,41110,GST on Income,,
05-ho k-kelford,Kelford Cams,,,,,,1800.00,41110,GST on Income,,
05-callico-ls-main,Callico Main Bearings,,,,,,270.00,41110,GST on Income,,
07-VP-qm25+,VP Racing Fuels QM25+,,,,,,350.00,41110,GST on Income,,
05-bme-4cyl-rings,Total seal ring set,,,,,,299.00,41110,GST on Income,,
05-12- fittings,Speedflow -12 fittings,,,,,,0.00,41110,GST on Income,,
May-16,Speedflow -16 fittings,,,,,,0.00,41110,GST on Income,,
05-RB26-moons,RB26 Cam End Seals,,,,,,44.00,41110,GST on Income,,
05-2jz-calli-main,Callico Main Bearings,,,,,,320.00,41110,GST on Income,,
05-2jz-thrust,ACL Thrust Washers,,,,,,48.00,41110,GST on Income,,
05-callico-v8-rod,Callico Rob Bearings,,,,,,525.00,41110,GST on Income,,
00-credit,Credit from over payment,,,,,,0.00,41110,GST on Income,,
05-fan-blt,V Belt,,,,,,13.00,41110,GST on Income,,
06-R&R-cam-bear,Remove & replace cam bearings,,,,,,143.00,41110,GST on Income,,
06-mach-Fly,Machine Flywheel,,,,,,110.00,41110,GST on Income,,
06-inspect,Inspect,,,,,,0.00,41110,GST on Income,,
05-vrs,VRS Kit,,,,,,460.02,41110,GST on Income,,
BUL-BL-4G-cradle,Replacement 4G cradle,Replacement 4G cradle,,,,Replacement 4G cradle,2200.00,41110,GST on Income,,
BUL-BL-ho-b-w,Billet Honda B wet with head s,Billet Honda B wet with head studs,,,,Billet Honda B wet with head studs,9900.00,41110,GST on Income,,
06-set-main-clr-6cyl,Set Main Bearing Clearances ,,,,,,440.00,41110,GST on Income,,
06-pro-gtr-hed,Supply/Fit Oil Drains on Head,,,,,,400.00,41110,GST on Income,,
06-ass-6cyl-hed,Assemble 6 cyl 4 vlve head,De-burr Clean & Assemble 6 cyl 4 vlve head,,,,De-burr Clean & Assemble 6 cyl 4 vlve head,440.00,41110,GST on Income,,
05-RB26-main-std kit,RB26 ARP Main Stud Kit,,,,,,440.00,41110,GST on Income,,
00-usd-fee,USD Payment Fee,,,,,,0.00,41110,GST Free Expenses,,
05-4g-main stud-kit,"ARP 8740 7/16"" Main Stud Kit",,,,,,330.00,41110,GST on Income,,
05-valvoline,Pro-V Racing 20w-50,,,,,,265.00,41110,GST on Income,,
BUL-Tshirt,Bullet T-Shirt,Bullet T-Shirt,,,,Bullet T-Shirt,25.00,41110,GST on Income,,
05-frost-wp,Frostbite Billet Water Pump,,,,,,885.00,41110,GST on Income,,
06-tap,Tap,,,,,,0.00,41110,GST on Income,,
05-rb30-ss valves,Manlet Stainless Steel Valves,,,,,,550.00,41110,GST on Income,,
06-crnk-grind 4,Grind 4 cylinder crankshaft,,,,,,290.00,41110,GST on Income,,
05-calliico-sbc-rod,Callico Rod Bearings,,,,,,210.00,41110,GST on Income,,
05-RB30-c/o hed,2nd Hand RB30 Head,,,,,,150.00,41110,GST on Income,,
05-bery- seats,Beryllium Valve Seats,,,,,,55.00,41110,GST on Income,,
05-RB30-PAC,PAC Beehive Valve Springs,,,,,,355.00,41110,GST on Income,,
05-RB30-Ti ret-Bee,Titanium Retainers & Locks,,,,,,575.00,41110,GST on Income,,
05-RB30-cp-pist,CP Pistons,,,,,,1500.00,41110,GST on Income,,
BUL-RB-locks,Bullet Custom RB30 Valve Locks,Bullet Custom RB30 Valve Locks,,,,Bullet Custom RB30 Valve Locks,150.00,41110,GST on Income,,
05-2jz-hed-gask,Cometic MLS Gasket,,,,,,365.00,41110,GST on Income,,
BUL-BL-RBx,RB30 Drag Extreme ,RB30 Drag Extreme ,,,,RB30 Drag Extreme ,13950.00,41110,GST on Income,,
05-sr20-super-vlv train,Supertech Valve Train,,,,,,1760.00,41110,GST on Income,,
05-acl race-main v8,ACL Race Main Bearings,,,,,,100.00,41110,GST on Income,,
05-acl-race-rod v8,ACL Race Rod Bearings,,,,,,106.00,41110,GST on Income,,
06-dum-ass-v8,Dummy Assemble Engine,"De-burr block, race prep, dummy assemble and set clearances.",,,,"De-burr block, race prep, dummy assemble and set clearances.",1100.00,41110,GST on Income,,
06-inst-cam-bear,Instal Cam Bearings,,,,,,330.00,41110,GST on Income,,
06-lnsh-crnk-6,Linish Crank,,,,,,90.00,41110,GST on Income,,
BUL-RB-bal-hub,Custom ATI Balancer Hub,Custom ATI Balancer Hub,,,,Custom ATI Balancer Hub,440.00,41110,GST on Income,,
BUL-fr-v8,Fire Ring Head Gasket,Fire Ring Head Gasket,,,,Fire Ring Head Gasket,990.00,41110,GST on Income,,
05-callies-sr20,Callies Billet Crankshaft ,,,,,,3300.00,41110,GST on Income,,
05-bme-rb30-piston,BME Forged RB30 Pistons,,,,,,350.00,41110,GST on Income,,
05-vlv-shim,Valve Shims,,,,,,1.50,41110,GST on Income,,
05-2jz-sqirt,Piston Oil Squirters,,,,,,55.00,41110,GST on Income,,
BME-pist-c3-4,BME forged Pistons-C300 pins &,BME forged Pistons-C300 pins & Rings,,,,BME forged Pistons-C300 pins & Rings,2200.00,41110,GST on Income,,
BUL-ATI-BAL-hub,Custom ATI Balancer Hub,,,,,,440.00,41110,GST on Income,,
BME-pist-93-6,BME Forged Pistons-9310 pins &,BME Forged Pistons-9310 pins & Rings,,,,BME Forged Pistons-9310 pins & Rings,2790.00,41110,GST on Income,,
06-hw-blk-6cyl,Hot Wash Engine Block,,,,,,60.00,41110,GST on Income,,
06-ass-RB26-long,Assemble RB26 long motor,,,,,,2750.00,41110,GST on Income,,
05-vlv-seals-2j,Supertech Valve Stem Seals,,,51111,,,4.38,41110,GST on Income,,
BME-rod-4,BME Alloy Rods & Callico Beari,,,51140,,,2200.00,41110,GST on Income,,
05-RB30-ross,Ross Billet RB Dry Sump,,,,,,1950.00,41110,GST on Income,,
05-RB- oil pmp-ac-kit,Barnes pump & mounting kit,,,,,,2640.00,41110,GST on Income,,
05-2j-super-buck,Supertech Buckets,,,51111,,,48.48,41110,GST on Income,,
BME-rod-6,BME Alloy Rods & Callico Beari,,,51140,,,2600.00,41110,GST on Income,,
BME-pist-c3-v8,"BME Pistons, C300 Pins & Rings",,,,,,4100.00,41110,GST on Income,,
05-bme-rings-4,Total Seal Rings,,,,,,330.00,41110,GST on Income,,
05-timber-box,Timber Shipping Box,,,,,,220.00,41110,GST on Income,,
BME-pist-c3-6,"BME Pistons, C300 pins & Rings",,,,,,3060.00,41110,GST on Income,,
BUL-BLh-RB30,Billet RB30 Head w/valve train,Billet RB30 Head w/valve train,,,,Billet RB30 Head w/valve train,10000.00,41110,GST on Income,,
05-2jz-head-comp,2JZ Cylinder Head Complete,,,,,,11200.00,41110,GST on Income,,
BUL-BL-RBx-d,RB30 Street Extreme Dry Deck,RB30 Street Extreme Dry Deck,,,,RB30 Street Extreme Dry Deck,13950.00,41110,GST on Income,,
BUL-BL-RB30-X-d,RB30 Drag Extreme Dry Deck Blo,RB30 Drag Extreme Dry Deck Block with head stud kit,,,,RB30 Drag Extreme Dry Deck Block with head stud kit,13950.00,41110,GST on Income,,
BUL-RB30-gear,Custom Crank Gear,Custom Crank Gear,,,,Custom Crank Gear,220.00,41110,GST on Income,,
BME-pist-93-4,"BME Pistons, 9310 pins & rings",,,,,,1910.00,41110,GST on Income,,
05-hose,Hose,,,,,,0.00,41110,GST on Income,,
BUL-T,Bullet T-shirt,,,,,,30.00,41110,GST on Income,,
06-fit-steel-caps-6,Fit Steel Main Caps & Line Bor,,,,,,1100.00,41110,GST on Income,,
05-manley-TT rods-4,Manley Turbo Tuff rods,,,,,,1860.00,41110,GST on Income,,
06-Repair,Repair ,,,,,,0.00,41110,GST on Income,,
06-measure,Measure ,,,,,,110.00,41110,GST on Income,,
"06-1/2"" stud-up-6cyl","Drill & Tap block for 1/2"" hea",,,,,,220.00,41110,GST on Income,,
06-iso-rods,ISO HPSF Rods,,,,,,33.00,41110,GST on Income,,
06-Rb26-cams-clearance,Instal Cams & Set Clearances,,,,,,600.00,41110,GST on Income,,
05-billet,Raw Billet 6061 Aluminium,,,,,,0.00,41110,GST on Income,,
05-vlv-seals-gen3,Valve Stem Seals,,,,,,35.00,41110,GST on Income,,
05-rb26-ross,Ross Billet Cam Covers,,,,,,1010.00,41110,GST on Income,,
05-2jz-oil-sqirt,Piston Oil Jets.,,,,,,55.00,41110,GST on Income,,
05-oil jets,Billet block oil jets,,,,,,10.00,41110,GST on Income,,
05-sr20-oil squirt,Piston oil squirter ,,,,,,76.00,41110,GST on Income,,
BUL-T-shirt,Bullet T-Shirt,Bullet T-Shirt,,,,Bullet T-Shirt,35.00,41110,GST on Income,,
BUL-BL-2JZ-hed,Billet 2JZ Head Complete with ,Billet 2JZ Head Complete with ,,,,Billet 2JZ Head Complete with ,16000.00,41110,GST on Income,,
BUL-BL-2JZ-intake,Billet 2JZ Intake Manifold,Billet 2JZ Intake Manifold,,,,Billet 2JZ Intake Manifold,3300.00,41110,GST on Income,,
00-discount,Discount Applied,,,,,,0.00,41110,GST on Income,,
05-spool-rb-rods,Spool Steel Rods,,,,,,900.00,41110,GST on Income,,
05-super-vlvs,Supertech +1mm Valves,,,,,,0.00,41110,GST on Income,,
05-lP-hub,Custom Balancer Hub to suit Lo,,,,,,440.00,41110,GST on Income,,
05-dailey-4stg,Dailey 4 Stage Oil pump with d,,,,,,4200.00,41110,GST on Income,,
BME-pist-rings-4,BME Piston & Rings,,,,,,0.00,41110,GST on Income,,
05-callico-rb main-hx,Callico main HX bearings,,,,,,350.00,41110,GST on Income,,
05-RB-dry sump-kit,4WD Dry Sump Kit,,,,,,8800.00,41110,GST on Income,,
05-rb-2wd-dry sump-kit,2WD Dry Sump Kit,,,,,,7000.00,41110,GST on Income,,
05-callico-rod-6,Callico Rod Bearings,,,,,,299.00,41110,GST on Income,,
06-Rb26-weld rear-hed,Weld the rear of the head to f,,,,,,120.00,41110,GST on Income,,
BME-rod-v8,BME V8 Alloy Rods,,,,,,2300.00,41110,GST on Income,,
05-RB30-barnes,Barnes ,,,,,,0.00,41110,GST on Income,,
05-cast-block,Cast Iron Engine block,,,,,,0.00,41110,GST on Income,,
05-spool-rb30-kit,3.4ltr Stroker Kit,,,,,,6000.00,41110,GST on Income,,
BUL-BL-RB30-hed,Billet RB30 Head,Billet RB30 Head complete with inlet manifold excluding cam and rockers,,,,Billet RB30 Head complete with inlet manifold excluding cam and rockers,13500.00,41110,GST on Income,,
05-2jz-crnk gear-guide,Crank Gear & T-belt Guide,,,,,,135.00,41110,GST on Income,,
05-wood ruff,Crank Wood Ruff Key,,,,,,45.00,41110,GST on Income,,
05-2jz-wp,Genuine Water Pump,,,,,,200.00,41110,GST on Income,,
05-2jz-cam-seal,Cam Seal,,,,,,12.00,41110,GST on Income,,
05-2jz-crnk-seal,Crank Seal,,,,,,18.00,41110,GST on Income,,
05-2jz-billet-ten,Billet Tensioner,,,,,,200.00,41110,GST on Income,,
05-2jz-hyd-ten,Hydraulic Tensioner,,,,,,180.00,41110,GST on Income,,
05-2jz-tbelt,Gates Racing T-Belt,,,,,,180.00,41110,GST on Income,,
05-2jz-dry-sump,Dailey Billet Dry Sump Pan,,,,,,4500.00,41110,GST on Income,,
05-2jz-frnt-cvr,Billet Front Cover,,,,,,1650.00,41110,GST on Income,,
05-2jz-madrel,ATI Crank Pulley,,,,,,350.00,41110,GST on Income,,
05-2jz-cam-gear,Kelford Cam Gears,,,,,,550.00,41110,GST on Income,,
05-2jz-ati,918562 ATI Balancer,,,,,,1077.00,41110,GST on Income,,
05-tank,Dry Sump Tank 3gal,,,,,,1500.00,41110,GST on Income,,
05-ARP-RB-LP-bolt,ARP Long Post Crank Balancer ,,,,,,99.00,41110,GST on Income,,
BUL-BL-hon k-hed,Billet Honda K Head complete w,Billet Honda K Head,,,,Billet Honda K Head,10500.00,41110,GST on Income,,
05-4G-spool-kit,Spool Stroker Kit,,,,,,3250.00,41110,GST on Income,,
BME-pist-NP-6,BME Pistons & Rings.,,,51140,,,3126.00,41110,GST on Income,,
BME-pist-NP-4,BME Pistons & Rings.,,,51111,,,2048.80,41110,GST on Income,,
05-acl-r-4g-M,ACL Race Main Bearings,,,,,,220.00,41110,GST on Income,,
06-vlve-height,Re-set Valve Height,,,,,,0.00,41110,GST on Income,,
BUL-BL-RB26-st,Billet RB26 StreetZilla,Billet RB26 StreetZilla,,,,Billet RB26 StreetZilla,13950.00,41110,GST on Income,,
06-deburr-wrap,"Deburr, Clean, Oil & Wrap engn",,,,,,330.00,41110,GST on Income,,
05-dailey-2j-frnt-cvr,Billet Front Cover,,,,,,1200.00,41110,GST on Income,,
06-R&R,Remove & Replace ,,,,,,0.00,41110,GST on Income,,
05-seal,Seal,,,,,,0.00,41110,GST on Income,,
26-LP-kit,Long Post Front Kit,"Includes Balancer, bottom pulley, belt guides, ARP balancer bolt, 36-2 crank trigger, sensor and mounting bracket",,,,"Includes Balancer, bottom pulley, belt guides, ARP balancer bolt, 36-2 crank trigger, sensor and mounting bracket",2800.00,41110,GST on Income,,
05-rb30-spool-rods,Spool RB30 Pro series rods mod,,,,,,1400.00,41110,GST on Income,,
06-sr20-rocker-mod,Modify Rocker Gear to remove V,,,,,,1206.00,41110,GST on Income,,
05-2jz-super-Vlves,Supertech +1mm Valves,,,,,,888.00,41110,GST on Income,,
00-sponsorship,Sponsorship,,,,,,0.00,62710,GST on Income,,
BUL-RB26-st-strk-kit,StreetZilla Stroker Kit,StreetZilla Stroker Kit,,,,StreetZilla Stroker Kit,8500.00,41110,GST on Income,,
BUL-RB26-st-HG,Custom Big Bore Head Gasket.,Custom Big Bore Head Gasket.,,,,Custom Big Bore Head Gasket.,500.00,41110,GST on Income,,
05-rb26-hed-comp,RB26 Head Complete ,"Cylinder Head Complete shimless set up, CNC Ported, clearance for large cams, bronze guides, Supertech valve train, +1mm stainless & inconel valves, performance multi angle seats, faced and assembled with Kelford cams. ",,,,"Cylinder Head Complete shimless set up, CNC Ported, clearance for large cams, bronze guides, Supertech valve train, +1mm stainless & inconel valves, performance multi angle seats, faced and assembled with Kelford cams. ",12500.00,41110,GST on Income,,
05-RB30-jpc,JPC Solid Cam Shaft & Billet R,,,,,,3100.00,41110,GST on Income,,
BUL-RB30-RC,Billet RB30 Rocker Cover.,,,,,,1100.00,41110,GST on Income,,
05-RB30-steel-rds,Pro Series I-Bean Super FiRods,,,,,,1400.00,41110,GST on Income,,
05-4g-maley-TT-rds,Manley Turbo Tuff Rods 2000,,,,,,1500.00,41110,GST on Income,,
05-laz-IN,Plazmaman Billet Inlet Manifol,,,,,,0.00,41110,GST on Income,,
05-plaz-In,Plazmaman Billet Inlet Manifol,,,,,,0.00,41110,GST on Income,,
05-throt-bdy,Billet Throttle Body,,,,,,0.00,41110,GST on Income,,
05-intercooler,Plazmaman Intercooler,,,,,,0.00,41110,GST on Income,,
05-callies-rb-rod,Callies Ultra I-Beam Rod.,,,,,,0.00,41110,GST on Income,,
06-notch-blk-4,Notch Block for Rod Clearance ,,,,,,330.00,41110,GST on Income,,
05-RB30-cnc-moly,CNC Ported Head with SS Valves,,,,,,2990.00,41110,GST on Income,,
05-steel-rods,Bullet Super Finished Steel Ro,,,,,,1400.00,41110,GST on Income,,
05-superT-sprg-seat,Supertech Spring Seat,,,,,,3.70,41110,GST on Income,,
05-RB30-Man-In-vlv,Manley Stainless Steel Valves.,,,,,,54.00,41110,GST on Income,,
05-RB30-Man-Ex-vlv,Manley Stainless Steel Ex Val,,,,,,53.00,41110,GST on Income,,
00-AUD-Con,AUD Conversion of USD Inv.,,,,,,0.00,41110,GST Free Expenses,,
05-rb26-super-spr-ti,Dual Spring Kit with Ti Retain,,,,,,1180.00,41110,GST on Income,,
05-rb26-super-In-valves,Supertech +1mm Valves.,,,,,,45.00,41110,GST on Income,,
05-superT-lcks,Supertech Valve Locks.,,,,,,0.00,41110,GST on Income,,
05-callico-rod-4,Callico Rod Bearings.,,,,,,220.00,41110,GST on Income,,
05-stZila-hed-gask,Custom 90mm RB26 Head Gasket.,,,,,,400.00,41110,GST on Income,,
05-rbx-hub,Custom RBx Balancer Hub,,,,,,440.00,41110,GST on Income,,
06-2J-1/2-studs,"Drill for 1/2"" studs & machine",,,,,,35.00,41110,GST on Income,,
05-mount-kit,Mounting kit,,,,,,0.00,41110,GST on Income,,
05-2jz-camtech,Camtech cams,,,,,,1190.00,41110,GST on Income,,
05-2jz-ross-dry,Ross Dry sump kit incl. Billet,,,,,,8900.00,41110,GST on Income,,
05-bme-rings-v8,Total Seal Rings.,,,,,,560.00,41110,GST on Income,,
05-vn-efi-complete,CNC Ported complete with SS va,,,,,,3500.00,41110,GST on Income,,
05-vn-efi-bare,CNC Ported VN EFI Heads Bare.,,,,,,1850.00,41110,GST on Income,,
Bul-x-rod,Bullet Extreme Steel I-Beam Ro,Bullet Extreme Steel I-Beam Rods 6 Cyl,,,,Bullet Extreme Steel I-Beam Rods 6 Cyl,1650.00,41110,GST on Income,,
05-RB26-rc-gask,Rubber Rocker Cover Gasket,,,,,,125.00,41110,GST on Income,,
05-lp-frnt-seal,Long Post Front Seal.,,,,,,35.00,41110,GST on Income,,
05-callico-cam,Callico Cam Bearings.,,,,,,155.00,41110,GST on Income,,
05-rb26-super-bukts,Supertech Buckets.,,,,,,980.00,41110,GST on Income,,
06-iso-diff-grs,"Superfinish 9"" Diff Gears.",,,,,,220.00,41110,GST on Income,,
00-cc-fee,Credit Card Fee's,,,,,,0.00,41150,GST on Income,,
05-2jz-stroker,3.2ltr Stroker kit with Billet,,,,,,6200.00,41110,GST on Income,,
06-ass-4cyl-hed,"Wash, Prep Assemble 4 Cylinder",,,,,,440.00,41110,GST on Income,,
