Co./Last Name,First Name,Purchase No.,Date,Supplier Invoice No.,Inclusive,Delivery Status,Journal Memo,Detail Date,Description,Account No.,Amount,Job,Comment,Promised Date,Tax Code,Tax Amount,Purchase Status,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Card ID,Record ID
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153360,2/2/2021,15253,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells,54400,$810 ,,,,GST,$81 ,B,2,0,22,0,$891 ,,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
HR Consulting Melbourne,,153361,24/02/2021,192021,,P,Imported HR Consulting Melbourne,,HR Consulting Melbourne,61035,$450 ,,,,GST,$45 ,B,2,0,0,0,$495 ,,2097,2428
,,,,,,,,,,,,,,,,,,,,,,,,,
Dormakaba Australia Pty ltd,,153362,23/02/2021,05VC837432,,P,Imported Dormakaba Australia Pty ltd,,Dormakaba Australia Pty Ltd,61250,$295 ,,,,GST,$29.50 ,B,2,0,1,0,$324.50 ,,1829,2293
,,,,,,,,,,,,,,,,,,,,,,,,,
ACA (The Australasian Corrosion Association),,153363,24/02/2021,8934,,P,Imported ACA (The Australasian Corrosion Association),,ACA Nace Training for AC,61310,"$3,181.82 ",,,,GST,$318.18 ,B,2,0,0,0,"$3,500 ",,5005,431
,,,,,,,,,,,,,,,,,,,,,,,,,
ACA (The Australasian Corrosion Association),,153364,25/02/2021,8956,,P,Imported ACA (The Australasian Corrosion Association),,ACA NACE Training for JT March 22-26,61310,"$3,545.45 ",,,,GST,$354.55 ,B,2,0,0,0,"$3,900 ",,5005,431
,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,153365,1/3/2021,2050,,P,Imported Hightalk Pty Ltd,,Hightalk,61300,$362.73 ,,,,GST,$36.27 ,B,2,0,1,0,$399 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,
Minsun Cleaning Pty Ltd,,153366,1/3/2021,475159,,P,Imported Minsun Cleaning Pty Ltd,,Minsun Cleaning,61215,$460 ,,,,GST,$46 ,B,2,0,1,0,$506 ,,1634,2149
,,,,,,,,,,,,,,,,,,,,,,,,,
Nickless Miller Meehans  Pty Ltd,,153367,10/2/2021,697,,P,Imported Nickless Miller Meehans  Pty Ltd,,Nickless Miller Meehans,61015,$170 ,,,,GST,$17 ,B,2,0,20,0,$187 ,,5251,29
,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,153368,26/02/2021,15927806,,P,Imported Officeworks,,Officeworks Purchase of mobile phone for JH,61300,"$1,074.06 ",,,,GST,$107.41 ,B,2,0,4,0,"$1,181.47 ",,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153369,1/3/2021,84408,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,"$2,124.10 ",,,,GST,$212.41 ,B,2,0,1,0,"$2,336.51 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Racket Agency Pty Ltd,,153370,23/02/2021,932,,P,Imported Racket Agency Pty Ltd,,Racket Agency Pty Ltd,59130,"$7,500 ",,,,GST,$750 ,B,2,0,7,0,"$8,250 ",,5548,2099
,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,153371,2/3/2021,12758,,P,Imported Jims Mowing,,Jims Mowing,61250,$90 ,,,,GST,$9 ,B,2,0,2,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,
Visy Recycling,,153372,28/02/2021,139332004,,P,Imported Visy Recycling,,Visy Recyling,61215,$34.08 ,,,,GST,$3.41 ,B,2,0,4,0,$37.49 ,,5510,1903
,,,,,,,,,,,,,,,,,,,,,,,,,
Oaks on Carlyle Mackay,,153373,4/3/2021,50037174,,A,Imported Oaks on Carlyle Mackay,,Oaks on Carlyle Mackay NW,54500,"$3,169.80 ",,,,FRE,$0.00 ,B,2,0,0,0,"$3,169.80 ",,2062,2406
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153374,2/3/2021,15324,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,"$1,395 ",,,,GST,$139.50 ,B,2,0,2,0,"$1,534.50 ",,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
ACA (The Australasian Corrosion Association),,153375,4/3/2021,9013,,P,Imported ACA (The Australasian Corrosion Association),,ACA BG L1 and L2 Concrete Coating Inspector Course,61310,"$3,409.09 ",,,,GST,$340.91 ,B,2,0,0,0,"$3,750 ",,5005,431
,,,,,,,,,,,,,,,,,,,,,,,,,
ACA (The Australasian Corrosion Association),,153376,4/3/2021,9010,,P,Imported ACA (The Australasian Corrosion Association),,ACA KW  L1 and L2 Concrete Coating Inspector Course,61310,"$3,409.09 ",,,,GST,$340.91 ,B,2,0,0,0,"$3,750 ",,5005,431
,,,,,,,,,,,,,,,,,,,,,,,,,
SOI (Kent Street No 1) Pty Ltd,,153377,28/02/2021,SOI1159,,P,Imported SOI (Kent Street No 1) Pty Ltd,,SOI (Kent St No 1) Pty Ltd,61215,$4.45 ,,,,GST,$0.45 ,B,2,0,16,0,$4.90 ,,2096,2426
,,,,,,,,,,,,,,,,,,,,,,,,,
SOI (Kent Street No 1) Pty Ltd,,153378,16/03/2021,SOI1167,,P,Imported SOI (Kent Street No 1) Pty Ltd,,SOI (Kent St No 1) Pty Ltd,66010,"$4,500 ",,,,GST,$450 ,B,2,0,0,0,"$4,950 ",,2096,2426
,,,,,,,,,,,,,,,,,,,,,,,,,
Momentum Energy,,153379,5/3/2021,11699065,,P,"Imported Momentum Energy, ",,Momentum Energy,66060,"$1,052.18 ",,,,GST,$106.33 ,B,2,0,11,0,"$1,158.51 ",,5423,875
,,,,,,,,,,,,,,,,,,,,,,,,,
Telstra Corp,,153380,10/3/2021,100321,,P,Imported Telstra Corp,,Telstra mobile phone bill,61300,"$1,048.56 ",,,,GST,$67.39 ,B,2,0,6,0,"$1,115.95 ",,5330,89
,,,,,,,,,,,,,,,,,,,,,,,,,
Savcor Products Australia Pty Ltd,,153381,12/3/2021,33112,,P,Imported Savcor Products Australia Pty Ltd,,Savcor Products Aust (shipping costs sending Icorr to Denmark for repairs) ,61215,$290 ,,,,GST,$29 ,B,2,0,4,0,$319 ,,5523,1949
,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,153382,1/3/2021,16203657,,P,Imported TPG Telecom / AAPT,,TPG Telecom,61150,$804 ,,,,GST,$80.40 ,B,2,0,15,0,$884.40 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153383,28/02/2021,84549,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,"$1,140 ",,,,GST,$114 ,B,2,0,16,0,"$1,254 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153384,28/02/2021,84614,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,"$1,175.57 ",,,,GST,$117.56 ,B,2,0,16,0,"$1,293.13 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
PCTE (Papworths Construction Testing Equipment),,153385,17/03/2021,196,,P,Imported PCTE (Papworths Construction Testing Equipment),,PCTE,51050,"$1,650 ",,,,GST,$165 ,B,2,0,1,0,"$1,815 ",,5265,133
,,,,,,,,,,,,,,,,,,,,,,,,,
Savcor Products Australia Pty Ltd,,153386,15/03/2021,33115,,P,Imported Savcor Products Australia Pty Ltd,,Savcor Products Aust Pty Ltd,51050,$295 ,,,,GST,$29.50 ,B,2,0,3,0,$324.50 ,,5523,1949
,,,,,,,,,,,,,,,,,,,,,,,,,
Jobfit Health Group Pty Ltd,,153387,24/02/2021,2110016852,,P,Imported Jobfit Health Group Pty Ltd,,Jobfit Health Group Pty Ltd (Medical for IS),65150,$349 ,,,,GST,$34.90 ,B,2,0,22,0,$383.90 ,,2054,2402
,,,,,,,,,,,,,,,,,,,,,,,,,
Jobfit Health Group Pty Ltd,,153388,24/02/2021,2110016890,,P,Imported Jobfit Health Group Pty Ltd,,Jobfit Health Group Pty Ltd (Medical for ZN),65150,$349 ,,,,GST,$34.90 ,B,2,0,22,0,$383.90 ,,2054,2402
,,,,,,,,,,,,,,,,,,,,,,,,,
Bennetti Coffee,,153389,22/03/2021,210226,,P,Imported Bennetti Coffee,,Bennetti Coffee,65145,$100 ,,,,FRE,$0.00 ,B,2,0,3,0,$100 ,,5498,1735
,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,153390,23/03/2021,12982,,P,Imported Jims Mowing,,Jims Mowing,61250,$90 ,,,,GST,$9 ,B,2,0,2,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Australia Pty Limited,,153391,20/03/2021,10449378,,P,Imported Toshiba Australia Pty Limited,,Toshiba Aust Pty Limited,61215,$46.57 ,,,,GST,$4.66 ,B,2,0,5,0,$51.23 ,,1842,2302
,,,,,,,,,,,,,,,,,,,,,,,,,
Jobfit Health Group Pty Ltd,,153392,19/03/2021,2110023065,,P,Imported Jobfit Health Group Pty Ltd,,Jobfit Health Group - Medical SF,65150,$349 ,,,,GST,$34.90 ,B,2,0,6,0,$383.90 ,,2054,2402
,,,,,,,,,,,,,,,,,,,,,,,,,
Jobfit Health Group Pty Ltd,,153393,17/03/2021,2110023064,,P,Imported Jobfit Health Group Pty Ltd,,Jobfit Health Group - Medical RR,65150,$349 ,,,,GST,$34.90 ,B,2,0,8,0,$383.90 ,,2054,2402
,,,,,,,,,,,,,,,,,,,,,,,,,
Jobfit Health Group Pty Ltd,,153394,18/03/2021,2110023063,,P,Imported Jobfit Health Group Pty Ltd,,Jobfit Health Group - Medical JZ,65150,$349 ,,,,GST,$34.90 ,B,2,0,7,0,$383.90 ,,2054,2402
,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Traveller,,153395,4/3/2021,29183758,,P,Imported Corporate Traveller,,Corporate Traveller,54500,"$1,411.85 ",,,,GST,$141.26 ,B,2,0,25,0,"$1,553.11 ",,5098,453
,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Traveller,,153396,4/3/2021,29183767,,P,Imported Corporate Traveller,,Corporate Traveller,54500,"$1,411.85 ",,,,GST,$141.26 ,B,2,0,25,0,"$1,553.11 ",,5098,453
,,,,,,,,,,,,,,,,,,,,,,,,,
Racket Agency Pty Ltd,,153397,23/03/2021,944,,P,Imported Racket Agency Pty Ltd,,Racket Agency Pty Ltd,59130,"$7,500 ",,,,GST,$750 ,B,2,0,6,0,"$8,250 ",,5548,2099
,,,,,,,,,,,,,,,,,,,,,,,,,
Jobfit Health Group Pty Ltd,,153398,2/3/2021,2110023296,,P,Imported Jobfit Health Group Pty Ltd,,Jobfit Health Group Medical CH,65150,$349 ,,,,GST,$34.90 ,B,2,0,27,0,$383.90 ,,2054,2402
,,,,,,,,,,,,,,,,,,,,,,,,,
Jobfit Health Group Pty Ltd,,153399,11/3/2021,2110023297,,P,Imported Jobfit Health Group Pty Ltd,,Jobfit Health Group Medical SB,65150,$349 ,,,,GST,$34.90 ,B,2,0,18,0,$383.90 ,,2054,2402
,,,,,,,,,,,,,,,,,,,,,,,,,
Newland Chase Pty Ltd,,153400,29/03/2021,710679,,P,Imported Newland Chase Pty Ltd,,Newland Chase Pty Ltd,61035,$600 ,,,,GST,$60 ,B,2,0,0,0,$660 ,,2239,2509
,,,,,,,,,,,,,,,,,,,,,,,,,
Suk Kyun Shin,,153401,29/03/2021,475169,,P,Imported Suk Kyun Shin,,Suk Kyun Shin (office cleaners),61215,$460 ,,,,GST,$46 ,B,2,0,0,0,$506 ,,2238,2508
,,,,,,,,,,,,,,,,,,,,,,,,,
G C Nixon and Associates Pty Ltd,,153402,25/03/2021,6129,,P,Imported G C Nixon and Associates Pty Ltd,,G C Nixon and Associates Pty Ltd,54400,"$2,000 ",,,,GST,$200 ,B,2,0,6,0,"$2,200 ",,5145,225
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153403,29/03/2021,15389,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,"$2,600 ",,,,GST,$260 ,B,2,0,2,0,"$2,860 ",,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
Couriers Please Pty Ltd,,153404,31/03/2021,T13335408,,P,Imported Couriers Please Pty Ltd,,Couriers Please 10 x 3kg satchels,61215,$105 ,,,,GST,$10.50 ,B,2,0,0,0,$115.50 ,,5539,2019
,,,,,,,,,,,,,,,,,,,,,,,,,
Inspired Outcome Consulting,,153405,30/03/2021,1418,,P,Imported Inspired Outcome Consulting,,Inspired Outcomes Consulting,61035,"$7,890 ",,,,GST,$789 ,B,2,0,7,0,"$8,679 ",,2244,2514
,,,,,,,,,,,,,,,,,,,,,,,,,
HR Consulting Melbourne,,153406,31/03/2021,212021,,P,Imported HR Consulting Melbourne,,HR Consulting Melbourne,61035,$450 ,,,,GST,$45 ,B,2,0,6,0,$495 ,,2097,2428
,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,153407,1/4/2021,2096,,P,Imported Hightalk Pty Ltd,,Hightalk Communications,61300,$362.73 ,,,,GST,$36.27 ,B,2,0,5,0,$399 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,
AMOG,,153408,31/03/2021,032021ICMIS,,P,Imported AMOG,,AMOG Pty Ltd,61150,"$1,500 ",,,,GST,$150 ,B,2,0,6,0,"$1,650 ",,5017,482
,,,,,,,,,,,,,,,,,,,,,,,,,
ASSE Consultants Pty Ltd,,153409,6/4/2021,2875,,P,Imported ASSE Consultants Pty Ltd,,ASSE Consultants Pty Ltd,54400,"$25,000 ",,,,GST,"$2,500 ",B,2,0,1,0,"$27,500 ",,1752,2241
,,,,,,,,,,,,,,,,,,,,,,,,,
ASSE Consultants Pty Ltd,,153410,29/03/2021,2883,,P,Imported ASSE Consultants Pty Ltd,,ASSE Consultants Pty Ltd,54400,"$1,760 ",,,,GST,$176 ,B,2,0,9,0,"$1,936 ",,1752,2241
,,,,,,,,,,,,,,,,,,,,,,,,,
ASSE Consultants Pty Ltd,,153411,30/03/2021,2889,,P,Imported ASSE Consultants Pty Ltd,,ASSE Consultants Pty Ltd,54400,"$4,070 ",,,,GST,$407 ,B,2,0,8,0,"$4,477 ",,1752,2241
,,,,,,,,,,,,,,,,,,,,,,,,,
ASSE Consultants Pty Ltd,,153412,30/03/2021,2890,,P,Imported ASSE Consultants Pty Ltd,,ASSE Consultants Pty Ltd,54400,"$8,180 ",,,,GST,$818 ,B,2,0,8,0,"$8,998 ",,1752,2241
,,,,,,,,,,,,,,,,,,,,,,,,,
ASSE Consultants Pty Ltd,,153413,29/03/2021,2884,,P,Imported ASSE Consultants Pty Ltd,,ASSE Consultants Pty Ltd,54400,"$1,760 ",,,,GST,$176 ,B,2,0,9,0,"$1,936 ",,1752,2241
,,,,,,,,,,,,,,,,,,,,,,,,,
Optimatum Pty Ltd T/A Miglic Macleod,,153414,31/03/2021,2030,,P,Imported Optimatum Pty Ltd T/A Miglic Macleod,,Optimatum T/A Miglic Macleod,54400,"$2,302.80 ",,,,GST,$230.28 ,B,2,0,7,0,"$2,533.08 ",,1923,2327
,,,,,,,,,,,,,,,,,,,,,,,,,
Waterlogic Australia Pty Ltd,,153415,1/4/2021,CD-3103797,,P,Imported Waterlogic Australia Pty Ltd,,Waterlogic Australia Pty Ltd,61250,$468.24 ,,,,GST,$46.82 ,B,2,0,6,0,$515.06 ,,5413,852
,,,,,,,,,,,,,,,,,,,,,,,,,
Visy Recycling,,153416,1/4/2021,139585197,,P,Imported Visy Recycling,,Visy Recycling,61215,$41.58 ,,,,GST,$4.16 ,B,2,0,6,0,$45.74 ,,5510,1903
,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,153417,1/4/2021,16295295,,P,Imported TPG Telecom / AAPT,,TPG Telecom/AAPT,61150,$804 ,,,,GST,$80.40 ,B,2,0,6,0,$884.40 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153418,1/4/2021,84828,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,"$2,124.10 ",,,,GST,$212.41 ,B,2,0,6,0,"$2,336.51 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153419,30/03/2021,84762,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,$360 ,,,,GST,$36 ,B,2,0,8,0,$396 ,,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Concrete Institute of Australia,,153420,14/03/2021,16800,,P,Imported Concrete Institute of Australia,,Concrete Institute of Australia Individual Membership for JH,51100,$277.27 ,,,,GST,$27.73 ,B,2,0,25,0,$305 ,,1751,2240
,,,,,,,,,,,,,,,,,,,,,,,,,
Concrete Institute of Australia,,153421,14/03/2021,16815,,P,Imported Concrete Institute of Australia,,Concrete Institute of Aust ACI Joint Membership for JH (individual),51100,$131.82 ,,,,GST,$13.18 ,B,2,0,25,0,$145 ,,1751,2240
,,,,,,,,,,,,,,,,,,,,,,,,,
Concrete Institute of Australia,,153422,14/03/2021,16816,,P,Imported Concrete Institute of Australia,,Concrete Institute of Aust - Aust Standards online Subscription for JH (individual),51100,$200 ,,,,GST,$20 ,B,2,0,25,0,$220 ,,1751,2240
,,,,,,,,,,,,,,,,,,,,,,,,,
Seton Australia,,153423,8/4/2021,9346405639,,P,Imported Seton Australia,,Seton Australia - 5 x Lockout Padlocks Red,51050,$153.75 ,,,,GST,$15.38 ,B,2,0,0,0,$169.13 ,,1714,2209
,,,,,,,,,,,,,,,,,,,,,,,,,
SGS Australia Pty Ltd,,153424,9/4/2021,SC50101730,,P,Imported SGS Australia Pty Ltd,,SGS Australia Pty Ltd,54400,$816 ,,,,GST,$81.60 ,B,2,0,3,0,$897.60 ,,2124,2447
,,,,,,,,,,,,,,,,,,,,,,,,,
Momentum Energy,,153425,8/4/2021,11874630,,P,"Imported Momentum Energy, ",,Momentum Energy,66060,"$1,127.80 ",,,,GST,$113.90 ,B,2,0,4,0,"$1,241.70 ",,5423,875
,,,,,,,,,,,,,,,,,,,,,,,,,
AGL,,153426,1/3/2021,10321,,P,Imported AGL,,AGL Energy Ltd,66030,$146.48 ,,,,GST,$14.65 ,B,2,0,42,0,$161.13 ,,5458,1336
,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Access Pty Ltd,,153427,7/4/2021,208,,P,Imported Atlas Access Pty Ltd,,Atlas Access Training Pty Ltd,54800,"$1,500 ",,,,GST,$150 ,B,2,0,5,0,"$1,650 ",,1722,2222
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153428,31/03/2021,84990,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,"$1,211.26 ",,,,GST,$121.13 ,B,2,0,12,0,"$1,332.39 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Telstra Corp,,153429,10/4/2021,100421,,P,Imported Telstra Corp,,Telstra Mobile Phone bill,61300,$952.41 ,,,,GST,$83.96 ,B,2,0,2,0,"$1,036.37 ",,5330,89
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153430,7/4/2021,DP-85052,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,"$5,278.70 ",,,,GST,$527.87 ,B,2,0,6,0,"$5,806.57 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153431,7/4/2021,1506,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,$680 ,,,,GST,$68 ,B,2,0,8,0,$748 ,,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153432,12/4/2021,1515,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,$615 ,,,,GST,$61.50 ,B,2,0,3,0,$676.50 ,,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
SOI (Kent Street No 1) Pty Ltd,,153433,14/04/2021,SOI1180,,P,Imported SOI (Kent Street No 1) Pty Ltd,,SOI Kent Street No. 1,66010,"$4,500 ",,,,GST,$450 ,B,2,0,1,0,"$4,950 ",,2096,2426
,,,,,,,,,,,,,,,,,,,,,,,,,
SOI (Kent Street No 1) Pty Ltd,,153434,31/03/2021,SOI1178,,P,Imported SOI (Kent Street No 1) Pty Ltd,,SOI Kent Street No. 1,61215,$191.74 ,,,,GST,$19.17 ,B,2,0,15,0,$210.91 ,,2096,2426
,,,,,,,,,,,,,,,,,,,,,,,,,
VBCS Plus Victoria Body Corporate Services Pty Ltd,,153435,13/04/2021,M0005362,,P,Imported VBCS Plus Victoria Body Corporate Services Pty Ltd,,VBCS plus quarterly subscription,51100,$75 ,,,,GST,$7.50 ,B,2,0,2,0,$82.50 ,,2116,2438
,,,,,,,,,,,,,,,,,,,,,,,,,
Couriers Please Pty Ltd,,153436,15/04/2021,T13335417,,P,Imported Couriers Please Pty Ltd,,Couriers Please,61215,$139.90 ,,,,GST,$13.99 ,B,2,0,0,0,$153.89 ,,5539,2019
,,,,,,,,,,,,,,,,,,,,,,,,,
Trendspek Operations Pty Limited,,153437,14/04/2021,106,,P,Imported Trendspek Operations Pty Limited,,Trendspek operations Pty Ltd,61150,"$5,000 ",,,,GST,$500 ,B,2,0,1,0,"$5,500 ",,2246,2518
,,,,,,,,,,,,,,,,,,,,,,,,,
Droneit Group Pty Ltd,,153438,19/04/2021,2351,,P,Imported Droneit Group Pty Ltd,,Droneit Group Pty Ltd - Drone training/course for PG ,61310,"$1,995 ",,,,FRE,$0.00 ,B,2,0,1,0,"$1,995 ",,2247,2519
,,,,,,,,,,,,,,,,,,,,,,,,,
Jobfit Health Group Pty Ltd,,153439,6/4/2021,J 211003289,,P,Imported Jobfit Health Group Pty Ltd,,Jobfit medical exam PaulGodson,65150,$349 ,,,,GST,$34.90 ,B,2,0,15,0,$383.90 ,,2054,2402
,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,153440,16/04/2021,16636053,,P,Imported Officeworks,,Officeworks,61215,$244.35 ,,,,GST,$24.44 ,B,2,0,5,0,$268.79 ,,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,
Bennetti Coffee,,153441,21/04/2021,210321,,P,Imported Bennetti Coffee,,Bennetti Coffee,65145,$100 ,,,,FRE,$0.00 ,B,2,0,0,0,$100 ,,5498,1735
,,,,,,,,,,,,,,,,,,,,,,,,,
Yarra Valley Water,,153442,13/04/2021,59186150066,,P,Imported Yarra Valley Water,,Yarra Valley Water,66090,$447.48 ,,,,FRE,$0.00 ,B,2,0,8,0,$447.48 ,,5463,1394
,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Australia Pty Limited,,153443,20/04/2021,10488019,,P,Imported Toshiba Australia Pty Limited,,Toshiba (Australia) Pty Limited,61215,$95 ,,,,GST,$9.50 ,B,2,0,2,0,$104.50 ,,1842,2302
,,,,,,,,,,,,,,,,,,,,,,,,,
Value Office Furniture Pty Ltd,,153444,22/04/2021,V13477,,P,Imported Value Office Furniture Pty Ltd,,Value Office Furniture Pty Ltd,61215,"$1,142.73 ",,,,GST,$114.27 ,B,2,0,5,0,"$1,257 ",,5536,2026
,,,,,,,,,,,,,,,,,,,,,,,,,
Newland Chase Pty Ltd,,153445,21/04/2021,NC-710859,,P,Imported Newland Chase Pty Ltd,,Newland Chase Pty Ltd,61035,"$7,301.82 ",,,,GST,$210 ,B,2,0,8,0,"$7,511.82 ",,2239,2509
,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,153446,28/04/2021,16822691,,P,Imported Officeworks,,OfficeWorks ,61215,$294.95 ,,,,GST,$29.49 ,B,2,0,1,0,$324.44 ,,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,
Racket Agency Pty Ltd,,153447,23/04/2021,960,,P,Imported Racket Agency Pty Ltd,,Racket Agency Pty Ltd,59130,"$7,500 ",,,,GST,$750 ,B,2,0,10,0,"$8,250 ",,5548,2099
,,,,,,,,,,,,,,,,,,,,,,,,,
ACA (The Australasian Corrosion Association),,153448,28/04/2021,3372,,P,Imported ACA (The Australasian Corrosion Association),,ACA,59110,"$3,181.82 ",,,,GST,$318.18 ,B,2,0,5,0,"$3,500 ",,5005,431
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153449,21/04/2021,15442,,P,Imported Sharp and Howells Pty Ltd,,sharp and howells,54400,"$1,030 ",,,,GST,$103 ,B,2,0,12,0,"$1,133 ",,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
Racket Agency Pty Ltd,,153450,21/04/2021,955,,P,Imported Racket Agency Pty Ltd,,Racket Agency Pty Ltd,51000,"$2,475 ",,,,GST,$247.50 ,B,2,0,18,0,"$2,722.50 ",,5548,2099
,,,,,,,,,,,,,,,,,,,,,,,,,
Suk Kyun Shin,,153451,30/04/2021,475186,,P,Imported Suk Kyun Shin,,Suk Kyun Shin Cleaning ,61215,$460 ,,,,GST,$46 ,B,2,0,3,0,$506 ,,2238,2508
,,,,,,,,,,,,,,,,,,,,,,,,,
HR Consulting Melbourne,,153452,30/04/2021,252021,,P,Imported HR Consulting Melbourne,,HR Consulting Melbourne,61035,$450 ,,,,GST,$45 ,B,2,0,3,0,$495 ,,2097,2428
,,,,,,,,,,,,,,,,,,,,,,,,,
AGL,,153453,30/04/2021,300421,,P,Imported AGL,,AGL Energy ,66030,$434.60 ,,,,GST,$43.46 ,B,2,0,3,0,$478.06 ,,5458,1336
,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,153454,1/5/2021,2141,,P,Imported Hightalk Pty Ltd,,Hightalk Pty Ltd,61300,$362.73 ,,,,GST,$36.27 ,B,2,0,2,0,$399 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,
ACTA (Australian Construction Training Alliance),,153455,26/04/2021,1856,,P,Imported ACTA (Australian Construction Training Alliance),,ACTA training for AD Gas Test Atmospheres,54800,$150 ,,,,FRE,$0.00 ,B,2,0,7,0,$150 ,,1926,2329
,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,153456,13/04/2021,13195,,P,Imported Jims Mowing,,Jims Mowing,61250,$90 ,,,,GST,$9 ,B,2,0,23,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,
Visy Recycling,,153457,30/04/2021,139819209,,P,Imported Visy Recycling,,Visy Recycling,61215,$34.08 ,,,,GST,$3.41 ,B,2,0,6,0,$37.49 ,,5510,1903
,,,,,,,,,,,,,,,,,,,,,,,,,
SOI (Kent Street No 1) Pty Ltd,,153458,30/04/2021,SOI 1193,,P,Imported SOI (Kent Street No 1) Pty Ltd,,SOI Kent St No 1,61215,$14.10 ,,,,GST,$1.41 ,B,2,0,6,0,$15.51 ,,2096,2426
,,,,,,,,,,,,,,,,,,,,,,,,,
Olympus Australia Pty Ltd,,153459,4/5/2021,91204785,,P,Imported Olympus Australia Pty Ltd,,Olympus Australia Pty Ltd,51000,$65 ,,,,GST,$6.50 ,B,2,0,2,0,$71.50 ,,5502,1865
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153460,1/5/2021,85249,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,"$2,124.10 ",,,,GST,$212.41 ,B,2,0,5,0,"$2,336.51 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
