Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Description,Account No.,Amount,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Card ID,Record ID
COGL Sydney 11 Pty Ltd T/A Compass Offices,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153974,6/7/2022,AU-07-00001797,,P,COGL Sydney - Compass Offices June Rent,66010,"$4,190 ",,,Purchase; COGL Sydney 11 Pty Ltd T/A Compass Offices,,GST,$419 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$4,609 ",,2336,2575
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momentum Energy,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153975,6/7/2022,379127,,P,Momentum Energy,66060,$959.54 ,,,Purchase; Momentum Energy,,GST,$95.95 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$1,055.49 ",,5423,875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstra Corp,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153976,10/7/2022,100722,,P,Tolstoy Corp Mobile phones,61300,"$1,447.29 ",,,Purchase; Tolstoy Corp,,GST,$103.61 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$1,550.90 ",,5330,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTZ Group Pty Ltd T/A Party Hire Group,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153977,11/7/2022,5054,,A,Party Hire Group ( End of financial Year function for staff),61030,$326.36 ,,,Purchase; NTZ Group Pty Ltd T/A Party Hire Group,,GST,$32.64 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$359 ,,*None,2643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153983,20/07/2022,601922527,,A,Officeworks - office stationery supplies,61215,$50 ,,,Purchase; Officeworks,,GST,$5 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$55 ,,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153984,20/07/2022,601923071,,A,Officeworks Office Stationery supplies,61215,$114.90 ,,,Purchase; Officeworks,,GST,$11.49 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$126.39 ,,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153985,20/07/2022,88016,,P,Premier Technology Solutions ,61150,"$2,160 ",,,Purchase; Premier Technology Solutions,,GST,$216 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$2,376 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Australia Pty Limited,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153986,20/07/2022,11041535,,A,Toshiba Australia Pty Ltd,61215,$75.96 ,,,Purchase; Toshiba Australia Pty Limited,,GST,$7.60 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$83.56 ,,1842,2302
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Hustle Group Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153991,26/07/2022,GHG3465,,A,Good Hustle Group Pty Ltd - Taco Food Van,65145,"$1,227.27 ",,,Purchase; Good Hustle Group Pty Ltd,,GST,$122.73 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$1,350 ",,*None,2649
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153992,11/7/2022,73926,,P,M & R Insurance Brokers P L Professional Indemnity Insurance,61140,"$56,644.43 ",,,Purchase; M & R Insurance Brokers Pty Ltd,,GST,"$5,022.79 ",$0.00 ,GST,$0.00 ,B,2,0,30,0,"$61,667.22 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153993,13/07/2022,73813,,A,M & R Insurance Brokers Pty Ltd  - Commercial Insurance,61140,"$3,057.03 ",,,Purchase; M & R Insurance Brokers Pty Ltd,,GST,$275.41 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$3,332.44 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153994,13/07/2022,73940,,A,M & R Insurance Brokers Pty Ltd - Cyber Liability,61140,"$1,286.85 ",,,Purchase; M & R Insurance Brokers Pty Ltd,,GST,$118.17 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$1,405.02 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153995,12/7/2022,73942,,A,M & R Insurance Brokers Pty Ltd,61140,"$3,935.81 ",,,Purchase; M & R Insurance Brokers Pty Ltd,,GST,$354.58 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$4,290.39 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153996,12/7/2022,73929,,A,M & R Insurance Brokers Pty Ltd - liability insurance,61140,"$7,286.30 ",,,Purchase; M & R Insurance Brokers Pty Ltd,,GST,$660 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$7,946.30 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153997,28/06/2022,73812,,A,M & R Insurance Brokers Pty Ltd - Management Liability Insurance,61140,"$2,284.18 ",,,Purchase; M & R Insurance Brokers Pty Ltd,,GST,$206.10 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$2,490.28 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153998,13/07/2022,73938,,A,M & R Insurance Brokers Pty Ltd - General Property Insurance,61140,"$3,715.60 ",,,Purchase; M & R Insurance Brokers Pty Ltd,,GST,$334.74 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$4,050.34 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yarra Valley Water,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154004,3/8/2022,5.20E+11,,A,Yarra Valley Water Quarterly Bill,66090,$785.61 ,,,Purchase; Yarra Valley Water,,FRE,$0.00 ,$0.00 ,FRE,$0.00 ,B,2,0,30,0,$785.61 ,,5463,1394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineers Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154005,29/07/2022,10407492,,A,Engineers Australian Professional Membership fee for Ian Godson,51100,$521.82 ,,,Purchase; Engineers Australia,,GST,$52.18 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$574 ,,5126,467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suk Kyun Shin,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154006,31/07/2022,495580,,A,Suk Kyun Shin Office Clean for Month of July,61215,$850 ,,,Purchase; Suk Kyun Shin,,GST,$85 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$935 ,,2238,2508
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR Consulting Melbourne,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154007,31/07/2022,12223,,A,HR Consulting Melbourne,61035,$450 ,,,Purchase; HR Consulting Melbourne,,GST,$45 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$495 ,,2097,2428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154008,1/8/2022,2-10003587961,,A,MYOB Australian Monthly subscription for Aug 22 ,61290,$109.09 ,,,Purchase; MYOB Australia,,GST,$10.91 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$120 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dormakaba Australia Pty ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154009,29/07/2022,05VC1001252,,A,Dormakaba Australian Pty Ltd Repairs to front sliding doors,61250,"$5,866.86 ",,,Purchase; Dormakaba Australia Pty ltd,,GST,$586.69 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$6,453.55 ",,1829,2293
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154010,2/8/2022,19343,,A,Jims Mowing maintenance completed on 2/8/22,61250,$90 ,,,Purchase; Jims Mowing,,GST,$9 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen David Vaughan,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154011,27/07/2022,270722,,A,Stephen Vaughan,61035,"$1,400 ",,,Purchase; Stephen David Vaughan,,GNR,$0.00 ,$0.00 ,GNR,$0.00 ,B,2,0,30,0,"$1,400 ",,*None,2629
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallagher Bassett Services Workers Compensation Vi,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154013,16/07/2022,160722,,P,WorkSafe Victoria period 2022/2023,65140,"$7,173.69 ",,,Purchase; Gallagher Bassett Services Workers Compensation Vi,,GST,$42.71 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$7,216.40 ",,2297,2544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154014,1/8/2022,2883,,A,Hightalk Pty Ltd monthly bill,61300,$362.73 ,,,Purchase; Hightalk Pty Ltd,,GST,$36.27 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$399 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL Booth,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154030,16/08/2022,2201,,B,Business advisory service ,61035,"$5,250 ",,,Purchase; Graeme Booth,,GNR,$0.00 ,$0.00 ,GNR,$0.00 ,B,4,0,30,0,"$5,250 ",,*None,2714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154040,1/9/2022,18162987,,P,TPG Telecom monthly invoice 1st Aug 22 to 30th Aug 22,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154042,1/9/2022,7013 336 933,,P,AGL,66030,$66.84 ,,,Purchase; AGL,,GST,$6.68 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$73.52 ,,5458,1336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154043,1/9/2022,2943,,P,Hightalk Pty Ltd monthly bill,61300,$362.73 ,,,Purchase; Hightalk Pty Ltd,,GST,$36.27 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$399 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154044,1/9/2022,2-10003818060,,P,MYOB monthly subscription Sept 2022,61290,$118.18 ,,,Purchase; MYOB Australia,,GST,$11.82 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$130 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Couriers Please Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154052,14/09/2022,TI3419046,,P,Couriers Please pre paid service,61215,$149 ,,,Purchase; Couriers Please Pty Ltd,,GST,$14.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$163.90 ,,5539,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154082,1/10/2022,2-10004080221,,P,Monthly subscription,61290,$118.18 ,,,Purchase; MYOB Australia,,GST,$11.82 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$130 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StaySafe (SA) Pty Ltd  Securitas,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154085,29/09/2022,AURS-PCN20-5559,,P,credit memo for incorrect charging on invoice AURS-PSI20-85778 ,66080,($158.62),,,Purchase; StaySafe (SA) Pty Ltd  Securitas,,GST,($15.86),$0.00 ,GST,$0.00 ,B,2,0,30,0,($174.48),,2393,832
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154100,1/10/2022,18273289,,P,Billing period 01 Sep 22 tp 30 Sep 22,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154110,1/11/2022,2-10004317572,,P,MYOB AccountRight Live Plus subscription 01/11/2022 -30/11/2022,61290,$118.18 ,,,Purchase; MYOB Australia,,GST,$11.82 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$130 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,X,154141,29/11/2022,18390359,,P,Billing Period 01/10/2022 to 31/10/2022,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,X,154146,1/12/2022,2-100004580804,,P,Period 01/12/2022 to 31/12/2022,61290,$118.18 ,,,Purchase; MYOB Australia,,GST,$11.82 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$130 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154149,5/12/2022,18501860,,P,Period 01 Nov 22 to 30 Nov 22,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154179,4/1/2023,18612415,,P,Recurring Charge December 22,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154180,1/1/2023,2-10004828789,,P,Recurring subscription 01/01/23 -31/01/23,61290,$118.18 ,,,Purchase; MYOB Australia,,GST,$11.82 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$130 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Tile Council Inc,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154200,31/01/2023,,,P,Industry consultant Membership,59100,$350 ,,,Purchase; Australian Tile Council Inc,,FRE,$0.00 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$350 ,,2008,2371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154206,1/2/2023,2- 10005062407,,P,Recurring Subscription 01/02/23 -28/02/23,61290,$118.18 ,,,Purchase; MYOB Australia,,GST,$11.82 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$130 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154220,8/2/2023,18738294,,P,Recurring Charge 01/01/23 to 31/01/23,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nickless Miller Meehans  Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154227,10/2/2023,INV-2209,,P,Corporate Secretarial Service,61100,$170 ,,,Purchase; Nickless Miller Meehans  Pty Ltd,,GST,$17 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$187 ,,5251,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154255,1/3/2023,2-10005299569,,P,MYOB AccountRight Live Plus 01/03/23 -31/03/23,61290,$118.18 ,,,Purchase; MYOB Australia,,GST,$11.82 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$130 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154272,28/03/2023,18837212,,P,Recurring charge 01/02/2023 to 28/02/2023,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL Booth,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154273,6/2/2023,2302,,P,Business Advisory Service Aug 2022 - Feb 303\r\n,61035,"$5,950 ",,,Purchase; GL Booth,,FRE,$0.00 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$5,950 ",,*None,2714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL Booth,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154274,29/03/2023,2305,,P,Business Advisory Service 7 Feb to 29 Mar 2023,61035,"$2,975 ",,,Purchase; GL Booth,,FRE,$0.00 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$2,975 ",,*None,2714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154276,3/4/2023,2-10005526800,,P,Period 01/04/23 to 30/04/2023,61290,$123.64 ,,,Purchase; MYOB Australia,,GST,$12.36 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$136 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIGGEAR AUSTRALIA PTY LTD t/a JP cases,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154297,21/04/2023,JP-82825,,A,Pelican 1755 Air Long Case - Foam,11207,$698.14 ,,,Purchase; JP Cases,,GST,$69.81 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$767.95 ,,2559,2720
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154300,28/04/2023,18954336,,P,Recurring charges 01/03/23 - 31/03/23,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nickless Miller Meehans  Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154303,21/04/2023,INV-2444,,P,"2022 Annual Tax Compliance, annual financial statements & Tax return",61015,"$7,950 ",,,Purchase; Nickless Miller Meehans  Pty Ltd,,GST,$795 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$8,745 ",,5251,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154304,2/5/2023,2-10005770296,,P,Recurring subscription 01/05/23 -31/05/23,61290,$123.64 ,,,Purchase; MYOB Australia,,GST,$12.36 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$136 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154311,1/5/2023,19065192,,P,Recurring charges 01/04/23 - 30/04/23,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosentino Builders Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154331,2/5/2023,148.1,,P,Office refurbishment,12710,"$7,573.80 ",,,Purchase; Cosentino Builders Pty Ltd,,GST,$757.38 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$8,331.18 ",,2280,2536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154341,1/6/2023,2-1006001923,,P,MYOB AccountRight Live Plus Recurring Subscription 01/06/23 to 30/06/23,61290,$123.64 ,,,Purchase; MYOB Australia,,GST,$12.36 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$136 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154343,7/6/2023,19177875,,P,Recurring charges 01 May 23 to 31 May 23,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL Booth,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154344,7/6/2023,2312,,P,Business Advisory Services\r\nServices:\r\n1. Services re management of M&A approaches and related Executive advices.\r\n2. Coaching and Training services to DF/IG started June 2023,61035,"$6,300 ",,,Purchase; GL Booth,,FRE,$0.00 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$6,300 ",,*None,2714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimatum Pty Ltd T/A Miglic Macleod,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154359,31/05/2023,INV-3079,,P,Fixed component: Detailed design and\r\ndocumentation,54400,"$4,600 ",,,Purchase; Optimatum Pty Ltd T/A Miglic Macleod,,GST,$460 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$7,695.60 ",,1923,2327
Optimatum Pty Ltd T/A Miglic Macleod,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154359,31/05/2023,INV-3079,,P,Construction Stage Services (RFI's up to 6\r\nhours)\r\n$Construction Stage Services (RFI's up to 6\r\nhours)\r\nConstruction Stage Services (RFI's up to 6\r\nhours)\r\nConstruction Stage Services (RFI's up to 6\r\nhours),54400,"$1,500 ",,,Purchase; Optimatum Pty Ltd T/A Miglic Macleod,,GST,$150 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$7,695.60 ",,1923,2327
Optimatum Pty Ltd T/A Miglic Macleod,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154359,31/05/2023,INV-3079,,P,Variation (Structural) - Additional time for RFIs and support - Reza,54400,$896 ,,,Purchase; Optimatum Pty Ltd T/A Miglic Macleod,,GST,$89.60 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$7,695.60 ",,1923,2327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nickless Miller Meehans  Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154364,16/06/2023,INV-2736,,P,"FBT Return\r\nPreparation of Fringe Benefits Tax (FBT) return for the period ending 31 March 2023, including but not limited to:\r\n- Lodge Fringe Benefits Tax return with the Australian Taxation Office.",61015,$150 ,,,Purchase; Nickless Miller Meehans  Pty Ltd,,GST,$15 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$165 ,,5251,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chartered Accounts Australia & NZ,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,154375,29/06/2023,INVAU62122423,,P,Chartered Accountant - Annual Subscription Fee - Income concession Nina Gaitz,65150,$266.36 ,,,Purchase; Chartered Accounts Australia & NZ,,GST,$26.64 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$293 ,,*None,2535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
