Account Number,Account Name,Header,Balance,Account Type,Last Cheque Number,Tax Code,Inactive Account,AccountantLink Code,BSB Number,B/Account Number,B/Account Name,Company Trading Name,Create Bank Files,Bank Code,Direct Entry User ID,Self Balancing Transaction,Description,Classification for Statement of Cash Flow,Subtotal Header Accounts
61750,OVERSEAS FREIGHT &EXPORT CHARG,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
61755,OVERSEAS INSURANCE,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
61760,LOCAL CUSTOMS aND HANDLING,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
61800,Late Fees Paid,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
64000,Shrinkage/Spoilage,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
65100,Employment Expenses,H,"£2,010,332.87",Expense,,,N,,,,,,,,,,,,Y
65104,Payroll Tax,,"£137,078.65",Expense,,N-T,N,,,,,,,,,,,,
65105,Fringe Benefits Tax,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
65110,Staff Amenities,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
65120,Superannuation - Assoc,,£0.00,Expense,,N-T,N,,,,,,,,,,,,
65122,Superannuation - Employee,,"£373,175.39",Expense,,N-T,N,,,,,,,,,,,,
65130,Wages & Salaries,,"£3,453,544.31",Expense,,N-T,N,,,,,,,,,,,,
65140,Workers' Compensation,,"£10,792.09",Expense,,GST,N,,,,,,,,,,,,
65145,Staff Amenities,,"£23,634.32",Expense,,GST,N,,,,,,,,,,,,
65150,Other Employer Expenses,,"£16,666.70",Expense,,N-T,N,,,,,,,,,,,,
65155,Income Protection,,£0.00,Expense,,GST,N,,,,,,,,,,,,
65160,Leave accruals,,"£24,123.20",Expense,,N-T,N,,,,,,,,,,,,
65170,Professional Registrations,,"£4,478.63",Expense,,GST,N,,,,,,,,,,,,
65900,Salaries recovered,,"-£2,033,160.42",Expense,,N-T,N,,,,,,,,,,,,
66000,Occupancy Costs,H,"£251,258.81",Expense,,,N,,,,,,,,,,,,Y
66010,Rent,,"£231,544.88",Expense,,GST,N,,,,,,,,,,,,
66020,Rates,,"£4,378.20",Expense,,FRE,N,,,,,,,,,,,,
66030,Gas,,£429.60,Expense,,GST,N,,,,,,,,,,,,
66060,Electricity,,"£12,205.74",Expense,,GST,N,,,,,,,,,,,,
66080,Alarm Monitoring,,£648.55,Expense,,GST,N,,,,,,,,,,,,
66090,Water,,"£2,051.84",Expense,,FRE,N,,,,,,,,,,,,
80000,Other Income,H,"£87,996.14",Other Income,,,N,,,,,,,,,,,,Y
81000,Interest Income,,"£87,996.14",Other Income,,N-T,N,,,,,,,,,,,,
81050,Rental Income,,£0.00,Other Income,,GST,N,,,,,,,,,,,,
82000,Maternity Leave Cont,,£0.00,Other Income,,N-T,N,,,,,,,,,,,,
82050,ATO - Cash Flow Boost,,£0.00,Other Income,,N-T,N,,,,,,,,,,,,
83000,FBT Recovered,,£0.00,Other Income,,FRE,N,,,,,,,,,,,,
84000,Profit/Loss on Sale of Assets,,£0.00,Other Income,,CAP,N,,,,,,,,,,,,
85000,Other Revenue,,£0.00,Other Income,,N-T,N,,,,,,,,,,,,
90000,Other Expenses,H,"£773,435.03",Other Expense,,,N,,,,,,,,,,,,Y
91000,Interest Expense,,"£3,016.03",Other Expense,,N-T,N,,,,,,,,,,,,
92000,Income Tax Expense,,"£195,419.00",Other Expense,,N-T,N,,,,,,,,,,,,
92100,Under Prov for Income Tax,,£0.00,Other Expense,,N-T,N,,,,,,,,,,,,
93000,Dividends Paid,,"£575,000.00",Other Expense,,N-T,N,,,,,,,,,,,,
