{}
Account Number	Account Name	Header	Balance	Account Type	Last Cheque Number	Tax Code	Inactive Account	AccountantLink Code	BSB Number	B/Account Number	B/Account Name	Company Trading Name	Create Bank Files	Bank Code	Direct Entry User ID	Self Balancing Transaction	Description	Classification for Statement of Cash Flow	Subtotal Header Accounts
66670	Interest - M/V's		£0.00	Expense		FRE	Y												
66685	zInterest - Premium Funding		£0.00	Expense		FRE	Y												
67000	Shared Services	H	£0.00	Expense			N												N
67001	Shared Services Allocation		£0.00	Expense		N-T	N												
80000	Other Income	H	£71,100.22	Other Income			N												Y
81000	Interest Income		£70,389.44	Other Income		FRE	N												
81010	Australian Tax Office/Cashflow Boost		£0.00	Other Income		FRE	N												
81050	Interest - Division 7A Loans		£0.00	Other Income		FRE	N												
81100	Profit/(Loss) - Disposal of FA		£0.00	Other Income		FRE	N												
81150	Dividend Income		£710.77	Other Income		FRE	N												
81160	Profit/Loss - Sundry		£0.00	Other Income		GST	Y												
81200	Administration Fee - Prime		£0.00	Other Income		GST	Y												
81250	Insurance Recoveries		£0.00	Other Income		N-T	N												
81300	Other Income		£0.01	Other Income		N-T	N												
81350	Unrealised Exchange Gain		£0.00	Other Income		N-T	Y												
90000	Other Expenses	H	-£298,650.69	Other Expense			N												Y
91000	Interest - General Finance		£0.00	Other Expense		FRE	Y												
91100	Interest - Other		£0.00	Other Expense		GST	Y												
91200	Expenses - Prime IC P/L		£0.00	Other Expense		N-T	Y												
91300	Other Expenses		£0.00	Other Expense		GST	Y												
91400	Prior Year adjustments		-£298,650.69	Other Expense		N-T	N												
91500	Debts Forgiven		£0.00	Other Expense		N-T	Y												
92000	Income Tax Expense		£0.00	Other Expense		N-T	N												
