Job Number,Job Name,Sub-job of,Header,Description,Contact,Percent Complete,Start Date,Finish Date,Manager,Linked Customer,Inactive Job,Track Reimburseables,,
ERP001,ERM Power,ENV,D,Approvals for power station and Gas pipeline,,0%,,,,,Y,Y,,
CHE001,Storyboard for CHESM,OHS,D,,,0%,,,,,Y,Y,,
NMC010,Tanami Audit,ENV,D,,,0%,,,,,Y,Y,,
RPL126,RPL126,TRA,D,Robert Kidd,,0%,,,,,Y,Y,,
RPL127,RPL127,TRA,D,Wade Bloffwitch,,0%,,,,,Y,Y,,
NEBDIS107,NEBDIS107,TRA,D,,,0%,,,,,Y,Y,,
FHH001,Fremantle Hospital,TRA,D,Independent Safety Inspection,,0%,,,,,Y,Y,,
UUA001,United Utilities,ENV,D,Develop an outline Sustainability Management Plan,,0%,,,,,Y,Y,,
PKD002,Ammendments-Pre Feasibili,ENV,D,Ammendments of ENV section Pre-Feasibility,,0%,,,,,Y,Y,,
BHP024,Benification Plant,TEC,D,,,0%,,,,,Y,Y,,
MGD002,Ma'aden Gold mine,SCA,D,Prof development for personnel,,0%,,,,,Y,Y,,
IMM034b,Offshore Amend DEIA,ENV,D,,,0%,,,,,Y,Y,,
NMC012,HAZMAT Supply Chain Audit,ENV,D,,,0%,,,,Newmont Asia Pacific,Y,Y,,
RPL129,RPL129,TRA,D,Trudi Washington,,0%,,,,,Y,Y,,
VAE001,Enviro Consulting,ENV,D,,,0%,,,,,Y,Y,,
CCS001,CCS Insurance Law,OHS,D,Site inspection at Leopold Hotel,,0%,,,,,Y,Y,,
CML002,Corp Policy Development,ENV,D,,,0%,,,,,Y,Y,,
PTD001,Pt. Dairi Prima Mineral,TRA,D,Vinprocess,,0%,,,,,Y,Y,,
ENG001,Engenium,OHS,D,Abydos Southern Access Upgrade Project,,0%,,,,,Y,Y,,
RPL128,RPL128,TRA,D,Lance Spice,,0%,,,,,Y,Y,,
IMM037,EMS Auditor Training,ENV,D,EMS Auditor Training -Offshore,,0%,,,,,Y,Y,,
GFR010,Site Safety Advisor,OHS,D,Provision of site safety advisor for Ravensthrope Project,,0%,,,,GFR Group,Y,Y,,
NMC013,Major Hazard Facility Aud,OHS,D,Major Hazard Facility Audit for Tanami Operations,,0%,,,,Newmont Asia Pacific,Y,Y,,
EBR001,European Bank,SEA,D,Darkhan Nekhii Environmental Due Diligence,,0%,,,,,Y,Y,,
RIO380,Tooltime Construction,TEC,D,Tooltime Construction,,0%,,,,,Y,Y,,
RIO381,Underground Services Aust,TEC,D,Underground Services Australia,,0%,,,,,Y,Y,,
WCE001,West Coast Energy,OHS,D,Working at Hights Procedure,,0%,,,,,Y,Y,,
NEW004,NewGen Dec Licence Audit,ENV,D,Dec Licence audit and Ministerial statement Audit,,0%,,,,,Y,Y,,
MMC001,Minarco,ENV,D,Environmental review of the Shinejinst&Zeegt project,,0%,,,,,Y,Y,,
NMC014,Perth Surveillance Jan11,Assurance,D,Perth Surveillance Audit Jan11,,0%,,,,,Y,Y,,
ASS002,ASIS Int'l,TRA,D,,,0%,,,,,Y,Y,,
DMP001C,Lead Auditor Training OHS,TRA,D,Kalgoorlie - 7 to 10 Feb 2011,,0%,,,,,Y,Y,,
SGP001,Sithe Global Power,SEA,D,Environmental scoping report,,0%,,,,,Y,Y,,
DMP001B,Lead Auditor training,TRA,D,Lead Auditor OHS training,,0%,,,,,Y,Y,,
ASP001,Env&Social Baseline study,SEA,D,Aspire Mining Ltd Environmental and social baseline study,,0%,,,,,Y,Y,,
BMV003,HSE system dev-onshore,ENV,D,HSE system development onshore,,0%,,,,,Y,Y,,
RIO382,Burke Air,TEC,D,,,0%,,,,,Y,Y,,
NEB005,NEBOSH,TRA,D,,,0%,,,,,Y,Y,,
BMV002a,ESIA development offshore,ENV,D,ESIA development offshore,,0%,,,,,Y,Y,,
RIO384,Glass Co,TEC,D,,,0%,,,,,Y,Y,,
IMM030D,ESIA support,ENV,D,,,0%,,,,,Y,Y,,
RPL138,RPL138,TRA,D,B. Arber,,0%,,,,,Y,Y,,
RPL137,RPL137,TRA,D,S. Doley,,0%,,,,,Y,Y,,
RPL134,RPL134,TRA,D,K. Morton,,0%,,,,,Y,Y,,
MAC002,Macmahon Audit Newman,OHS,D,Macmahon Audit Newman,,0%,,,,,Y,Y,,
SMR000,SMS rental client acqstn,OHS,D,SMS rental client acquisition,,0%,,,,,Y,Y,,
MMC002,Feasb: study Roy Hill,ENV,D,Minarco Feasibility study Roy Hill project,,0%,,,,,Y,Y,,
BMV002b,ESIA Dev -Onshore,ENV,D,ESIA Development Onshore,,0%,,,,,Y,Y,,
BMV003a,HSE Sym Dev offshore,ENV,D,HSE System Development Offshore,,0%,,,,,Y,Y,,
ERP002,Stack Emission Mgt plan,ENV,D,Stack Emission Management plan Compliance Audit,,0%,,,,,Y,Y,,
CAP011,Risk Mgt & safety support,TRA,D,Risk Manement and safety support -Mt. Richardson,,0%,,,,,Y,Y,,
DMP001D,Lead auditor Training OHS,TRA,D,Bunbury -21 to 24 Feb 2011,,0%,,,,,Y,Y,,
BHP000,Discussion on add work,TEC,D,Discussion on additional work,,0%,,,,,Y,Y,,
ILA104,Brendon Sullivan,TRA,D,,,0%,,,,,Y,Y,,
RPL143,RPL143- Luke Dawson,TRA,D,RPL143- Luke Dawson,,0%,,,,,Y,Y,,
RPL146,RPL146,TRA,D,,,0%,,,,,Y,Y,,
BHP014a,BHP 014a,TEC,D,,,0%,,,,,Y,Y,,
NEBDIS111,NEBDIS111,TRA,D,NEBOSH Distance,,0%,,,,,Y,Y,,
IMM030E,ESIA Support Offshore,ENV,D,ESIA support offshore- Australia & London,,0%,,,,,Y,Y,,
RPL145,RPL145-Chris Coutinho,TRA,D,,,0%,,,,,Y,Y,,
NGA003,NGA003,OHS,D,Need CoS ????,,0%,,,,,Y,Y,,
NEBDIS112,NEBDIS112,TRA,D,NEBOSH Distance,,0%,,,,,Y,Y,,
RIO383,Trac Building,TEC,D,,,0%,,,,,Y,Y,,
BPJ001,BP Jordan,SCA,D,BP Jordan,,0%,,,,,Y,Y,,
DMP001E,Lead Auditor Training OHS,TRA,D,Perth 21 Mar to 24 Mar 2011,,0%,,,,,Y,Y,,
RPL147,RPL147 Gary Austin,TRA,D,,,0%,,,,,Y,Y,,
RIO386,Kone Cranes,TEC,D,,,0%,,,,,Y,Y,,
RIO391,Fuji Xerox,TEC,D,,,0%,,,,,Y,Y,,
RIO388,Swift Network,TEC,D,,,0%,,,,,Y,Y,,
RIO231,Flex Force Maintenance,TEC,D,,,0%,,,,,Y,Y,,
RIO376,Emissions Assessment,TEC,D,,,0%,,,,,Y,Y,,
ASP001a,Aspire Mining,SEA,D,Additional costs to cover Access Corridor from Ovoot to Moron,,0%,,,,,Y,Y,,
NMC015,Jundee Surveillance audit,Assurance,D,11-Mar,,0%,,,,,Y,Y,,
IMM035,Onshore- EMS workshop,ENV,D,,,0%,,,,,Y,Y,,
KDC001,Kimberley Diamond,ENV,D,Compliance audit and Gap analysis,,0%,,,,,Y,Y,,
RABASS001,RABQSA Skill assessment,TRA,D,RABQSA Skill assessment,,0%,,,,,Y,Y,,
XLT001,XLT Industrial,TRA,D,RPL Cert IV training,,0%,,,,,Y,Y,,
GFR011,Jimblebar Safety advisors,OHS,D,,,0%,,,,,Y,Y,,
RIO387,Pilbara Concrete services,TEC,D,,,0%,,,,,Y,Y,,
RIO389,Hutchinson Builders,TEC,D,,,0%,,,,,Y,Y,,
WNR005,Secondment of Adm officer,TRA,D,Jo Vanderwal,,0%,,,,,Y,Y,,
RPL141,RPL141-Goostrey,TRA,D,,,0%,,,,,Y,Y,,
MOE004,Land use study,ENV,D,,,0%,,,,,Y,Y,,
PML010,Amended ENV protect plan,ENV,D,Amended Env Protection Plan for stratographic drilling at block V,,0%,,,,,Y,Y,,
GFR000,GFR tempo,OHS,D,GFR Tempo cost centre for monthly invoices - should split revenue later,,0%,,,,,Y,Y,,
ILA033,Lead Auditor Course,TRA,D,,,0%,,,,,Y,Y,,
IMM030F,Onshore ESIA support,ENV,D,,,0%,,,,,Y,Y,,
RPL139,RPL139 D.Waugh,TRA,D,,,0%,,,,,Y,Y,,
RIO393,Gascoyne Refrigeration,TEC,D,,,0%,,,,,Y,Y,,
CFI001,Consult 5- Uranium Mine,ENV,D,Consulting Uranium Mine in Nunavut Canada,,0%,,,,,Y,Y,,
CFI002,Oromin Gold Mine,ENV,D,Consulting service Oromin Gold Mine in Sabodala , Senegal,,0%,,,,,Y,Y,
KON001,KoneCranes Lifting,OHS,D,KoneCranes,,0%,,,,,Y,Y,,
WSL001,Waroona Septic L,OHS,D,,,0%,,,,,Y,Y,,
RIO326,Invensys Rail,TEC,D,,,0%,,,,,Y,Y,,
RIO395,Minesite Construction Ser,TEC,D,,,0%,,,,,Y,Y,,
RIO394,Mitchells livestock t/p,TEC,D,,,0%,,,,,Y,Y,,
BGP001,Barbaro Group,TRA,D,Development of HSE mgt system for Chevron Pre-qualification,,0%,,,,,Y,Y,,
TYW001,Tyco Water,ENV,D,EMS Awarenwss training,,0%,,,,,Y,Y,,
IMM034c,Offshore DEIA support,ENV,D,,,0%,,,,,Y,Y,,
IMM038a,offshore Power plant app:,ENV,D,Power Plant Env approval,,0%,,,,,Y,Y,,
RPL151,RPL-S Preston,TRA,D,,,0%,,,,,Y,Y,,
RPL150,RPL J. Dawson,TRA,D,,,0%,,,,,Y,Y,,
RPL144,RPL A. Wells,TRA,D,,,0%,,,,,Y,Y,,
RPL130,RPL P Varis,TRA,D,,,0%,,,,,Y,Y,,
CAP013,supply of Senior advisor,TEC,D,Wes Rawlings,,0%,,,,,Y,Y,,
WPC001,Premier Coal Limited,TRA,D,,,0%,,,,,Y,Y,,
GFR012,Geneal safety support,OHS,D,after project relief,,0%,,,,,Y,Y,,
TTP001,Toka Tindung Gold proj,OHS,D,Develop confined space documenrs,,0%,,,,,Y,Y,,
RPL152,Jacqueline Richards,TRA,D,Cert IV TRA,,0%,,,,,Y,Y,,
RPL149,Jacqueline Richards,TRA,D,Advance Dip OHS,,0%,,,,,Y,Y,,
RIO392,Rail signalling services,TEC,D,,,0%,,,,,Y,Y,,
ASP002,Scholarship program dev,SEA,D,,,0%,,,,,Y,Y,,
ADB001,UBwater supply&senitation,SEA,D,,,0%,,,,,Y,Y,,
RPL153,Jodie Laver,TRA,D,,,0%,,,,,Y,Y,,
NEBDIS154,NEBDIS154,TRA,D,NEBOSH Distance,,0%,,,,,Y,Y,,
NEBEXA149,NEBOSH Exam Function,TRA,D,,,0%,,,,,Y,Y,,
CAP012,Risk Mgt support,TRA,D,Risk Management support of Mt. Rochardson,,0%,,,,,Y,Y,,
BSI000,BSI Admin,Assurance,D,,,0%,,,,,Y,Y,,
ILA157,Lead Auditor Course,TRA,D,,,0%,,,,,Y,Y,,
BHP027,BHP Performance Audit,TRA,D,,,0%,,,,,Y,Y,,
RPL158,RPL158 Tyson Bennett,TRA,D,,,0%,,,,,Y,Y,,
MRW001,Main Roads WA,ENV,D,ENV component review of DMW,,0%,,,,,Y,Y,,
WAC001,BGC MDP Compliance Audit,ENV,D,,,0%,,,,,Y,Y,,
NMC016,NMC Wahi Surveillance aud,Assurance,D,,,0%,,,,,Y,Y,,
WAR001,WA Rental solution,TRA,D,OHS System development,,0%,,,,,Y,Y,,
TRS001,TRS Traffic Management,TRA,D,RTO Registration,,0%,,,,,Y,Y,,
BHP028,OHS advisor-Mt.Whaleback,TRA,D,Wafir Sabron,,0%,,,,,Y,Y,,
IMM030e,ESIA support-offshore,ENV,D,,,0%,,,,,Y,Y,,
IMM038,Power plan ENVapp-onshore,ENV,D,Power plan ENVapproval-onshore,,0%,,,,,Y,Y,,
RIO390,Afkos Industries,TEC,D,,,0%,,,,,Y,Y,,
RIO379,Stork Cooperheat,TEC,D,,,0%,,,,,Y,Y,,
RIO397,A1 Labour Management,TEC,D,,,0%,,,,,Y,Y,,
RIO396,Queenslan Rail National,TEC,D,,,0%,,,,,Y,Y,,
RAD001,Ranger Drilling,TRA,D,,,0%,,,,,Y,Y,,
WNR006,Third party Audit,TRA,D,Theird party Audit of WNR Capability upgrade and Gindalbie Karara Mining Proj,,0%,,,,,Y,Y,,
HOL002,Visit of Mr. Nick Traber,TRA,D,18-24 Jul 2011,,0%,,,,,Y,Y,,
KCG001,Kalgoorlie Gold Mine,ENV,D,KCGM Cyanide Code recertification audit,,0%,,,,,Y,Y,,
NEBDIS159,NEBDIS159,TRA,D,NEBOSH Distance,,0%,,,,,Y,Y,,
BGA001,Barrick Gold Australia,ENV,D,Cyanide Audit at Porgera JV,,0%,,,,,Y,Y,,
BMV004a,Dev of presentation Mat,ENV,D,Developemnt  and delivery of presentation materials,,0%,,,,,Y,Y,,
IMM030G,ESIA support Offshore,ENV,D,ESIA Support Offshore ( Australia&London),,0%,,,,,Y,Y,,
ASM001,Steakholder meeting,SEA,D,,,0%,,,,,Y,Y,,
RPL161,RPL161 Justin Colwell,TRA,D,,,0%,,,,,Y,Y,,
NGA005,Christmas Creek Investiga,OHS,D,,,0%,,,,,Y,Y,,
DMP001G,Lead Auditor Training OHS,TRA,D,Kalgoorlie June 2011,,0%,,,,,Y,Y,,
DMP001H,Lead Auditor Training OHS,TRA,D,Perth July 2011,,0%,,,,,Y,Y,,
RIO402,Southern Environmental,TEC,D,Southern Environmental Services,,0%,,,,,Y,Y,,
BHP029,SAO training,TRA,D,,,0%,,,,,Y,Y,,
RPL162,RPL - John Huges,TRA,D,,,0%,,,,,Y,Y,,
TTP002,Toka Tindung,OHS,D,Auditor training,,0%,,,,,Y,Y,,
RIO399,ISIS Group Australia,TEC,D,,,0%,,,,,Y,Y,,
RIO401,Westate Energy,TEC,D,Westate Energy,,0%,,,,,Y,Y,,
WES001,Weststate Energy,TRA,D,,,0%,,,,,Y,Y,,
DIR001,Diatreme Resources Ltd,ENV,D,Cyclone Zircon Project,,0%,,,,,Y,Y,,
KNS002,Koniambo Nickle,TRA,D,,,0%,,,,,Y,Y,,
BSI006,Boddington Audit,Assurance,D,,,0%,,,,,Y,Y,,
MHC000,Mktg for prep Predisaster,ENV,D,Marketing for preparation of a predisaster Mitigation plan,,0%,,,,,Y,Y,,
SMR001,SMS rental Develop HSM Sy,OHS,D,Development of HSM System,,0%,,,,,Y,Y,,
BHP030,Yandi,TRA,D,Interface work instruction documentation fro Yandi OHP3 Fixed Plant,,0%,,,,,Y,Y,,
RIO385,Minprovise Pty Ltd,TEC,D,,,0%,,,,,Y,Y,,
RPL163,RPL163  Dean Bell,TRA,D,,,0%,,,,,Y,Y,,
ILA164,Lead Auditor-P Steineck,TRA,D,,,0%,,,,,Y,Y,,
SGS008,Social responsibility pro,SEA,D,Social responsibility program,,0%,,,,,Y,Y,,
BGC003,Boroo gold Co., Ltd,SEA,D,Int'l environmental support,,0%,,,,,Y,Y,
RIO398,SAS Telecom,TEC,D,,,0%,,,,,Y,Y,,
BMV005,Interim HSE Manager,OHS,D,Viriation to BMV003- John Adam,,0%,,,,,Y,Y,,
GFR012b,General Safety Sup-Site,OHS,D,General Safety Support,,0%,,,,GFR Group,Y,Y,,
ETI003,ETI003,SCA,D,,,0%,,,,,Y,Y,,
DMP001i,DMP Bunbury,TRA,D,Training course Bunbury 11-14/07/11,,0%,,,,,Y,Y,,
BGA002,Barrick Gold,ENV,D,Internal Cyanide Code Compliance Audit,,0%,,,,,Y,Y,,
NEBDIS166,NEBDIS166,TRA,D,NEBOSH Distance,,0%,,,,,Y,Y,,
NEBDIS167,NEBOSH Distance,TRA,D,NEBOSH Distance,,0%,,,,,Y,Y,,
FWW001,Foster Wheeler Worley,TRA,D,,,0%,,,,,Y,Y,,
CIM007,Cimeco Gap Analysis,OHS,D,Cimeco Gap Analysis,,0%,,,,,Y,Y,,
ILA168,Lead Auditor course,TRA,D,Lead Auditor course,,0%,,,,,Y,Y,,
GISaaa,GIS set up and Training,ENV,D,GIS set up and Training,,0%,,,,,Y,Y,,
RIO400,Tuss Concrete,TEC,D,Tuss Concrete,,0%,,,,,Y,Y,,
EMG001,Emeco HSE Audit,OHS,D,Emeco HSE Audit,,0%,,,,,Y,Y,,
MON004,Monadelphous,TRA,D,Gorgon EMP & HSSMP,,0%,,,,,Y,Y,,
IMM030H,Onshore ESIA support,ENV,D,OT Onshore ESIA support,,0%,,,,,Y,Y,,
EQA001,Equal Assurance,Assurance,D,Geraldton Eletrical Certification,,0%,,,,,Y,Y,,
MON001,Monadelphous,TRA,D,HSE contractor,,0%,,,,,Y,Y,,
ERS008,Energy Resources,ENV,D,Energy Resources,,0%,,,,,Y,Y,,
BHP034,Yandi OHP3,TEC,D,Development of Operation & Maintenance Documents,,0%,,,,,Y,Y,,
IND001,PT Jogja Magasa Iron,ENV,D,,,0%,,,,,Y,Y,,
BHP033,Dev Add doc for Newman,TRA,D,Dvelop addtional Documents for Newman Hub,,0%,,,,,Y,Y,,
NEBDIS169,NEBOSH Distance,TRA,D,NEBOSH Distance,,0%,,,,,Y,Y,,
RPL170,RPL Michael Kay,TRA,D,,,0%,,,,,Y,Y,,
ALG001a,Prov of ENV advice,ENV,D,Former BMV004a,,0%,,,,,Y,Y,,
GFR012a,Geenral Safety sup-Office,OHS,D,,,0%,,,,,Y,Y,,
IND002,Indo Mines - Vimsuite Lic,TRA,D,,,0%,,,,,Y,Y,,
IMM039,Q2&Q3 qtr updates,ENV,D,,,0%,,,,,Y,Y,,
CMC001,Centigrade Mechnical Cont,OHS,D,Rio Tinto Pre-qualification invitation,,0%,,,,,Y,Y,,
XMI001,Env Awareness Training,TRA,D,Pre-tender site visit,,0%,,,,,Y,Y,,
BHP036,Port Hedland,TRA,D,SAO Training at Port Hedland,,0%,,,,,Y,Y,,
BHP037,TWS corporate support,TRA,D,,,0%,,,,,Y,Y,,
RNM002,Prov of Safety Advisors,TRA,D,Provision of Safety Advisors Ramu Nico,,0%,,,,,Y,Y,,
WNR007,Midwest Road Risk Ass,TRA,D,Midwest Road Risk Assessment,,0%,,,,,Y,Y,,
PBM001,Phu Bia Mining Co,ENV,D,,,0%,,,,,Y,Y,,
CMC002,Introduce OHS Mgt System,OHS,D,Introduce OHS Management System in Centigrade,,0%,,,,,Y,Y,,
RPL171,RPL Scott Stalley,TRA,D,,,0%,,,,,Y,Y,,
LAN001,Land Corp,OHS,D,,,0%,,,,,Y,Y,,
GFR014,Prov of Poj Mgt support,OHS,D,,,0%,,,,,Y,Y,,
TAE173,TAE40110 upgrade,TRA,D,,,0%,,,,,Y,Y,,
TAE172,TAE40110,TRA,D,,,0%,,,,,Y,Y,,
ANG002,Anglo Ashanti Gold,TRA,D,TECH- services,,0%,,,,,Y,Y,,
TAE100,Chirs Barnett partnering,TRA,D,,,0%,,,,,Y,Y,,
WOR015,Worsley Alumina,ENV,D,,,0%,,,,,Y,Y,,
BMV002d,Bakyrchick Mining Venture,ENV,D,,,0%,,,,,Y,Y,,
RIO404,Better Builders,TEC,D,,,0%,,,,,Y,Y,,
RIO403,Jonson Communication,TEC,D,,,0%,,,,,Y,Y,,
RIO405,PRC Building,TEC,D,,,0%,,,,,Y,Y,,
RAM001,Rock Australia,TRA,D,HSE Consultant,Trainer & Assessor,,0%,,,,,Y,Y,
KEN001,Kentz,TRA,D,Recruitment support,,0%,,,,,Y,Y,,
BHP031,Dev Conveyor Mtce Newman,TRA,D,,,0%,,,,,Y,Y,,
BHP032,Dev add doc -Newman Hub,TRA,D,,,0%,,,,,Y,Y,,
BPJ002,BP Jordan,SCA,D,,,0%,,,,,Y,Y,,
IMM030I,ESIA support-Offshore,ENV,D,,,0%,,,,,Y,Y,,
RIO407,Pilbara Constructions,TEC,D,,,0%,,,,,Y,Y,,
RPL177,RPL177,TRA,D,,,0%,,,,,Y,Y,,
GCC001,Quality System Developmen,TRA,D,,,0%,,,,,Y,Y,,
ASP001b,GEIA support,SEA,D,,,0%,,,,,Y,Y,,
MOE006,Community w/shop,SEA,D,,,0%,,,,,Y,Y,,
MOE005,Land use study,SEA,D,,,0%,,,,,Y,Y,,
RPL178,RPL178,TRA,D,,,0%,,,,,Y,Y,,
CAP014,Cockatoo Island,ENV,D,Cockatoo Island Mine closure plan,,0%,,,,,Y,Y,,
FRL001,FRL Contracting,OHS,D,Fund recovery received from Liquidation process,,0%,,,,,Y,Y,,
BHP038,Safety Advisor-Yandi,TRA,D,Safety Advisor at Yandi OHP3 Warehouse,,0%,,,,,Y,Y,,
BHP041,Iron Ore Rebranding Proj,TRA,D,,,0%,,,,,Y,Y,,
LWB001,Life without Barriers,TRA,D,,,0%,,,,,Y,Y,,
BHP042,Support service @BHP offi,TRA,D,Support service for project Splice NPI work stream- TWS,,0%,,,,,Y,Y,,
RIO414,DG Builders,TEC,D,,,0%,,,,,Y,Y,,
RIO415,Coral Coast Plumbing,TEC,D,,,0%,,,,,Y,Y,,
JHG016,JHG-Devils Creek,OHS,D,,,0%,,,,,Y,Y,,
MGD001,Training for Safety&ENV,SCA,D,,,0%,,,,,Y,Y,,
BHP040,Risk Facility Serv(CEM),TRA,D,,,0%,,,,,Y,Y,,
RIO237,Catalyst Commu: Rigging,TEC,D,,,0%,,,,,Y,Y,,
RIO408,OpX Solutions,TEC,D,,,0%,,,,,Y,Y,,
RIO406,Elastomers,TEC,D,,,0%,,,,,Y,Y,,
RIO410,Hydrobiology,TEC,D,,,0%,,,,,Y,Y,,
RIO409,RePipe,TEC,D,,,0%,,,,,Y,Y,,
WSE011,Karratha Gas Plant Audit,ENV,D,,,0%,,,,,Y,Y,,
CIT184,CIT,TRA,D,,,0%,,,,,Y,Y,,
CIT185,CIT,TRA,D,,,0%,,,,,Y,Y,,
HOL003,Site Environment audit,Assurance,D,,,0%,,,,,Y,Y,,
BMV002C,Co-ord&supervise KZT Inst,ENV,D,Coordinate and supervise Kazakh Institute,,0%,,,,,Y,Y,,
ASP001c,Wash plant & TSF,SEA,D,,,0%,,,,,Y,Y,,
BGR002,German Mongolian Corp,SEA,D,Federal institure for geosciences and Natural Resources,,0%,,,,,Y,Y,,
TAM001,EIA consultation,SEA,D,,,0%,,,,,Y,Y,,
AQR001,Aquila Resources Ltd,TRA,D,OHS Expert Opinion,,0%,,,,,Y,Y,,
XST001,New Job,TRA,D,,,0%,,,,,Y,Y,,
RIO417,CMS Audit for Intertek,TEC,D,,,0%,,,,,Y,Y,,
RIO413,CMS Audit for Cable Logic,TEC,D,,,0%,,,,,Y,Y,,
NEBDIS187,NEBOSH,TRA,D,,,0%,,,,,Y,Y,,
PBM002,Phu Bia Mining,ENV,D,Pre Operational or Gap Analysis Audit for ICMC,,0%,,,,,Y,Y,,
WSE012,Tridacna 3D OBC MSS Audit,ENV,D,,,0%,,,,,Y,Y,,
JHG015,Joondalup health campus,TRA,D,Safety Advisor for Construction site,,0%,,,,,Y,Y,,
TIW027,HSE audits,TRA,D,,,0%,,,,,Y,Y,,
NGA006,Safety Advisor Jimblebar,OHS,D,,,0%,,,,,Y,Y,,
GFR015,Audit &Cyclone inspection,Assurance,D,,,0%,,,,,Y,Y,,
RIO411,Wave Solution,TEC,D,,,0%,,,,,Y,Y,,
TIW028,HSE audit Cooljarloo Mine,TRA,D,,,0%,,,,,Y,Y,,
WOR016,HSEC  verification audit,ENV,D,,,0%,,,,,Y,Y,,
STR006,Mt. Muro&Tritton HSEaudit,ENV,D,,,0%,,,,,Y,Y,,
XMI002,Proposal preparation,TRA,D,,,0%,,,,,Y,Y,,
AQR002,planning&presentation spt,TRA,D,,,0%,,,,,Y,Y,,
CIV179,Cert IV - OHS Pilot Cse,TRA,D,,,0%,,,,,Y,Y,,
NEBDIS182,Nebosh Exams,TRA,D,,,0%,,,,,Y,Y,,
MON005,HSE Advisor Gorgon,OHS,D,,,0%,,,,,Y,Y,,
IMM030K,Offshore ESIA support,ENV,D,,,0%,,,,,Y,Y,,
ETT001,Erdenes Tavan Tolgoi,SEA,D,,,0%,,,,,Y,Y,,
MAR001,Manas Resources,SEA,D,,,0%,,,,,Y,Y,,
KAM001,Kara Minerals,ENV,D,,,0%,,,,,Y,Y,,
DIR002,Cyclone feild survey,ENV,D,,,0%,,,,,Y,Y,,
ASP003,Dev&present Comm training,SEA,D,Develop and present Community Engagement & Development Course,,0%,,,,,Y,Y,,
UNR001,Universal Resource,SEA,D,,,0%,,,,,Y,Y,,
BMV006,Interim HSE Manager,OHS,D,Variation of BMV005,,0%,,,,,Y,Y,,
NEBEXA182,Nebosh,TRA,D,,,0%,,,,,Y,Y,,
BHP044,Site Intervention,TRA,D,,,0%,,,,,Y,Y,,
RIO419,Wharf Moormaster System,TEC,D,,,0%,,,,,Y,Y,,
RPL192,RPL192,TRA,D,,,0%,,,,,Y,Y,,
ILA193,ILA 193,TRA,D,,,0%,,,,,Y,Y,,
ICR001,Air Qual Monitoring Perso,OHS,D,Indigenous Cont Resource Group\r\nAir Qual Monitoring Personnel,,0%,,,,,Y,Y,,
CIT190,CIT,TRA,D,,,0%,,,,,Y,Y,,
NEBDIS194,NEBOSH,TRA,D,,,0%,,,,,Y,Y,,
RIO424,HSE CORP Advisor,TEC,D,,,0%,,,,,Y,Y,,
PIN001,Pilbara Institute Campuse,OHS,D,Pilbara Institute Campuses - \r\nHSE Audit for Campuses,,0%,,,,,Y,Y,,
MON006,Extn of MON005,OHS,D,,,0%,,,,,Y,Y,,
MAR002,IFC & EBRD standards,ENV,D,,,0%,,,,,Y,Y,,
RIO421,Downer EDI,TEC,D,Pilbara Iron Ore Company (Services) Pty Ltd,,0%,,,,,Y,Y,,
JHG018,Safety Advisor Northam,TRA,D,,,0%,,,,,Y,Y,,
BHP045,Helicopter Studies,TRA,D,,,0%,,,,,Y,Y,,
BSI007,Re-Certification Audit,Assurance,D,Subiaco office,,0%,,,,,Y,Y,,
RPL199,Diploma of OHS - RPL,TRA,D,,,0%,,,,,Y,Y,,
RIO422,VLI Conveyors,TEC,D,,,0%,,,,,Y,Y,,
RIO418,CSIRO,TEC,D,,,0%,,,,,Y,Y,,
VAE002,YNP HSE Audit,OHS,D,,,0%,,,,,Y,Y,,
RAP000,Reconciliation ActionPlan,TRA,D,,,0%,,,,,Y,Y,,
ELA001,Elastomers Prequl Audit,TRA,D,,,0%,,,,,Y,Y,,
CAP015,Env Management System,ENV,D,,,0%,,,,,Y,Y,,
BGC001a,Booroo Gold-ICMI audit,SEA,D,,,0%,,,,,Y,Y,,
RPL189,RPL189,TRA,D,,,0%,,,,,Y,Y,,
RIO420,Keystart Construction,TEC,D,,,0%,,,,,Y,Y,,
RIO423,Liberty Industrial,TEC,D,,,0%,,,,,Y,Y,,
RIO242,Telstra,TEC,D,Action Plan Desktop,,0%,,,,,Y,Y,,
RIO412,Mintec,TEC,D,,,0%,,,,,Y,Y,,
KNO001,Korean National Oil Co,OHS,D,,,0%,,,,,Y,Y,,
ACL002,Ambuja Cement,OHS,D,Provision of Training packages,,0%,,,,,Y,Y,,
SAF000,SAF000,OHS,D,,,0%,,,,,N,Y,,
RPL200,RPL- Advance Diploma OHS,TRA,D,,,0%,,,,,Y,Y,,
RIO429,Rally Revegatation,TEC,D,,,0%,,,,,Y,Y,,
RIO425,Cooper & Oxley,TEC,D,,,0%,,,,,Y,Y,,
IMM040,Internal Auditor Env Tra,ENV,D,,,0%,,,,,Y,Y,,
BHP046,Safety Focus Group Facili,TRA,D,,,0%,,,,,Y,Y,,
RIO252,Groundwater Resource Mana,TEC,D,,,0%,,,,,Y,Y,,
ILA183,Lead Auditor Course,TRA,D,,,0%,,,,,Y,Y,,
ILA186,Lead Auditor Course,TRA,D,,,0%,,,,,Y,Y,,
CAP017,Bowtie Review,OHS,D,Bowtie review of major hazard observation,,0%,,,,,Y,Y,,
ICR002,Air quality modeling,OHS,D,,,0%,,,,,Y,Y,,
