Created: 23/06/2025 14:41,Independent Slip Testing Services,,,,,,,
PO Box 777 Wynnum   Queensland   4178 Australia,,,,,,,,
General Journal,,,,,,,,
ABN: 62 109 478 088,,,,,,,,
01/07/2021 To 23/06/2025,,,,,,,,
Email: mick@sliptesting.com.au,,,,,,,,
ID No.,Account No.,Account Name,Debit,Credit,Job No.,Memo,Name,Payee
GJ000311,21101,GST Collected,"£11,859.00",,,EA: lodgement of August 22 BAS,,EA: lodgement of August 22 BAS
GJ000311,21203,PAYG Withholding Payable,"£15,568.00",,,EA: lodgement of August 22 BAS,,EA: lodgement of August 22 BAS
GJ,03/10/2022,EA: general interest charge,,,,,,
GJ000312,60032,Interest Expense,£345.08,,,EA: general interest charge,,EA: general interest charge
GJ000312,21103,ATO Running Balance A/c,,£345.08,,EA: general interest charge,,EA: general interest charge
GJ,19/10/2022,EA: general interest charge,,,,,,
GJ000313,60032,Interest Expense,£117.45,,,EA: general interest charge,,EA: general interest charge
GJ000313,21103,ATO Running Balance A/c,,£117.45,,EA: general interest charge,,EA: general interest charge
GJ,24/10/2022,EA: Lodgement of Sep 22 BAS,,,,,,
GJ000315,21103,ATO Running Balance A/c,,"£41,015.00",,EA: Lodgement of Sep 22 BAS,,EA: Lodgement of Sep 22 BAS
GJ000315,21101,GST Collected,"£11,751.00",,,EA: Lodgement of Sep 22 BAS,,EA: Lodgement of Sep 22 BAS
GJ000315,21203,PAYG Withholding Payable,"£16,149.00",,,EA: Lodgement of Sep 22 BAS,,EA: Lodgement of Sep 22 BAS
GJ000315,21105,Provision for FBT payable,"£5,119.00",,,EA: Lodgement of Sep 22 BAS,,EA: Lodgement of Sep 22 BAS
GJ000315,21106,Company Income Tax Payable,"£7,996.00",,,EA: Lodgement of Sep 22 BAS,,EA: Lodgement of Sep 22 BAS
GJ,27/10/2022,EA: general interest charge,,,,,,
GJ000314,60032,Interest Expense,,£4.09,,EA: general interest charge,,EA: general interest charge
GJ000314,21103,ATO Running Balance A/c,£4.09,,,EA: general interest charge,,EA: general interest charge
GJ,16/11/2022,EA: Lodgement of October 22 BAS,,,,,,
GJ000316,21103,ATO Running Balance A/c,,"£39,685.00",,EA: Lodgement of October 22 BAS,,EA: Lodgement of October 22 BAS
GJ000316,21101,GST Collected,"£14,683.00",,,EA: Lodgement of October 22 BAS,,EA: Lodgement of October 22 BAS
GJ000316,21203,PAYG Withholding Payable,"£25,002.00",,,EA: Lodgement of October 22 BAS,,EA: Lodgement of October 22 BAS
GJ,01/12/2022,Reclassification travel allowances as a new account for introductory training allowances was created.,,,,,,
GJ000282,61905,Travel Allowance (Training),£200.00,,,Reclassification travel allowances as a new account for introductory training allowances was created.,,Reclassification travel allowances as a new account for introductory training allowances was created.
GJ000282,61507,Travel allowances,,£200.00,,Reclassification travel allowances as a new account for introductory training allowances was created.,,Reclassification travel allowances as a new account for introductory training allowances was created.
GJ,13/12/2022,EA: 2022 Tax Refund Applied against ICA,,,,,,
GJ000317,21106,Company Income Tax Payable,,"£7,277.50",,EA: 2022 Tax Refund Applied against ICA,,EA: 2022 Tax Refund Applied against ICA
GJ000317,21103,ATO Running Balance A/c,"£7,277.50",,,EA: 2022 Tax Refund Applied against ICA,,EA: 2022 Tax Refund Applied against ICA
GJ,14/12/2022,EA: Lodgement of November 22 BAS,,,,,,
GJ000318,21101,GST Collected,"£10,959.00",,,EA: Lodgement of November 22 BAS,,EA: Lodgement of November 22 BAS
GJ000318,21203,PAYG Withholding Payable,"£14,783.00",,,EA: Lodgement of November 22 BAS,,EA: Lodgement of November 22 BAS
GJ000318,21103,ATO Running Balance A/c,,"£25,742.00",,EA: Lodgement of November 22 BAS,,EA: Lodgement of November 22 BAS
GJ,23/01/2023,EA: Lodgement of December 22 BAS,,,,,,
GJ000319,21103,ATO Running Balance A/c,,"£41,111.00",,EA: Lodgement of December 22 BAS,,EA: Lodgement of December 22 BAS
GJ000319,21101,GST Collected,"£11,069.00",,,EA: Lodgement of December 22 BAS,,EA: Lodgement of December 22 BAS
GJ000319,21203,PAYG Withholding Payable,"£16,096.00",,,EA: Lodgement of December 22 BAS,,EA: Lodgement of December 22 BAS
GJ000319,21105,Provision for FBT payable,"£5,950.00",,,EA: Lodgement of December 22 BAS,,EA: Lodgement of December 22 BAS
GJ000319,21106,Company Income Tax Payable,"£7,996.00",,,EA: Lodgement of December 22 BAS,,EA: Lodgement of December 22 BAS
GJ,13/02/2023,EA: Lodgement of Jan 23 BAS,,,,,,
GJ000320,21103,ATO Running Balance A/c,,"£24,032.00",,EA: Lodgement of Jan 23 BAS,,EA: Lodgement of Jan 23 BAS
GJ000320,21101,GST Collected,"£7,691.00",,,EA: Lodgement of Jan 23 BAS,,EA: Lodgement of Jan 23 BAS
GJ000320,21203,PAYG Withholding Payable,"£16,341.00",,,EA: Lodgement of Jan 23 BAS,,EA: Lodgement of Jan 23 BAS
GJ,28/02/2023,Reallocation excess insurance deducted from Chris Rezuk as his car was crashed,,,,,,
GJ000294,21201,Payroll Deductions Payable,£175.00,,,Reallocation excess insurance deducted from Chris Rezuk as his car was crashed ,,Reallocation excess insurance deducted from Chris Rezuk as his car was crashed 
GJ000294,62004,M/V Registration,,£175.00,,Reallocation excess insurance deducted from Chris Rezuk as his car was crashed ,,Reallocation excess insurance deducted from Chris Rezuk as his car was crashed 
GJ,01/03/2023,EA: general interest charge,,,,,,
GJ000322,60032,Interest Expense,£104.11,,,EA: general interest charge,,EA: general interest charge
GJ000322,21103,ATO Running Balance A/c,,£104.11,,EA: general interest charge,,EA: general interest charge
GJ,15/03/2023,Reallocation excess insurance deducted from Chris Rezuk as his car was crashed,,,,,,
GJ000295,21201,Payroll Deductions Payable,£175.00,,,Reallocation excess insurance deducted from Chris Rezuk as his car was crashed ,,Reallocation excess insurance deducted from Chris Rezuk as his car was crashed 
GJ000295,62004,M/V Registration,,£175.00,,Reallocation excess insurance deducted from Chris Rezuk as his car was crashed ,,Reallocation excess insurance deducted from Chris Rezuk as his car was crashed 
GJ,16/03/2023,EA: Lodgement of Feb 23 BAS,,,,,,
GJ000321,21103,ATO Running Balance A/c,,"£25,312.00",,EA: Lodgement of Feb 23 BAS,,EA: Lodgement of Feb 23 BAS
GJ000321,21101,GST Collected,"£9,473.00",,,EA: Lodgement of Feb 23 BAS,,EA: Lodgement of Feb 23 BAS
GJ000321,21203,PAYG Withholding Payable,"£15,839.00",,,EA: Lodgement of Feb 23 BAS,,EA: Lodgement of Feb 23 BAS
GJ,20/03/2023,EA: general interest charge,,,,,,
GJ000323,60032,Interest Expense,£151.49,,,EA: general interest charge,,EA: general interest charge
GJ000323,21103,ATO Running Balance A/c,,£151.49,,EA: general interest charge,,EA: general interest charge
GJ,19/04/2023,EA: Lodgement of Mar 23 BAS,,,,,,
GJ000327,21103,ATO Running Balance A/c,,"£38,677.00",,EA: Lodgement of Mar 23 BAS,,EA: Lodgement of Mar 23 BAS
GJ000327,21101,GST Collected,"£15,746.00",,,EA: Lodgement of Mar 23 BAS,,EA: Lodgement of Mar 23 BAS
GJ000327,21105,Provision for FBT payable,"£5,950.00",,,EA: Lodgement of Mar 23 BAS,,EA: Lodgement of Mar 23 BAS
GJ000327,21203,PAYG Withholding Payable,"£14,554.00",,,EA: Lodgement of Mar 23 BAS,,EA: Lodgement of Mar 23 BAS
GJ000327,21106,Company Income Tax Payable,"£2,427.00",,,EA: Lodgement of Mar 23 BAS,,EA: Lodgement of Mar 23 BAS
GJ,01/05/2023,EA: general interest charge,,,,,,
GJ000324,60032,Interest Expense,£129.81,,,EA: general interest charge,,EA: general interest charge
GJ000324,21103,ATO Running Balance A/c,,£129.81,,EA: general interest charge,,EA: general interest charge
GJ,19/05/2023,EA: Lodgement of Apr 23 BAS,,,,,,
GJ000328,21103,ATO Running Balance A/c,,"£26,569.00",,EA: Lodgement of Apr 23 BAS,,EA: Lodgement of Apr 23 BAS
GJ000328,21101,GST Collected,"£10,402.00",,,EA: Lodgement of Apr 23 BAS,,EA: Lodgement of Apr 23 BAS
GJ000328,21203,PAYG Withholding Payable,"£16,167.00",,,EA: Lodgement of Apr 23 BAS,,EA: Lodgement of Apr 23 BAS
GJ,22/05/2023,EA: general interest charge,,,,,,
GJ000325,60032,Interest Expense,£242.75,,,EA: general interest charge,,EA: general interest charge
GJ000325,21103,ATO Running Balance A/c,,£242.75,,EA: general interest charge,,EA: general interest charge
GJ,01/06/2023,EA: general interest charge,,,,,,
GJ000326,60032,Interest Expense,£154.91,,,EA: general interest charge,,EA: general interest charge
GJ000326,21103,ATO Running Balance A/c,,£154.91,,EA: general interest charge,,EA: general interest charge
GJ,02/06/2023,EA: post FBT 2023 expense,,,,,,
GJ000332,60029,Fringe Benefits Tax,"£13,468.32",,,EA: post FBT 2023 expense,,EA: post FBT 2023 expense
GJ000332,21105,Provision for FBT payable,,"£13,468.32",,EA: post FBT 2023 expense,,EA: post FBT 2023 expense
GJ,15/06/2023,EA: transfer refund from FBT account,,,,,,
GJ000330,21105,Provision for FBT payable,,"£10,331.68",,EA: transfer refund from FBT account,,EA: transfer refund from FBT account
GJ000330,21103,ATO Running Balance A/c,"£10,331.68",,,EA: transfer refund from FBT account,,EA: transfer refund from FBT account
GJ,20/06/2023,EA: Lodgement of Apr 23 BAS,,,,,,
GJ000329,21103,ATO Running Balance A/c,,"£30,646.00",,EA: Lodgement of Apr 23 BAS,,EA: Lodgement of Apr 23 BAS
GJ000329,21101,GST Collected,"£14,046.00",,,EA: Lodgement of Apr 23 BAS,,EA: Lodgement of Apr 23 BAS
GJ000329,21203,PAYG Withholding Payable,"£16,600.00",,,EA: Lodgement of Apr 23 BAS,,EA: Lodgement of Apr 23 BAS
GJ,28/06/2023,EA: remission of general interest charge,,,,,,
GJ000331,81000,Interest Income,,"£2,335.50",,EA: remission of general interest charge,,EA: remission of general interest charge
GJ000331,21103,ATO Running Balance A/c,"£2,335.50",,,EA: remission of general interest charge,,EA: remission of general interest charge
GJ,30/06/2023,EA EOY Reconcile PAYGW account,,,,,,
GJ000333,60001,Bank Fees,£4.97,,,EA EOY Reconcile PAYGW account,,EA EOY Reconcile PAYGW account
GJ000333,21203,PAYG Withholding Payable,,£4.97,,EA EOY Reconcile PAYGW account,,EA EOY Reconcile PAYGW account
GJ,30/06/2023,EA EOY interest on HP loan,,,,,,
GJ000334,60032,Interest Expense,"£1,294.97",,,EA EOY interest on HP loan ,,EA EOY interest on HP loan 
GJ000334,21301,BMW FINANCE 049DV7,,"£1,294.97",,EA EOY interest on HP loan ,,EA EOY interest on HP loan 
GJ,30/06/2023,Adam Payment,,,,,,
GJ000337,61905,Travel Allowance (Training),£292.20,,,Adam Payment ,,Adam Payment 
GJ000337,11815,Payroll Clearing,,£292.20,,Adam Payment ,,Adam Payment 
GJ,30/06/2023,Clear Tracking account for goods,,,,,,
GJ000338,11202,Tracking account for goods not,£171.91,,,Clear Tracking account for goods,,Clear Tracking account for goods
GJ000338,50001,Cost of Sales,,£171.91,,Clear Tracking account for goods,,Clear Tracking account for goods
GJ,30/06/2023,Depreciation,,,,,,
GJ000339,60015,Depreciation Expense,"£116,039.43",,,Depreciation ,,Depreciation 
GJ000339,13320,L'hold Improve Amortisation,,"£3,061.98",,Depreciation ,,Depreciation 
GJ000339,13340,Accum Dep Plant and Equip,,"£26,729.23",,Depreciation ,,Depreciation 
GJ000339,11303,Office Equip Accum Depn,,"£5,533.39",,Depreciation ,,Depreciation 
GJ000339,11402,Motor vehicles Accum Depn,,"£13,396.41",,Depreciation ,,Depreciation 
GJ000339,43005,Proceeds on Sale,"£70,388.30",,,Depreciation ,,Depreciation 
GJ000339,11401,Motor Vehicles at cost,,"£137,706.72",,Depreciation ,,Depreciation 
GJ,30/06/2023,Loss carried back,,,,,,
GJ000340,93000,Income Tax Expense,,"£5,112.00",,Loss carried back ,,Loss carried back 
GJ000340,21106,Company Income Tax Payable,"£5,112.00",,,Loss carried back ,,Loss carried back 
GJ,30/06/2023,EA EOY Clear rent to loan,,,,,,
GJ000343,21501,Loans  Walton Global,"£48,100.00",,,EA EOY Clear rent to loan,,EA EOY Clear rent to loan
GJ000343,61102,Office rent,,"£48,100.00",,EA EOY Clear rent to loan,,EA EOY Clear rent to loan
GJ,01/07/2023,End of Year Adjustment,,,,,,
GJ000000,39000,Current Year Earnings,,"£87,299.40",,End of Year Adjustment,,End of Year Adjustment
GJ000000,38000,Retained Earnings,"£87,299.40",,,End of Year Adjustment,,End of Year Adjustment
GJ,01/07/2023,Clear Superannuation Balance,,,,,,
GJ000346,21201,Payroll Deductions Payable,£975.11,,,Clear Superannuation Balance,,Clear Superannuation Balance
GJ000346,61904,Travel Allowance ,,£975.11,,Clear Superannuation Balance,,Clear Superannuation Balance
GJ,04/08/2023,Adjusting WL used pendulum from equipment sales to inventory. It will be sold to ISTS United Emirates,,,,,,
GJ000302,43005,Proceeds on Sale,,"£3,850.00",,Adjusting WL used pendulum from equipment sales to inventory. It will be sold to ISTS United Emirates,,Adjusting WL used pendulum from equipment sales to inventory. It will be sold to ISTS United Emirates
GJ000302,61708,Expense Inventory,"£3,850.00",,,Adjusting WL used pendulum from equipment sales to inventory. It will be sold to ISTS United Emirates,,Adjusting WL used pendulum from equipment sales to inventory. It will be sold to ISTS United Emirates
GJ,17/08/2023,RAV 4 acquisition and finance registration 469HZ3,,,,,,
GJ000303,11401,Motor Vehicles at cost,"£46,736.36",,,RAV 4 acquisition and finance registration 469HZ3 ,,RAV 4 acquisition and finance registration 469HZ3 
GJ000303,11401,Motor Vehicles at cost,,"£1,603.50",,RAV 4 acquisition and finance registration 469HZ3 ,,RAV 4 acquisition and finance registration 469HZ3 
GJ000303,11401,Motor Vehicles at cost,£613.64,,,RAV 4 acquisition and finance registration 469HZ3 ,,RAV 4 acquisition and finance registration 469HZ3 
GJ000303,11401,Motor Vehicles at cost,£904.55,,,RAV 4 acquisition and finance registration 469HZ3 ,,RAV 4 acquisition and finance registration 469HZ3 
GJ000303,62015,M/V Insurance,£386.00,,,RAV 4 acquisition and finance registration 469HZ3 ,,RAV 4 acquisition and finance registration 469HZ3 
GJ000303,62004,M/V Registration,£493.55,,,RAV 4 acquisition and finance registration 469HZ3 ,,RAV 4 acquisition and finance registration 469HZ3 
GJ000303,11401,Motor Vehicles at cost,"£1,042.00",,,RAV 4 acquisition and finance registration 469HZ3 ,,RAV 4 acquisition and finance registration 469HZ3 
GJ000303,11304,Deposit Account (RAV4),,"£5,000.00",,RAV 4 acquisition and finance registration 469HZ3 ,,RAV 4 acquisition and finance registration 469HZ3 
GJ000303,19001,BOQ Vehicle A/C 2282 BOQ,,"£15,000.00",,RAV 4 acquisition and finance registration 469HZ3 ,,RAV 4 acquisition and finance registration 469HZ3 
GJ000303,21302,RAV4 FINANCE 469HZ3,,"£33,237.70",,RAV 4 acquisition and finance registration 469HZ3 ,,RAV 4 acquisition and finance registration 469HZ3 
GJ000303,21102,GST Paid,"£4,665.10",,,RAV 4 acquisition and finance registration 469HZ3 ,,RAV 4 acquisition and finance registration 469HZ3 
GJ,15/09/2023,Reclassification Matthew Logan excess vehicle (repair 969 ele5 RAV 4) First instalment,,,,,,
GJ000304,21201,Payroll Deductions Payable,£200.00,,,Reclassification Matthew Logan excess vehicle (repair 969 ele5 RAV 4) First instalment,,Reclassification Matthew Logan excess vehicle (repair 969 ele5 RAV 4) First instalment
GJ000304,62005,M/V Repairs & Maintenance,,£200.00,,Reclassification Matthew Logan excess vehicle (repair 969 ele5 RAV 4) First instalment,,Reclassification Matthew Logan excess vehicle (repair 969 ele5 RAV 4) First instalment
GJ,30/09/2023,Reclassification Matthew Logan excess vehicle (repair 969 ele5 RAV 4) Second and final instalment,,,,,,
GJ000305,21201,Payroll Deductions Payable,£200.00,,,Reclassification Matthew Logan excess vehicle (repair 969 ele5 RAV 4) Second and final instalment,,Reclassification Matthew Logan excess vehicle (repair 969 ele5 RAV 4) Second and final instalment
GJ000305,62005,M/V Repairs & Maintenance,,£200.00,,Reclassification Matthew Logan excess vehicle (repair 969 ele5 RAV 4) Second and final instalment,,Reclassification Matthew Logan excess vehicle (repair 969 ele5 RAV 4) Second and final instalment
GJ,15/11/2023,Reclassification Matthew Logan excess vehicle (repair 969 EL5 RAV 4) tHE CAR WAS CRASHED ON 04112023,,,,,,
GJ000335,21201,Payroll Deductions Payable,£700.00,,,Reclassification Matthew Logan excess vehicle (repair 969 EL5 RAV 4) tHE CAR WAS CRASHED ON 04112023,,Reclassification Matthew Logan excess vehicle (repair 969 EL5 RAV 4) tHE CAR WAS CRASHED ON 04112023
GJ000335,62005,M/V Repairs & Maintenance,,£700.00,,Reclassification Matthew Logan excess vehicle (repair 969 EL5 RAV 4) tHE CAR WAS CRASHED ON 04112023,,Reclassification Matthew Logan excess vehicle (repair 969 EL5 RAV 4) tHE CAR WAS CRASHED ON 04112023
GJ,16/11/2023,RAV 4 acquisition and finance registration 204IS2,,,,,,
GJ000336,11401,Motor Vehicles at cost,"£46,736.36",,,RAV 4 acquisition and finance registration 204IS2,,RAV 4 acquisition and finance registration 204IS2
GJ000336,11401,Motor Vehicles at cost,,"£1,200.00",,RAV 4 acquisition and finance registration 204IS2,,RAV 4 acquisition and finance registration 204IS2
GJ000336,11401,Motor Vehicles at cost,£613.64,,,RAV 4 acquisition and finance registration 204IS2,,RAV 4 acquisition and finance registration 204IS2
GJ000336,11401,Motor Vehicles at cost,£904.55,,,RAV 4 acquisition and finance registration 204IS2,,RAV 4 acquisition and finance registration 204IS2
GJ000336,62015,M/V Insurance,£386.00,,,RAV 4 acquisition and finance registration 204IS2,,RAV 4 acquisition and finance registration 204IS2
GJ000336,62004,M/V Registration,£493.55,,,RAV 4 acquisition and finance registration 204IS2,,RAV 4 acquisition and finance registration 204IS2
GJ000336,11401,Motor Vehicles at cost,"£1,042.00",,,RAV 4 acquisition and finance registration 204IS2,,RAV 4 acquisition and finance registration 204IS2
GJ000336,11304,Deposit Account (RAV4),,"£3,000.00",,RAV 4 acquisition and finance registration 204IS2,,RAV 4 acquisition and finance registration 204IS2
GJ000336,19001,BOQ Vehicle A/C 2282 BOQ,,"£17,000.00",,RAV 4 acquisition and finance registration 204IS2,,RAV 4 acquisition and finance registration 204IS2
GJ000336,21303,RAV4 FINANCE 204IS2,,"£33,681.55",,RAV 4 acquisition and finance registration 204IS2,,RAV 4 acquisition and finance registration 204IS2
GJ000336,21102,GST Paid,"£4,705.45",,,RAV 4 acquisition and finance registration 204IS2,,RAV 4 acquisition and finance registration 204IS2
GJ,30/11/2023,Reclassification $200 deduction for excess insurance repair vehicle 589YSF Grant MacVitie,,,,,,
GJ000342,21201,Payroll Deductions Payable,£200.00,,,Reclassification $200 deduction for excess insurance repair vehicle 589YSF Grant MacVitie,,Reclassification $200 deduction for excess insurance repair vehicle 589YSF Grant MacVitie
GJ000342,62005,M/V Repairs & Maintenance,,£200.00,,Reclassification $200 deduction for excess insurance repair vehicle 589YSF Grant MacVitie,,Reclassification $200 deduction for excess insurance repair vehicle 589YSF Grant MacVitie
GJ,01/12/2023,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum,,,,,,
GJ000344,43005,Proceeds on Sale,,"£3,850.00",,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum ,,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum 
GJ000344,61708,Expense Inventory,"£3,850.00",,,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum ,,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum 
GJ,18/12/2023,Reclassification $200 deduction for excess insurance repair vehicle 589YSF Grant MacVitie,,,,,,
GJ000345,21201,Payroll Deductions Payable,£200.00,,,Reclassification $200 deduction for excess insurance repair vehicle 589YSF Grant MacVitie,,Reclassification $200 deduction for excess insurance repair vehicle 589YSF Grant MacVitie
GJ000345,62005,M/V Repairs & Maintenance,,£200.00,,Reclassification $200 deduction for excess insurance repair vehicle 589YSF Grant MacVitie,,Reclassification $200 deduction for excess insurance repair vehicle 589YSF Grant MacVitie
GJ,01/05/2024,Reclassification excess vehicle repairing 448BG4 Elliot Benson,,,,,,
GJ000347,21201,Payroll Deductions Payable,£500.00,,,Reclassification excess vehicle repairing 448BG4 Elliot Benson,,Reclassification excess vehicle repairing 448BG4 Elliot Benson
GJ000347,62005,M/V Repairs & Maintenance,,£500.00,,Reclassification excess vehicle repairing 448BG4 Elliot Benson,,Reclassification excess vehicle repairing 448BG4 Elliot Benson
GJ,09/05/2024,RAV 4 acquisition and finance registration 480JW9,,,,,,
GJ000348,11401,Motor Vehicles at cost,"£46,736.36",,,RAV 4 acquisition and finance registration 480JW9,,RAV 4 acquisition and finance registration 480JW9
GJ000348,11401,Motor Vehicles at cost,,"£1,000.00",,RAV 4 acquisition and finance registration 480JW9,,RAV 4 acquisition and finance registration 480JW9
GJ000348,11401,Motor Vehicles at cost,£613.64,,,RAV 4 acquisition and finance registration 480JW9,,RAV 4 acquisition and finance registration 480JW9
GJ000348,11401,Motor Vehicles at cost,£904.55,,,RAV 4 acquisition and finance registration 480JW9,,RAV 4 acquisition and finance registration 480JW9
GJ000348,62015,M/V Insurance,£386.00,,,RAV 4 acquisition and finance registration 480JW9,,RAV 4 acquisition and finance registration 480JW9
GJ000348,62004,M/V Registration,£493.55,,,RAV 4 acquisition and finance registration 480JW9,,RAV 4 acquisition and finance registration 480JW9
GJ000348,11401,Motor Vehicles at cost,"£1,042.00",,,RAV 4 acquisition and finance registration 480JW9,,RAV 4 acquisition and finance registration 480JW9
GJ000348,11304,Deposit Account (RAV4),,"£3,000.00",,RAV 4 acquisition and finance registration 480JW9,,RAV 4 acquisition and finance registration 480JW9
GJ000348,11114,BOQ New Project 80942,,"£25,000.00",,RAV 4 acquisition and finance registration 480JW9,,RAV 4 acquisition and finance registration 480JW9
GJ000348,21304,RAV4 FINANCE 480JW9,,"£25,901.55",,RAV 4 acquisition and finance registration 480JW9,,RAV 4 acquisition and finance registration 480JW9
GJ000348,21102,GST Paid,"£4,725.45",,,RAV 4 acquisition and finance registration 480JW9,,RAV 4 acquisition and finance registration 480JW9
GJ,11/05/2024,Transaction paid by New Zealand Credit card as Mick confused them. NZ$40.03 Yeloow Cab,,,,,,
GJ000351,61505,Public TransportTaxis,£32.68,,,Transaction paid by New Zealand Credit card as Mick confused them. NZ$40.03 Yeloow Cab ,,Transaction paid by New Zealand Credit card as Mick confused them. NZ$40.03 Yeloow Cab 
GJ000351,14001,Loan to New Zeland,,£35.95,,Transaction paid by New Zealand Credit card as Mick confused them. NZ$40.03 Yeloow Cab ,,Transaction paid by New Zealand Credit card as Mick confused them. NZ$40.03 Yeloow Cab 
GJ000351,21102,GST Paid,£3.27,,,Transaction paid by New Zealand Credit card as Mick confused them. NZ$40.03 Yeloow Cab ,,Transaction paid by New Zealand Credit card as Mick confused them. NZ$40.03 Yeloow Cab 
GJ,17/05/2024,RAV 4 acquisition and finance registration 483JW9,,,,,,
GJ000349,11401,Motor Vehicles at cost,"£46,736.36",,,RAV 4 acquisition and finance registration 483JW9,,RAV 4 acquisition and finance registration 483JW9
GJ000349,11401,Motor Vehicles at cost,,"£1,000.00",,RAV 4 acquisition and finance registration 483JW9,,RAV 4 acquisition and finance registration 483JW9
GJ000349,11401,Motor Vehicles at cost,£613.64,,,RAV 4 acquisition and finance registration 483JW9,,RAV 4 acquisition and finance registration 483JW9
GJ000349,11401,Motor Vehicles at cost,£904.55,,,RAV 4 acquisition and finance registration 483JW9,,RAV 4 acquisition and finance registration 483JW9
GJ000349,62015,M/V Insurance,£386.00,,,RAV 4 acquisition and finance registration 483JW9,,RAV 4 acquisition and finance registration 483JW9
GJ000349,62004,M/V Registration,£493.55,,,RAV 4 acquisition and finance registration 483JW9,,RAV 4 acquisition and finance registration 483JW9
GJ000349,11401,Motor Vehicles at cost,"£1,042.00",,,RAV 4 acquisition and finance registration 483JW9,,RAV 4 acquisition and finance registration 483JW9
GJ000349,11304,Deposit Account (RAV4),,"£3,000.00",,RAV 4 acquisition and finance registration 483JW9,,RAV 4 acquisition and finance registration 483JW9
GJ000349,11111,ISTS Mackaroo A/c 96242,,"£25,000.00",,RAV 4 acquisition and finance registration 483JW9,,RAV 4 acquisition and finance registration 483JW9
GJ000349,21305,RAV4 FINANCE 483WJ9,,"£25,901.55",,RAV 4 acquisition and finance registration 483JW9,,RAV 4 acquisition and finance registration 483JW9
GJ000349,21102,GST Paid,"£4,725.45",,,RAV 4 acquisition and finance registration 483JW9,,RAV 4 acquisition and finance registration 483JW9
GJ,03/06/2024,Reclassification excess vehicle writing off Commodore 448BG4 Elliot Benson,,,,,,
GJ000352,21201,Payroll Deductions Payable,£500.00,,,Reclassification excess vehicle writing off Commodore 448BG4 Elliot Benson,,Reclassification excess vehicle writing off Commodore 448BG4 Elliot Benson
GJ000352,62005,M/V Repairs & Maintenance,,£500.00,,Reclassification excess vehicle writing off Commodore 448BG4 Elliot Benson,,Reclassification excess vehicle writing off Commodore 448BG4 Elliot Benson
GJ,28/06/2024,Vehicle Acquisition DL34BV Sydney,,,,,,
GJ000353,11401,Motor Vehicles at cost,"£45,181.82",,,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,11401,Motor Vehicles at cost,,"£1,090.91",,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,11401,Motor Vehicles at cost,,£318.18,,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,11401,Motor Vehicles at cost,£613.63,,,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,62007,Car Accesories,£117.00,,,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,62007,Car Accesories,£390.91,,,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,62007,Car Accesories,£904.54,,,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,62015,M/V Insurance,£469.00,,,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,62004,M/V Registration,£847.00,,,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,62004,M/V Registration,£52.00,,,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,62004,M/V Registration,£75.00,,,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,11401,Motor Vehicles at cost,"£1,620.00",,,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,11304,Deposit Account (RAV4),,"£3,000.00",,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,11304,Deposit Account (RAV4),,"£15,000.00",,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,11304,Deposit Account (RAV4),,"£2,000.00",,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,21306,RAV FINANCE DL34BV,,"£33,441.70",,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ000353,21102,GST Paid,"£4,579.89",,,Vehicle Acquisition DL34BV Sydney,,Vehicle Acquisition DL34BV Sydney
GJ,30/06/2024,EA ICA movement for 2024 FY,,,,,,
GJ000362,21101,GST Collected,"£19,722.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£12,616.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,"£16,872.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
