ContactName,AccountNumber,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,PhoneNumber,MobileNumber,FaxNumber,EmailAddress,Website,SAAttentionTo,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,DueDateSalesTerm,TaxNumber,BankAccountNumber,BankAccountName,SalesAccount
 Helen Cole,*None,51 Westminster Street,,,,East Victoria Park,WA,6101,,,,,,,,,,,,,,,,4,,Unknown,,
 Western Australian Police,*None,"Graound Floor , 297 Hay Street",,,,East Perth,WA,6004,,,,,,,,,,,,,,,,4,,Unknown,,
 VDM Construction Ltd,VCO000,Wandoo Housing Project,,,,Pannawonica,WA,6716,,,,,,,,,,,,,,,,4,,Unknown,,
 Department of Mines and Petroleum,DMP,Finance Branch,Mineral House,100 Plain Street,,East Perth,WA,6004,,,,,emailedinvoices@dmp.wa.gov.au,,,,,,,,,,,4,,Unknown,,
 St Barbara Ltd,STB,Locked Bag 9,Collins Street East,,,Melbourne,VIC,8003,,03 8660 1900,,03 8660 1999,,,,,,,,,,,,4,,Unknown,,
 Scope Australia,*None,Level 1/672 Murray Street,,,,West Perth,WA,6005,,,,,,,,,,,,,,,,4,,Unknown,,
 Downer EDI Engineering Power Pty Ltd,DOE,PO Box 1823,,,,North Ryde,NSW,2133,Australia,08 9236 1112,,,einvoices.kofax@downergroup.com,www.downergroup.com.au,,"130 Fauntleroy Ave,","Redcliffe, WA, 6104",,,,,,,2,,Unknown,,
 PKD Resources ( Pvt) Ltd,*None,Attn: Dr. Ralph Child, 27A Siebel Avenue,,,Colombo 5,,,Sri Lanka,,,,rchild@rgdresources.com,,,,,,,,,,,4,,Unknown,,
 Cameco Australia,CAM,Kintyre Project,Attn: Simon Williamson,"Level3 , 1060 Hay Street",,West Perth,WA,6005,,08 9216 7500,,08 9216 7555,Simon_Williamson@cameco.com,,,,,,,,,,,2,,Unknown,,
 Proper Presentations,*None,66 Campbell Street,,,,Kalgoorlie,WA,6430,,,,,,,,,,,,,,,,4,,Unknown,,
 Alan Bailey,*None,C/- Barminco,390 Stirling Crescent,,,Hazlemere,WA,6055,,,,,,,,,,,,,,,,4,,Unknown,,
 AGR Asia Pacific Pty Ltd,AGR,Attn: The Accounts Department,"Level 3 , 342 Flinders Street",,,Melbourne,VIC,3000,,03 8625 8400,,,,,,,,,,,,,,2,,Unknown,,
 The Label Factory,TLF,Unit 3/52 Vinnicombe Drive,,,,Canning Vale,WA,6155,,08 9455 6180,,08 9455 6210,paul@thelabelfactory.com.au,,,,,,,,,,,2,,Unknown,,
 Scottish Pacific,*None,,,,,,,,,,,,,,,,,,,,,,,4,,Unknown,,
 Paul Cashman,*None,10 Pearl Street,,,,Sorrento,WA,6020,,,,,,,,,,,,,,,,4,,Unknown,,
 Gorgon Upstream Facilities Tea,*None,905 Hay Street,,,,Perth,WA,6000,,,,,,,,,,,,,,,,2,,Unknown,,
 Steve Corrigan,*None,27 Seamist CCT,,,,Coolum Beach,QLD,4573,,,,,,,,,,,,,,,,4,,Unknown,,
 Arc Infrastructure Pty Ltd,BRA000,Attn: Accounts Payable,GPO Box S1411,,,Welshpool,WA,6845,Australia,,08 9212 2928,08 9212 2922,accounts@arcinfra.com,Hannah.taylor@arcinfra.com,,Attn: Mr. Brian Pereira,        Chief Financial Controller,GPO BOx S1411,,Perth,WA,6845.0,,4,,Unknown,,
 St Ives Gold Mining Company Pty Ltd,GSI000,Attn: Accounts Payable,PO Box 628,,,West Perth,WA,6872,Australia,08 6316 4036,08 9088 3822,08 9211 9201,GFA.AccountsPayable@goldfields.com,,,,,,,,,,,4,,Unknown,,
 Fremantle Hospital and Health Service,FHH,Attn: Julien Harris,        A/Operations Manager,PO BOx 480,,Fremantle,WA,6959,,,,,Michelle.Anderson@health.wa.gov.au,,,,,,,,,,,4,,Unknown,,
 United Utilities Australia Pty Ltd,UUA,"Suites 4-5 , 251 Stirling Street",,,,Perth,WA,6003,,08 6242 0200,04 1863 9431,08 6242 0222,,,,,,,,,,,,4,,Unknown,,
 BHP Billiton Petroleum Pty Ltd,*None,GPO Box 2568 ,,,,Adelaide,SA,5001,,,,,SSAInt.Imaging@BHPBilliton.com,,,,,,,,,,,4,,Unknown,,
 Trudi Washington,*None,21 A Boogalla Cresent,,,,Sth Hedland,WA,6722,,,,,,,,,,,,,,,,4,,Unknown,,
 ERM Power  Ltd,ERP,GPO Box 7152,,,,Brisbane,QLD,4001,,08 9481 1100,+61 7 3020 5100,Fax: +61 7 3220 6110,accounts@ermpower.com.au,,,"Level 52, 111 Eagle Street",,,,Brisbane,QLD,4001.0,,4,,Unknown,,
 Vale Exploration Pty Ltd,VAE,GPO Box 731,,,,Brisbane,QLD,4001,,07 3136 0631,07 3136 0962,,accounts.payable@valeaustralia.com.au.;exploration@valeaustralia.com.au,,,,,,,,,,,4,,Unknown,,
 CCC Insurance Law,CCS,C/- CCS Insurance Law,"Level 1, 189 William Street",,,Northbridge,WA,6003,,08 9322 7555,,08 9322 6825,mail@ccsinsurancelaw.com,,,,,,,,,,,4,,Unknown,,
 PT. Dairi Prima Mineral,*None,Lantai 8,Menara Bidakara 2,JI.Gatot Subrato Kav. 71-73,,"Tebet , Jakarta Selatan",,,Indonesia 12870,,,,Paul.Brider@ptdpm.co.id;helen.nugent@herald.net.au,,,,,,,,,,,4,,Unknown,,
 Martyn Camm,*None,10 Dusart Way,,,,Ashby,WA,6065,,,,,,,,,,,,,,,,4,,Unknown,,
 Daniel McCormack,*None,183A Westview Street,,,,Scarborough,WA,6019,,,,,,,,,,,,,,,,4,,Unknown,,
 Brian Bancilhon,*None,9 Chandler Road,,,,Sorrento,WA,6020,,,,,,,,,,,,,,,,4,,Unknown,,
 Gary Lennon,*None,2 Sherborne Road,,,,Gooseberry Hill,WA,6076,,,,,,,,,,,,,,,,4,,Unknown,,
 West Coast Energy Pty Ltd,WCE,Attn: Alan Robertson,        Health & Safety Manager,PO Box 1544,,Canning Vale,WA,6970,,08 9456 9100,,08 9456 9199,Alan.ROBERTSON@westcoastenergy.com.au,,,,,,,,,,,2,,Unknown,,
 Patrick Senycia,*None,PO Box 424,,,,Cannington,WA,6107,,,,,,,,,,,,,,,,4,,Unknown,,
 Engenium Pty Ltd,ENG000,Level 2,88 William Street,,,Perth,WA,6000,Australia,08 6460 0352,,08 6460 0391,5_accountspayable@engenium.com.au;finance@engenium.com.au,,,,,,,,,,,4,,Unknown,,
 Bakyrchik Mining Venture LLP,*None,"t.Auezov, Zharma district",,,,East Kazakhstan Region,,491775,Kazakhstan,,,,markk@altynalmasgold.com,,,,,,,,,,,4,,Unknown,,
Michael Durrell,*None,5 Halyard Parade,,,,Australind,WA,6233,,,,,,,,,,,,,,,,2,,Unknown,,
 Kristy J. Morton,*None,1 Edgar Street,,,,Kalgoorlie,WA,6430,,,,,,,,,,,,,,,,2,,Unknown,,
 Brendon Sullivan,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 NewGen Neerabup Partnership,NNP,Attn: Accounts Payable,PO Box 7152,Riverside Centre,,Brisbane,QLD,4000,,07 3020 5100,,07 3020 5111,,,,,,,,,,,,2,,Unknown,,
 Runge Limited,RUN,GPO Box 2774,,,,Brisbane,QLD,4001,,07 3100 7200,,07 3100 7297,,,,,,,,,,,,2,,Unknown,,
 Minarco-MineConsult,MMC,Attn: Kerry Herwood,PO Box H170,,,Australia Square,NSW,1215,,02 8248 1500,,,kheywood@minarco-mineconsult.com,,,,,,,,,,,2,,Unknown,,
 Glenn R Sutton,*None,72 Shearn Crescent,,,,Doubleview,WA,6018,,,,,,,,,,,,,,,,2,,Unknown,,
 Meridian Sales Group Pty Ltd,*None,15 Berkeley Crescent,,,,Floreat,WA,6014,,,,,,,,207 St. George Terrace,,,,Perth,,,,2,,Unknown,,
 Anthony P Smith,*None,"U3, 1 Penguin Road",,,,Shoalwater,WA,6169,,,,,,,,,,,,,,,,2,,Unknown,,
 Kylie M Mellows,*None,17 Katrine Way,,,,Hamersley,WA,6022,,,,,,,,,,,,,,,,2,,Unknown,,
 Gary Nicol,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Chris Coutinho,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Newcrest Mining Ltd,NEM000,Attn: Accounts Payable,PO Box 6109,St. Kilda Road Central,,Melbourne,VIC,8008,Australia,03 9522 5678,,,ap.telfer@newcrest.com.au,accountspayable@newcrest.com.au,,,,,,,,,,4,,Unknown,,
 Dean Aravidis,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Jason Bell,*None,14 Albert Court,,,,Wanneroo,WA,6065,,,,,,,,,,,,,,,,2,,Unknown,,
 Jon Gallagher,*None,5 Sallows Street,,,,"Pallarenda , Townsville",QLD,4810,,,,,,,,,,,,,,,,2,,Unknown,,
 Newmont Tanami Pty Ltd,NET,Level 2,388 Hay Street,,,Subiaco,WA,6008,Australia,08 8993 8277,08 94236184,08 94236344,invoices@newmont.com,mailto:APACInvoiceQueries@newmont.com,,,,,,,,,,2,,Unknown,,
 Simon Jon Pow,*None,192 St. Kilda Road,,,,Rivervale,WA,6103,,,,,,,,,,,,,,,,2,,Unknown,,
 Northern Star Resources Ltd,NSR000,24 Mumford Place ,,,,Balcatta,WA,6021,,,,,,,,,,,,,,,,2,,Unknown,,
 Westrac Pty Ltd,WEP,128-136 Great Eastern Highway,,,,South Guildford,WA,6055,,(08) 9377 9444,427989583,893794909,Michael.Cassidy@westrac.com.au; dion.paunich@westrac.com.au,Payables@westrac.com.au,,,,,,,,,,2,,Unknown,,
 XLT Industrial Training,XIT000,33 Howson Way,,,,Bibra Lake,WA,6163,,,,,,,,,,,,,,,,2,,Unknown,,
 David Waugh,*None,169B Jersey Street,,,,Wembley,WA,6014,,,,,,,,,,,,,,,,2,,Unknown,,
 Premier Coal Limited,WPC,PO Box 2216,,,,Greenhills,NSW,2323,,08 9780 2222,02 40152520 ( AP),08 9780 2223,ap.premiercoal@yancoal.com.au,apsupport@yancoal.com.au( statement to send),,,,,,,,,,2,,Unknown,,
 Consult 5 Inc.,CFI000,4-1576 Tatlow Avenue,,,,North Vancouver,BC,V7P2Z7,Canada,+1 013 467 7103,+1 604 657 2727,,mvendrig@consult5.com;ksttpg@yahoo.com.my,,,,,,,,,,,2,,Unknown,,
 CGU Workers Compensation,*None,Attn: Janice Rhodes,GPO Box M929,,,Perth,WA,6843,,,,,,,,,,,,,,,,2,,Unknown,,
 BHP Iron Ore Pty Ltd,BHP000,225 St. Georges Terrace,,,,Perth,WA,6000,Australia,,,,,,,,,,,,,,,2,,Unknown,,
 KoneCranes South West - WA,KON,13 Aspiration Circuit,,,,Bibra Lake,WA,6163,,08 9418 4666,08 9531 4816 - Jeremy,08 9418 6266,jeremy.wells@konecranes.com,,,,,,,,,,,2,,Unknown,,
 Waroona Septics and Liquid Waste,WSL,Attn: Carl,15 Rousham Crescent,,,Mandurah,WA,6210,,08 9581 8146,0404 874 779,,carlkit_man@bigpond.com,,,,,,,,,,,2,,Unknown,,
 PT Meares Soputan Mining,TTP,Toka Tindung Gold Project,PO Box 1550,Manado,,Sulawesi Utara,,95001,Indonesia,+0431 8895850,+0431 8895851,+0431 8895852,debra.watson@tokatindung.com,,,,,,,,,,,2,,Unknown,,
 Jacqueline Richards,*None,6 Empress Court,,,,Ocean Reef,WA,6027,,,,,,,,,,,,,,,,2,,Unknown,,
 Goodrich Resources Ltd formerly Kimberley Diamond,KDC000,Attn: Craig Roberts,PO Box 806,,,West Perth,WA,6872,,08 9426 9888,,08 9426 9899,croberts@kimres.com.au,,,,,,,,,,,2,,Unknown,,
 Tyco Water Kwinana,TYW,Main Office,Lot 6 Leath Road,,,Naval Base,WA,6165,,08 9437 8200,,,,,,,,,,,,,,2,,Unknown,,
 Barbaro Group Pty Ltd,BGP,310A Newcastle Street,,,,Northbridge,WA,6003,,+61 8 9467 4456,+61 419907725,,mike@barbarogroup.com.au,,,,,,,,,,,2,,Unknown,,
 Falcon Enginnering 95 Pty Ltd,FEN,11-13 Hodgson Way,,,,Kewdale,WA,6105,,08 9353 2833,,08 9353 1468,faz@falconeng95.com.au,,,,,,,,,,,2,,Unknown,,
 Main Roads WA,MRW,Attn: Joann McKenney,PO Box 6202,,,East Perth,WA,6892,Australia,08 9323 4470,0427 471 245 Anna,,accountspayable@mainroads.wa.gov.au;environment.heritage.services@mainroads.wa.gov.au,AccountEnquiries@mainroads.wa.gov.au,,,,,,,,,,2,,Unknown,,
 Mitchell's Live Transport,MLT,PO Box 201,,,,Waroona,WA,6215,,08 9733 1246,0418 420 880,,lisaw@mitchellstransport.com.au,,,,,,,,,,,2,,Unknown,,
 Ranger Drilling,RAD,PO Box 315,,,,North Beach,WA,6920,,08 9409 4402,08 9409 4403,,matt@rangerdrilling.com.au,,,,,,,,,,,2,,Unknown,,
 WA Rental Solutions,WAR,72A McDowell Street,,,,Welshpool,WA,6106,,08 9451 0500,,08 9356 6652,sharonc@gen-star.com.au,www.wars.com.au,,,,,,,,,,2,,Unknown,,
 Tony McCormack,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Jodie Louise Laver,*None,35 Virginia Place,,,,Waikiki,WA,6169,,,,,,,,,,,,,,,,2,,Unknown,,
 Peter Barr,*None,41 Alexander Street,,,,Manly,NSW,2095,,,,,,,,,,,,,,,,2,,Unknown,,
 Kalgoorlie Consolidated Gold Mines,KCG,Black Street,,,,Kalgoorlie,WA,6430,,08 9022 1100,08 9022 1654,,payables@kalgold.com.au,,,,,,,,,,,2,,Unknown,,
 HIA Safety Services,HSS,22 Parkland Road,,,,Osborne Park,WA,6017,,,,,k.watson@hia.com.au,,,,,,,,,,,2,,Unknown,,
 Tyson Bennett,*None,37 Cassino Drive,,,,Stirling,WA,6021,,,,,,,,,,,,,,,,2,,Unknown,,
 Palazzo Versace,PAV,94 Seaworld Drive,,,,Main Beach,QLD,4217,,,,,,,,,,,,,,,,2,,Unknown,,
 Phu Bia Mining Limited,PBM000,"7th Floor, Kolao Tower l",23 Singha Road,PO Box 5559,,Vientiane,,,Laos Peoples Democratic Replubic,+856 20 22 214 124,Mob +856 20 221 4180,,AccountsPayable.TSC@pbm.panaust.com,,,,,,,,,,,2,,Unknown,,
 TRS Training,TRS,9 Franklin Lane,,,,Joondalup,WA,6027,,1300 226 000,,08 9301 1007,info@trstraffic.com.au,,,,,,,,,,,2,,Unknown,,
 Westralia Airport Corporation,WAC,Attn: Nick Croston,"Level 2 , 2 George Wiencke Drive",,,Perth Airport,WA,6105,,08 9478 8888,,08 9478 8887,,,,,,,,,,,,2,,Unknown,,
 James Couper,*None,25 Delta Drive,,,,South Yunderup,WA,6208,,,,,,,,,,,,,,,,2,,Unknown,,
 Justin Colwell,*None,26 Benzie Way,,,,Parkwood,WA,6147,,,,,,,,,,,,,,,,2,,Unknown,,
 John A Hughes,JAH000,Flat2 172A Lavender Hill,,,,London,,,UK SW11STG,,,,,,,,,,,,,,,2,,Unknown,,
 PT. Tambang Tondano Nusajaya,TTP002,JL. A.A Maramis ,No. 88 Kel Kaigari II Kec Mapanget,,,Manado 95254,,,Indonesia,,,,,,,,,,,,,,,2,,Unknown,,
 Weststate Energy,WES,Attn: Kylie Hisco,PO Box 3922,,,Success,WA,6164,,08 9418 7666,,08 9418 7633,K.Hisco@weststateenergy.com;l.jones@weststateenergy.com,,,,,,,,,,,2,,Unknown,,
 Emeco Group,EMG,PO Box 1341,,,,Osborne Park DC,WA,6916,,08 9420 0222,,08 9420 0205,lindsey.smith@emecogroup.com,,,,,,,,,,,2,,Unknown,,
 SMS Rental,SMR,PO Box 835,,,,Cloverdale,WA,6985,,08 9277 5177,,08 9277 5166,shaun@SMSrental.com.au,,,,,,,,,,,2,,Unknown,,
 Porgera Joint Venture,BGA000,Accounts Payable Cairns,Attn: Amona Akaru,C/- 13 Martyn Street,PO Box 7050,Cairns,QLD,4870,,,,675 5478 8111,VZAffino@barrick.com,,,,,,,,,,,2,,Unknown,,
 Lost Sands Pty Ltd,DIR000,Attn: Phil McMurtrie,PO Box 10288,Adelaide Street,,Brisbane,QLD,4000,,07 3832 5660,07 3832 5666,07 3832 5300,manager@diatreme.com.au; :  beth.whitefield@diatreme.com.au,,,,,,,,,,,2,,Unknown,,
 GHK Consulting Ltd,*None,Attn: Dr. Joji I Reyes,Asia Pacific Regional Office,Suite 2302 Tektite West Tower,Philippine Stock Exchange Center,"Pasig City, Philippines",,,Philippine,,,,,,,,,,,,,,,2,,Unknown,,
 Dean N Bell,DEB000,29 Arbow Way,,,,Lockridge,WA,6054,,,,,,,,,,,,,,,,2,,Unknown,,
 Minara Resources,*None,Locked Bag 4,Welshpool Delivery Center,Pilbara Street,,Welshpool,WA,6106,,,,,,,,,,,,,,,,2,,Unknown,,
 Barrick Gold Australia Ltd,BGA,Porgera Accounts Payable Cairns,Attn: Amona Akaru,PO Box 7050,,Cairns,QLD,4870,,+675 547 8072,,,akarjalainen@barrick.com,,,"Brookfield Place, Level 9 ",125 St George Terrace,,,Perth,WA,6000.0,Australia,2,,Unknown,,
 Raymond Lo,RAYL,26 /22 Gochean Avenue,,,,Bentley,WA,6102,,,,,,,,,,,,,,,,2,,Unknown,,
 Rasheed Burhan,RASB,18 Belemba Ave,,,,Roselands,NSW,2196,,,,,,,,,,,,,,,,2,,Unknown,,
 Belynda Little,BEL000,PO Box 8245,,,,Hannans,WA,6433,,04 0852 5547,,,,,,,,,,,,,,2,,Unknown,,
 Helix Well Ops Sea Pty Ltd,WEO,52 Cooper Road,,,,Cockburn Central,WA,6164,,08 9417 0422,,,woseaap@helixsg.com,,,,,,,,,,,2,,Unknown,,
 Mark  J Boynton,*None,10 Rushton Street,,,,Denmark,WA,6333,,08 9848 2942,,,boynton74@yahoo.com,,,,,,,,,,,2,,Unknown,,
 Altynalmas Gold Ltd,*None,"Suite 654, 999 Canadfa Place",,,,Vancouver,BC,V6C 3E1,Canada,,,,andyg@altynalmasgold.com,,,,,,,,,,,2,,Unknown,,
 Monadelphous Group Limited,MON,PO Box 600,,,,Victoria Park,WA,6979,,08 9316 1255,,08 9316 1950,mglap@monadel.com.au,ksmcneilll@monadel.com.au,,,,,,,,,,2,,Unknown,,
 RPS Energy,*None,38 Station Street,,,,Subiaco,WA,6008,,,,,,,,,,,,,,,,2,,Unknown,,
 Herald Resources Pty Ltd,HER000,PO Box 893,,,,West Perth,WA,6872,,+61 8 9381 5242,0437 263 163,+61 8 9380 6575,helen.nugent@herald.net.au,,,"Level 1, 282 Rokeby Road,",,,,Subiaco,WA,6008.0,Australia,2,,Unknown,,
 Foster Wheeler WorleyParsons,FWW000,Attn: Tim Robinson,Level 3 QV1 Building,St. George Terrace,,Perth,WA,6000,,,,,timothy_robinson@fwuk.fwc.com,,,,,,,,,,,2,,Unknown,,
 Indo Mines Limited,IMI000,"Plaza Bapinda, Menara Mandiri",16 Floor Jl Jen Sudirman,Kavc 54-55,,Jakarta,,12190,Indonesia,+62 21 2995 0051,+62 81320354041 Mob,+62 21 2995 0054,sreid@indomines.co.id,,,,,,,,,,,2,,Unknown,,
 Koniambo Nickel SAS,KNS000,C/O Koniambo Project,"9, Rue d'Austerlitz",BP MGA 08,98802 Noumea,Cedex,,,Nouvelle-Cal??donie,,,,,,,,,,,,,,,2,,Unknown,,
 Centigrade Mechanical Contracting Co. Pty Ltd,CMC000,7 Macadam Place,,,,Balcatta,WA,6021,,,,,smith@centigrade.com.au,,,,,,,,,,,2,,Unknown,,
 Unbilled Debtors,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Melissa Patt,*None,28 Camder Street,,,,Dainella,WA,6059,,,,,,,,,,,,,,,,2,,Unknown,,
 Fortescue Metals Group Ltd,FMG,"Level 2, , 87 Adelaide Terrace",,,,East Perth,WA,6004,,08 6218 8888,,08 6218 8880,invoices@fmgl.com.au; ap@fmgl.com.au,www.fmgl.com.au,,PO Box 6915,Attn: Pat McAtackney,HSES Manager Cloudbreak,,East Perth,WA,6892.0,,2,,Unknown,,
Troy Griffiths,*None,8 Lymburner Drive,,,,Hillarys,WA,6025,Australia,,,,troy.griffiths@simpliance.com.au,,,,,,,,,,,2,,Unknown,,
Peter Merrin,MERP,PO Box,,,,Newman,WA,6753,Australia,,,,merrinp@hotmail.com,,,18 Wehl St,,,,Newman,WA,6753.0,Australia,2,,Unknown,,
 Greg Scott,*None,10 A Alvis Place,,,,North Beach,WA,6020,,,,,,,,,,,,,,,,2,,Unknown,,
 Kentz  E&C Pty Ltd,KEN,PO Box 7678,,,,Cloisters Square Perth,WA,6850,,08 9442 2500,,08 9442 2500,jacqueline.ashe@kentz.com.au,,,,,,,,,,,2,,Unknown,,
 Scott Stalley,*None,11 Cromea Gardens,,,,Parmelia,WA,6167,,,,,,,,,,,,,,,,2,,Unknown,,
 Joanne Blair,*None,1/29 Eastbrook Terrace,,,,East Perth,WA,6004,,,,,,,,,,,,,,,,2,,Unknown,,
 Marine & Offshore Global Pty Ltd,MOG000,PO Box 2749,,,,Perth,WA,6001,,,,,,,,,,,,,,,,2,,Unknown,,
 Belvedere Coal Management Pty Ltd,BCM000,GPO Box 731,,,,Brisbane,QLD,4001,,,,,exploration@valeaustralia.com.au,,,,,,,,,,,2,,Unknown,,
 Chris Barnett and Associates ( Australia),CHB000,PO Box 12,,,,Applecross,WA,6153,,,08 9316 2967,08 9364 9883,,,,,,,,,,,,2,,Unknown,,
 Cube Consulting,CUC000,PO Box 877,,,,West Perth,WA,6872,,,,,accounts@cubeconsulting.com,,,,,,,,,,,2,,Unknown,,
 Strategen,STR000,PO Box 243,,,,Subiaco,WA,6904,,9380 3100,,,g.houghton@strategen.com.au,,,"Level 2, 322 Hay Street",,,,Subiaco,WA,6008.0,,2,,Unknown,,
 Phu Bia Mining Ltd,PBM001,"7th Floor, Kolao Tower l",23 Singha Road,PO Box 5559,,Vientiane,,,Lao People's Democratic Republic,+ 856 20 22 214 124,+856 20 2223 0725,+856 0 21 353 484,AccountsPayable.tsc@pbm.panaust.com,,,,,,,,,,,2,,Unknown,,
 Douglas J Stewart,DJS000,97 Mowbray Square,,,,Clarkson,WA,6030,,,,,,,,,,,,,,,,2,,Unknown,,
 AngloGold Ashanti Australia Ltd,ANG000,PO Box Z5046,,,,Perth,WA,6831,Australia,08 9425 4600-recptn,08 9425 4617-charmain,08 9425 4663,accountspayable@anglogoldashanti.com.au;MLeRoy@anglogoldashanti.com.au;,,,Attn: Cassandra Parisotto,GPO Box B91,,,Perth,WA,6838.0,,2,,Unknown,,
 Goldfields Creative Concreting,GCC,Lot 17 Craig Road,,,,Kalgoorlie,WA,6430,Australia,(08) 9022 3312,,(08) 9022 3318,ashleigh@goldfieldscreative.com.au,www.goldfieldscreative.com.au,,,,,,,,,,2,,Unknown,,
 Rock Australia Mining and Civil Pty Ltd,RAM000,3 Craig Street,,,,Burswood,WA,6100,,,04 1792 1620,08 9472 2150,jameswheeler@rockaustralia.com.au,,,,,,,,,,,2,,Unknown,,
 Ian William Mackay,IAM000,26 pinewood Street,,,,Redcliffe,QLD,4020,,,,,,,,,,,,,,,,2,,Unknown,,
 Nathan D Fenwick,*None,PO Box 1028,,,,Newman,WA,6753,,,,,,,,,,,,,,,,2,,Unknown,,
 Pierre De Villiers,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Benjamin Vincent,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Enerflex Process Pty Ltd,*None,82-86 James Street,,,,Perth,WA,6000,,,,08 9262 3515,,,,,,,,,,,,2,,Unknown,,
 S C Allan Consulting Pty Ltd,*None,16 Coleman Cresent,,,,Melville,WA,6156,,,,,,,,,,,,,,,,2,,Unknown,,
 Aquila Resources Ltd,AQR000,"Level 14, 225 St George's Terrace",,,,Perth,WA,6000,,(08) 9423 0111,,08 9423 0133,PerthInvoices@aquilaresources.com.au;   cwood@aquilaresources.com.au;,,,,,,,,,,,2,,Unknown,,
 Excel Accounting Systems Management,*None,PO Box 1903,,,,Malaga,WA,6944,,04 3111 9608,,08 9248 2131,lcdang@westnet.com.au,,,,,,,,,,,2,,Unknown,,
 Kerin Faye Hogan,*None,43-2 Stockton Bend,,,,Cockburn Central,WA,6164,,,,,,,,,,,,,,,,2,,Unknown,,
 Enerflex Services Pty Ltd,ENE,115 Schneider Road,,,,Eagle Farm,QLD,4009,Australia,07 3318 9007,07 3868 9500,07 3318 9099,EAH.Accounts@enerflex.com,,,82-86 James Street,"Northbridge, Perth, WA, 6003",,,,,,,2,,Unknown,,
 Roger Ducker,*None,93 Drummond Street,,,,Bedford,WA,6052,,,,,,,,,,,,,,,,2,,Unknown,,
 Matthew Peri,*None,34 Marloo Street,,,,Newman,WA,6753,,,,,,,,,,,,,,,,2,,Unknown,,
 Mootoo S Parapen,*None,2B Keeley Way,,,,Girrawheen,WA,6064,,,,,,,,,,,,,,,,2,,Unknown,,
 PT. Jogja Magasa Iron,IND,Attn: Mr. Willem Nainggolan,"Plaza Bapindo , Menara Mandiri",16th Floor,Jl.Jend Sudiirman Kav 54-55,Jakarta,,12190,Indonesia,,,,,,,,,,,,,,,2,,Unknown,,
 Tim Robinson,*None,18 Brolga Meander,,,,Karratha,WA,6714,,04 8850 3797,,,,,,,,,,,,,,2,,Unknown,,
 Oceanica Consulting Pty Ltd,*None,1-353 Cambridge Street,,,,Wembley,WA,6014,,,,,,,,,,,,,,,,2,,Unknown,,
 PSN Water,*None,Woodman Point Site,Lock Bag 1,,,Cloverdale,WA,6985,,04 0159 4655,,,,,,,,,,,,,,2,,Unknown,,
 Pipemaster Plumbing & Gas Pty Ltd,*None,3/43 Furniss Road,,,,Darch,WA,6065,,04 1722 3376,08 9302 3926,,,,,,,,,,,,,2,,Unknown,,
 Bryce Mitchell-D'Raine,*None,46 Partlet Road,,,,Duncraig,WA,6023,,04 1125 0354,,,,,,,,,,,,,,2,,Unknown,,
Lindsay Robertson,ROBL,7 Broadway ,,,,Bunbury,WA,6230,Australia,0409 123 726,,,lindsay.robertson@bigpond.com,,,,,,,,,,,2,,Unknown,,
 Duncan Campbell Lawson,*None,8/1 Hawlistone Street,,,,Cottesloe,WA,6011,Australia,449778005,,,dlawson@chevron.com,,,,,,,,,,,2,,Unknown,,
 Z-Explorer Closed Joint Stock Company,MAR000,Attn: Maxim Aleseevich Konyukhov,"Office 1 , 7 Razzakova Street",,,Bishkek,,,Kyrgyz Republic,9.97E+11,614 04 416545,,chris.knee@manasresources.com,,,,,,,,,,,2,,Unknown,,
 Life Without Barriers,LWB000,Attn: Anthony Sibosado,PO Box 2590 ,,,Warwick,WA,6024,Australia,08 9208 3400,04 2722 6093,08 9240 8347,tony.sibosado@lwb.org.au;Eve.Lowe@lwb.org.au,,,Warwick State Office is at Unit 1/ 26 Dugdale Street   ,,,,Warwick,WA,6024.0,Australia,2,,Unknown,,
 Indigenous Construction Resource Group Pty Ltd,ICR000,8/1327 Hay Street,,,,West Perth,WA,,,08 6188 7300,04 1479 4877,08 6188 7388,accounts@icrg.com.au,,,,,,,,,,,2,,Unknown,,
 Daniel John Hoghton,HDJ000,72/4 Delhi Street,,,,West Perth,WA,6005,Australia,410502636,,,dhoghton@hotmail.com,,,,,,,,,,,2,,Unknown,,
 PERMApole (Jetstar Enterprise),PER,Attn: Michael Southwell,PO Box 127,,,Mundijong,WA,6123,,(08) 9525 1806,04 0011 4125,08 9525 1285,annking@permapole.com.au; officewafm@bigpond.com,,,,,,,,,,,2,,Unknown,,
 Arshad Mughal,AMU000,Rio Tinto ,155 St George Terrace,,,Perth,WA,6000,Australia,,,,,,,,,,,,,,,2,,Unknown,,
